Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,Respondent sequence number,Respondent sequence number.,, Both males and females 0 YEARS - 150 YEARS,sio:Indentifier,??respondent,,,,,,,,,
BMDSTATS,Body Measures Component Status Code,Body Measures Component status Code,, Both males and females 0 YEARS - 150 YEARS,sio:StatusDescriptor,??participant,,,,,,,,,
BMXWT,Weight (kg),Weight (kg),, Both males and females 0 YEARS - 150 YEARS,chear:Weight,??participant,uo:0000009,,,,,,,,
BMIWT,Weight Comment,Weight Comment,, Both males and females 0 YEARS - 150 YEARS,rdfs:comment,??participant,,,,,,,,,
BMXRECUM,Recumbent Length (cm) ,Recumbent Length (cm),, Both males and females 0 YEARS - 47 MONTHS,,??participant,uo:0000015,,,,,,,,
BMIRECUM,Recumbent Length Comment,Recumbent Length Comment,, Both males and females 0 MONTHS - 47 MONTHS,rdfs:comment,??participant,,,,,,,,,
BMXHEAD,Head Circumference (cm) ,Head Circumference (cm),, Both males and females 0 YEARS - 6 MONTHS,sio:Circumference,??participant,uo:0000015,,,,,,,,
BMIHEAD,Head Circumference Comment,Head Circumference Comment,, Both males and females 0 MONTHS - 6 MONTHS,rdfs:comment,??participant,,,,,,,,,
BMXHT,Standing Height (cm),Standing Height (cm),, Both males and females 2 YEARS - 150 YEARS,sio:Height,??participant,uo:0000015,,,,,,,,
BMIHT,Standing Height Comment,Standing Height Comment,, Both males and females 2 YEARS - 150 YEARS,rdfs:comment,??participant,,,,,,,,,
BMXBMI,Body Mass Index (kg/m**2),Body Mass Index (kg/m**2),, Both males and females 2 YEARS - 150 YEARS,chear:BMI,??participant,,,,,,,,,
BMDBMIC,BMI Category - Children/Youth,BMI Category - Children/Youth,, Both males and females 2 YEARS - 19 YEARS,,??participant,,,,,,,,,
BMXLEG,Upper Leg Length (cm),Upper Leg Length (cm),, Both males and females 8 YEARS - 150 YEARS,sio:Length,??participant,uo:0000015,,,,,,,,
BMILEG,Upper Leg Length Comment,Upper Leg Length Comment,, Both males and females 8 YEARS - 150 YEARS,rdfs:comment,??participant,,,,,,,,,
BMXARML,Upper Arm Length (cm),Upper Arm Length (cm),, Both males and females 2 MONTHS - 150 YEARS,sio:Length,??participant,uo:0000015,,,,,,,,
BMIARML,Upper Arm Length Comment,Upper Arm Length Comment,, Both males and females 2 MONTHS - 150 YEARS,rdfs:comment,??participant,,,,,,,,,
BMXARMC,Arm Circumference (cm),Arm Circumference (cm),, Both males and females 2 MONTHS - 150 YEARS,sio:Circumference,??participant,uo:0000015,,,,,,,,
BMIARMC,Arm Circumference Comment,Arm Circumference Comment,, Both males and females 2 MONTHS - 150 YEARS,rdfs:comment,??participant,,,,,,,,,
BMXWAIST,Waist Circumference (cm),Waist Circumference (cm),, Both males and females 2 YEARS - 150 YEARS,sio:Circumference,??participant,uo:0000015,,,,,,,,
BMIWAIST,Waist Circumference Comment,Waist Circumference Comment,, Both males and females 2 YEARS - 150 YEARS,rdfs:comment,??participant,,,,,,,,,
BMXSAD1,Sagittal Abdominal Diameter 1st (cm),Sagittal Abdominal Diameter 1st (cm),, Both males and females 8 YEARS - 150 YEARS,cmo:0000295,??participant,uo:0000015,,,,,,,,
BMXSAD2,Sagittal Abdominal Diameter 2nd (cm),Sagittal Abdominal Diameter 2nd (cm),, Both males and females 8 YEARS - 150 YEARS,cmo:0000295,??participant,uo:0000015,,,,,,,,
BMXSAD3,Sagittal Abdominal Diameter 3rd (cm),Sagittal Abdominal Diameter 3rd (cm),, Both males and females 8 YEARS - 150 YEARS,cmo:0000295,??participant,uo:0000015,,,,,,,,
BMXSAD4,Sagittal Abdominal Diameter 4th (cm),Sagittal Abdominal Diameter 4th (cm),, Both males and females 8 YEARS - 150 YEARS,cmo:0000295,??participant,uo:0000015,,,,,,,,
BMDAVSAD,Average Sagittal Abdominal Diameter (cm),Average Sagittal Abdominal Diameter (cm),, Both males and females 8 YEARS - 150 YEARS,cmo:0000295,??participant,uo:0000015,,,,,,,,
BMDSADCM,Sagittal Abdominal Diameter Comment,Sagittal Abdominal Diameter Comment,, Both males and females 8 YEARS - 150 YEARS,rdfs:comment,??participant,,,,,,,,,
??respondent,,,,,,,,,sio:Human,chear:RespondendRole,,??participant,,,
??participant,,,,,,,,,sio:Human,sio:SubjectRole,,??study,,,
