Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,Respondent sequence number,Respondent sequence number.,, Both males and females 40 YEARS - 150 YEARS,sio:Indentifier,??respondent,,,,,,,,,
DXAFMRST,Femur scan status,Femur scan status ,, Both males and females 40 YEARS - 150 YEARS,sio:StatusDescriptor,??participant,,,,,,,,,
DXXFMBCC,Total femur BMD invalidity code,Total femur BMD invalidity code,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXOFBMD,Total femur BMD,Total femur BMD,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXOFBMC,Total femur BMC,Total femur BMC,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXOFA,Total femur area,Total femur area,, Both males and females 40 YEARS - 150 YEARS,,??femur,uo:0000081,,,,,,,,
DXXNKBMD,Femoral neck BMD,Femoral neck BMD,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXNKBMC,Femoral neck BMC,Femoral neck BMC,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXNKA,Femoral neck area,Femoral neck area,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXTRBMD,Trochanter BMD,Trochanter BMD,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXTRBMC,Trochanter BMC,Trochanter BMC,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXTRA,Trochanter area,Trochanter area,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXINBMD,Intertrochanter BMD,Intertrochanter BMD,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXINBMC,Intertrochanter BMC,Intertrochanter BMC,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXINA,Intertrochanter area,Intertrochanter area,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXWDBMD,Wards triangle BMD,Wards triangle BMD,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXWDBMC,Wards triangle BMC,Wards triangle BMC,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXXWDA,Wards triangle area,Wards triangle area,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXAFMRK,Calculated K for femur,Calculated K for femur,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
DXAFMRD0,Calculated DO for femur,Calculated DO for femur,, Both males and females 40 YEARS - 150 YEARS,,??femur,,,,,,,,,
??respondent,,,,,,,,,sio:Human,chear:RespondendRole,,??participant,,,
??participant,,,,,,,,,sio:Human,sio:SubjectRole,,??study,,,
??femur,,,,,,,,,uberon:0000981,,sio:isPartOf,??participant,,,
