Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,Respondent sequence number,Respondent sequence number.,, Both males and females 18 YEARS - 150 YEARS,sio:Identifier,??participant,,,,,,,,,
ALQ101,Had at least 12 alcohol drinks/1 yr?,"The next questions are about drinking alcoholic beverages.  Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage?  By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",, Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,,,,,,,,,
ALQ110,Had at least 12 alcohol drinks/lifetime?,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",, Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,,,,,,,,,
ALQ120Q,How often drink alcohol over past 12 mos,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",ENTER '0' FOR NEVER.  ENTER QUANTITY., Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,,,,,,,,,
ALQ120U,"# days drink alcohol per wk, mo, yr",UNIT OF MEASURE.,ENTER UNIT., Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,obo:UO_0000033,,,,,,,,
ALQ130,Avg # alcoholic drinks/day - past 12 mos,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?","IF LESS THAN 1 DRINK, ENTER '1'.  IF 95 DRINKS OR MORE, ENTER '95'.  ENTER # OF DRINKS.", Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,,,,,,,,,
ALQ141Q ,# days have 4/5 drinks - past 12 mos,"In the past 12 months, on how many days did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage? PROBE:  How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?","ENTER '0' FOR NONE.  CAPI INSTRUCTION: IF SP = MALE, DISPLAY = 5 IF SP = FEMALE, DISPLAY = 4 HARD EDIT:  If ALQ101 = 2 or 9, ALQ141 must be less than 3 times per year. Error Message:  'Number of drinks must be less than 3 if SP never had more than 12 drinks per year.' ENTER QUANTITY", Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,obo:UO_0000033,,,,,,,,
ALQ141U ,"# days per week, month, year?",UNIT OF MEASURE.,ENTER UNIT., Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,obo:UO_0000036,,,,,,,,
ALQ151  ,Ever have 4/5 or more drinks every day?,Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?,"CAPI INSTRUCTION:IF SP = MALE, DISPLAY = 5IF SP = FEMALE, DISPLAY = 4", Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,,,,,,,,,
ALQ154  ,,,"CHECK ITEM ALQ154: IF ALQ141 IS CODED '0' OR IF ALQ120Q IS CODED '0', GO TO END OF SECTION. OTHERWISE, CONTINUE WITH ALQ160.", Both males and females 18 YEARS - 150 YEARS,,,,,,,,,,,
ALQ160  ,# days have 4/5 or more drinks in 2 hrs,"During the past 30 days, how many times did {you/SP} drink {DISPLAY NUMBER} or more drinks of any kind of alcohol in about two hours?","ENTER '0' FOR NEVER.CAPI INSTRUCTION: IF SP = MALE, DISPLAY = 5 IF SP = FEMALE, DISPLAY = 4 SOFT EDIT: IF RESPONSE IS > 60 TIMES, THEN DISPLAY 'YOU SAID THAT IN THE PAST 30 DAYS, YOU HAD {DISPLAY NUMBER} OR MORE DRINKS OF ANY KIND OF ALCOHOL IN ABOUT TWO HOURS, (DISPLAY QUANTITY) TIMES. IS THAT CORRECT'? ENTER QUANTITY.", Both males and females 18 YEARS - 150 YEARS,chear:AlcoholUse,??participant,obo:UO_0000033,,,,,,,,
??participant,,,,,,,,,sio:Human,sio:SubjectRole,,,,,
