Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,Respondent sequence number,Respondent sequence number.,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ020,Ever told you had high blood pressure,"{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?",, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ030,Told had high blood pressure - 2+ times,"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?",, Both males and females 16 YEARS - 150 YEARS,sio:TimeInterval,,,,,,,,,,
BPD035,Age told had hypertension,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,ENTER AGE IN YEARS, Both males and females 16 YEARS - 150 YEARS,sio:Age,,,,,,,,,,
BPQ040A,Taking prescription for hypertension,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?",, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ050A,Now taking prescribed medicine for HBP,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,"CAPI INSTRUCTION:  DISPLAY EACH ACTIVITY CODED ''YES'' (CODE 1) FROM BPQ.040.  DISPLAY FOR EACH ACTIVITY SHOULD READ AS FOLLOWS:  RESPONSES:  YES = 1, NO = 2, REFUSED = 7, DON'T KNOW = 9.", Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ056,Take blood pressure at home last 12 mos?,{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPD058,How often checked BP at home last 12 mos,How often {did you check your/did SP check his/her} blood pressure at home during the last 12 months?,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ059,Doctor tell you to take BP at home?,Did a doctor or other health professional tell {you/SP} to take {your/his/her} blood pressure at home?,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ080,Doctor told you - high cholesterol level,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ060,Ever had blood cholesterol checked,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ070,When blood cholesterol last checked,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked?  Has it been...,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ090D,Told to take prescriptn for cholesterol,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?",, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
BPQ100D,Now taking prescribed medicine,(Are you/Is SP) now following this advice to take prescribed medicine?,, Both males and females 16 YEARS - 150 YEARS,,,,,,,,,,,
