Column,Variable,Label
SDDSRVYR,8,"NHANES 2013-2014 public release"
SDDSRVYR,.,"Missing"
RIDSTATR,1,"Interviewed only"
RIDSTATR,2,"Both interviewed and MEC examined"
RIDSTATR,.,"Missing"
RIAGENDR,1,"Male"
RIAGENDR,2,"Female"
RIAGENDR,.,"Missing"
RIDAGEYR,0 to 79,"Range of Values"
RIDAGEYR,80,"80 years of age and over"
RIDAGEYR,.,"Missing"
RIDAGEMN,0 to 24,"Range of Values"
RIDAGEMN,.,"Missing"
RIDRETH1,1,"Mexican American"
RIDRETH1,2,"Other Hispanic"
RIDRETH1,3,"Non-Hispanic White"
RIDRETH1,4,"Non-Hispanic Black"
RIDRETH1,5,"Other Race - Including Multi-Racial"
RIDRETH1,.,"Missing"
RIDRETH3,1,"Mexican American"
RIDRETH3,2,"Other Hispanic"
RIDRETH3,3,"Non-Hispanic White"
RIDRETH3,4,"Non-Hispanic Black"
RIDRETH3,6,"Non-Hispanic Asian"
RIDRETH3,7,"Other Race - Including Multi-Racial"
RIDRETH3,.,"Missing"
RIDEXMON,1,"November 1 through April 30"
RIDEXMON,2,"May 1 through October 31"
RIDEXMON,.,"Missing"
RIDEXAGM,0 to 239,"Range of Values"
RIDEXAGM,.,"Missing"
DMQMILIZ,1,"Yes"
DMQMILIZ,2,"No"
DMQMILIZ,7,"Refused"
DMQMILIZ,9,"Don't Know"
DMQMILIZ,.,"Missing"
DMQADFC,1,"Yes"
DMQADFC,2,"No"
DMQADFC,7,"Refused"
DMQADFC,9,"Don't Know"
DMQADFC,.,"Missing"
DMDBORN4,1,"Born in 50 US states or Washington, DC"
DMDBORN4,2,"Others"
DMDBORN4,77,"Refused"
DMDBORN4,99,"Don't Know"
DMDBORN4,.,"Missing"
DMDCITZN,1,"Citizen by birth or naturalization"
DMDCITZN,2,"Not a citizen of the US"
DMDCITZN,7,"Refused"
DMDCITZN,9,"Don't Know"
DMDCITZN,.,"Missing"
DMDYRSUS,1,"Less than 1 year"
DMDYRSUS,2,"1 year or more, but less than 5 years"
DMDYRSUS,3,"5 year or more, but less than 10 years"
DMDYRSUS,4,"10 year or more, but less than 15 years"
DMDYRSUS,5,"15 year or more, but less than 20 years"
DMDYRSUS,6,"20 year or more, but less than 30 years"
DMDYRSUS,7,"30 year or more, but less than 40 years"
DMDYRSUS,8,"40 year or more, but less than 50 years"
DMDYRSUS,9,"50 years or more"
DMDYRSUS,77,"Refused"
DMDYRSUS,99,"Don't Know"
DMDYRSUS,.,"Missing"
DMDEDUC3,0,"Never attended / kindergarten only"
DMDEDUC3,1,"1st grade"
DMDEDUC3,2,"2nd grade"
DMDEDUC3,3,"3rd grade"
DMDEDUC3,4,"4th grade"
DMDEDUC3,5,"5th grade"
DMDEDUC3,6,"6th grade"
DMDEDUC3,7,"7th grade"
DMDEDUC3,8,"8th grade"
DMDEDUC3,9,"9th grade"
DMDEDUC3,10,"10th grade"
DMDEDUC3,11,"11th grade"
DMDEDUC3,12,"12th grade, no diploma"
DMDEDUC3,13,"High school graduate"
DMDEDUC3,14,"GED or equivalent"
DMDEDUC3,15,"More than high school"
DMDEDUC3,55,"Less than 5th grade"
DMDEDUC3,66,"Less than 9th grade"
DMDEDUC3,77,"Refused"
DMDEDUC3,99,"Don't Know"
DMDEDUC3,.,"Missing"
DMDEDUC2,1,"Less than 9th grade"
DMDEDUC2,2,"9-11th grade (Includes 12th grade with no diploma)"
DMDEDUC2,3,"High school graduate/GED or equivalent"
DMDEDUC2,4,"Some college or AA degree"
DMDEDUC2,5,"College graduate or above"
DMDEDUC2,7,"Refused"
DMDEDUC2,9,"Don't Know"
DMDEDUC2,.,"Missing"
DMDMARTL,1,"Married"
DMDMARTL,2,"Widowed"
DMDMARTL,3,"Divorced"
DMDMARTL,4,"Separated"
DMDMARTL,5,"Never married"
DMDMARTL,6,"Living with partner"
DMDMARTL,77,"Refused"
DMDMARTL,99,"Don't Know"
DMDMARTL,.,"Missing"
RIDEXPRG,1,"Yes, positive lab pregnancy test or self-reported pregnant at exam"
RIDEXPRG,2,"The participant was not pregnant at exam"
RIDEXPRG,3,"Cannot ascertain if the participant is pregnant at exam"
RIDEXPRG,.,"Missing"
SIALANG,1,"English"
SIALANG,2,"Spanish"
SIALANG,.,"Missing"
SIAPROXY,1,"Yes"
SIAPROXY,2,"No"
SIAPROXY,.,"Missing"
SIAINTRP,1,"Yes"
SIAINTRP,2,"No"
SIAINTRP,.,"Missing"
FIALANG,1,"English"
FIALANG,2,"Spanish"
FIALANG,.,"Missing"
FIAPROXY,1,"Yes"
FIAPROXY,2,"No"
FIAPROXY,.,"Missing"
FIAINTRP,1,"Yes"
FIAINTRP,2,"No"
FIAINTRP,.,"Missing"
MIALANG,1,"English"
MIALANG,2,"Spanish"
MIALANG,.,"Missing"
MIAPROXY,1,"Yes"
MIAPROXY,2,"No"
MIAPROXY,.,"Missing"
MIAINTRP,1,"Yes"
MIAINTRP,2,"No"
MIAINTRP,.,"Missing"
AIALANGA,1,"English"
AIALANGA,2,"Spanish"
AIALANGA,3,"Asian languages"
AIALANGA,.,"Missing"
DMDHHSIZ,1,"1"
DMDHHSIZ,2,"2"
DMDHHSIZ,3,"3"
DMDHHSIZ,4,"4"
DMDHHSIZ,5,"5"
DMDHHSIZ,6,"6"
DMDHHSIZ,7,"7 or more people in the Household"
DMDHHSIZ,.,"Missing"
DMDFMSIZ,1,"1"
DMDFMSIZ,2,"2"
DMDFMSIZ,3,"3"
DMDFMSIZ,4,"4"
DMDFMSIZ,5,"5"
DMDFMSIZ,6,"6"
DMDFMSIZ,7,"7 or more people in the Family"
DMDFMSIZ,.,"Missing"
DMDHHSZA,0,"0"
DMDHHSZA,1,"1"
DMDHHSZA,2,"2"
DMDHHSZA,3,"3 or more"
DMDHHSZA,.,"Missing"
DMDHHSZB,0,"0"
DMDHHSZB,1,"1"
DMDHHSZB,2,"2"
DMDHHSZB,3,"3"
DMDHHSZB,4,"4 or more"
DMDHHSZB,.,"Missing"
DMDHHSZE,0,"0"
DMDHHSZE,1,"1"
DMDHHSZE,2,"2"
DMDHHSZE,3,"3 or more"
DMDHHSZE,.,"Missing"
DMDHRGND,1,"Male"
DMDHRGND,2,"Female"
DMDHRGND,.,"Missing"
DMDHRAGE,18 to 79,"Range of Values"
DMDHRAGE,80,"80 years of age and over"
