Column,Variable,Label
WTDRD1,2493.021655 to 267526.89097,"Range of Values"
WTDRD1,0,"Day 1 dietary recall not done/incomplete"
WTDRD1,.,"Missing"
WTDR2D,1953.802108 to 818626.65723,"Range of Values"
WTDR2D,0,"Day 2 dietary recall not done/incomplete"
WTDR2D,.,"Missing"
DR1ILINE,1 to 50,"Range of Values"
DR1ILINE,.,"Missing"
DR1DRSTZ,1,"Reliable and met the minimum criteria"
DR1DRSTZ,2,"Not reliable or not met the minimum criteria"
DR1DRSTZ,4,"Reported consuming breast-milk"
DR1DRSTZ,5,"Not done"
DR1DRSTZ,.,"Missing"
DR1EXMER,2 to 91,"Range of Values"
DR1EXMER,.,"Missing"
DRABF,1,"Yes"
DRABF,2,"No"
DRABF,.,"Missing"
DRDINT,1,"Day 1 only"
DRDINT,2,"Day 1 and day 2"
DRDINT,.,"Missing"
DR1DBIH,-31 to 74,"Range of Values"
DR1DBIH,.,"Missing"
DR1DAY,1,"Sunday"
DR1DAY,2,"Monday"
DR1DAY,3,"Tuesday"
DR1DAY,4,"Wednesday"
DR1DAY,5,"Thursday"
DR1DAY,6,"Friday"
DR1DAY,7,"Saturday"
DR1DAY,.,"Missing"
DR1LANG,1,"English"
DR1LANG,2,"Spanish"
DR1LANG,3,"English and Spanish"
DR1LANG,4,"Other"
DR1LANG,5,"Asian Languages"
DR1LANG,6,"Asian Languages and English"
DR1LANG,.,"Missing"
DR1CCMNM,0 to 14,"Range of Values"
DR1CCMNM,.,"Missing"
DR1CCMTX,0,"Non-combination food"
DR1CCMTX,1,"Beverage w/ additions"
DR1CCMTX,2,"Cereal w/ additions"
DR1CCMTX,3,"Bread/baked products w/ additions"
DR1CCMTX,4,"Salad"
DR1CCMTX,5,"Sandwiches"
DR1CCMTX,6,"Soup"
DR1CCMTX,7,"Frozen meals"
DR1CCMTX,8,"Ice cream/frozen yogurt w/ additions"
DR1CCMTX,9,"Dried beans and vegetable w/ additions"
DR1CCMTX,10,"Fruit w/ additions"
DR1CCMTX,11,"Tortilla products"
DR1CCMTX,12,"Meat, poultry, fish"
DR1CCMTX,13,"Lunchables"
DR1CCMTX,14,"Chips w/ additions"
DR1CCMTX,90,"Other mixtures		"
DR1CCMTX,.,"Missing"
DR1_020,0 to 86340,"Range of Values"
