Column,Variable,Label
WTDRD1,2679.120863 to 267526.89097,"Range of Values"
WTDRD1,0,"Day 1 dietary recall not done/incomplete"
WTDRD1,.,"Missing"
WTDR2D,2314.503829 to 818626.65723,"Range of Values"
WTDR2D,0,"Day 2 dietary recall not done/incomplete"
WTDR2D,.,"Missing"
DR1DRSTZ,1,"Reliable and met the minimum criteria"
DR1DRSTZ,2,"Not reliable or not met the minimum criteria"
DR1DRSTZ,4,"Reported consuming breast-milk"
DR1DRSTZ,5,"Not done"
DR1DRSTZ,.,"Missing"
DR1EXMER,2 to 91,"Range of Values"
DR1EXMER,.,"Missing"
DRDINT,1,"Day 1 only"
DRDINT,2,"Day 1 and day 2"
DRDINT,.,"Missing"
DR1DBIH,-31 to 74,"Range of Values"
DR1DBIH,.,"Missing"
DR1DAY,1,"Sunday"
DR1DAY,2,"Monday"
DR1DAY,3,"Tuesday"
DR1DAY,4,"Wednesday"
DR1DAY,5,"Thursday"
DR1DAY,6,"Friday"
DR1DAY,7,"Saturday"
DR1DAY,.,"Missing"
DR1LANG,1,"English"
DR1LANG,2,"Spanish"
DR1LANG,3,"English and Spanish"
DR1LANG,4,"Other"
DR1LANG,5,"Asian Languages"
DR1LANG,6,"Asian Languages and English"
DR1LANG,.,"Missing"
DS1LOC,1,"HouseHold Interview"
DS1LOC,2,"MEC Interview"
DS1LOC,3,"Phone Interview"
DS1LOC,.,"Missing"
DSDSUPID,NCHS Supplement ID,"Value was recorded"
DSDSUPID,< blank >,"Missing"
DSDSUPP,Supplement Name,"Value was recorded"
DSDSUPP,< blank >,"Missing"
DS1MTCH,1,"Exact or near exact match"
DS1MTCH,2,"Probable match"
DS1MTCH,3,"Generic match"
DS1MTCH,4,"Reasonable match"
DS1MTCH,5,"Default match"
DS1MTCH,6,"No match"
DS1MTCH,7,"Refused"
DS1MTCH,9,"Don't know"
DS1MTCH,.,"Missing"
DS1ANTA,0,"Non-antacid supplement"
DS1ANTA,1,"Antacid containing calcium and/or magnesium"
DS1ANTA,2,"Antacids reported with antacids"
DS1ANTA,.,"Missing"
DS1ACTSS,0.08 to 15,"Range of Values"
DS1ACTSS,999,"Don't know"
DS1ACTSS,.,"Missing"
DS1IKCAL,1 to 510,"Range of Values"
DS1IKCAL,.,"Missing"
DS1IPROT,0.02 to 46,"Range of Values"
DS1IPROT,.,"Missing"
DS1ICARB,0.1 to 76,"Range of Values"
DS1ICARB,.,"Missing"
DS1ISUGR,0.25 to 30,"Range of Values"
DS1ISUGR,.,"Missing"
DS1IFIBE,0.2 to 18,"Range of Values"
DS1IFIBE,.,"Missing"
DS1ITFAT,0.02 to 36,"Range of Values"
DS1ITFAT,.,"Missing"
DS1ISFAT,0.093 to 9,"Range of Values"
DS1ISFAT,.,"Missing"
DS1IMFAT,0.0003 to 9,"Range of Values"
DS1IMFAT,.,"Missing"
DS1IPFAT,0.05 to 18,"Range of Values"
DS1IPFAT,.,"Missing"
DS1ICHOL,1 to 135,"Range of Values"
DS1ICHOL,.,"Missing"
DS1ILYCO,33 to 10000,"Range of Values"
DS1ILYCO,.,"Missing"
DS1ILZ,33 to 40000,"Range of Values"
DS1ILZ,.,"Missing"
DS1IVB1,0.005 to 1500,"Range of Values"
DS1IVB1,.,"Missing"
DS1IVB2,0.002 to 200,"Range of Values"
DS1IVB2,.,"Missing"
DS1INIAC,0.303 to 1500,"Range of Values"
DS1INIAC,.,"Missing"
DS1IVB6,0.003 to 10000,"Range of Values"
DS1IVB6,.,"Missing"
DS1IFA,5 to 20000,"Range of Values"
DS1IFA,.,"Missing"
DS1IFDFE,9 to 34000,"Range of Values"
DS1IFDFE,.,"Missing"
DS1ICHL,0.003 to 750,"Range of Values"
DS1ICHL,.,"Missing"
DS1IVB12,0.08 to 10000,"Range of Values"
DS1IVB12,.,"Missing"
DS1IVC,0.5 to 6000,"Range of Values"
DS1IVC,.,"Missing"
DS1IVK,5 to 45000,"Range of Values"
DS1IVK,.,"Missing"
DS1IVD,0.03 to 1250,"Range of Values"
DS1IVD,.,"Missing"
DS1ICALC,2 to 4000,"Range of Values"
DS1ICALC,.,"Missing"
DS1IPHOS,0.02 to 1100,"Range of Values"
DS1IPHOS,.,"Missing"
DS1IMAGN,1 to 1200,"Range of Values"
DS1IMAGN,.,"Missing"
DS1IIRON,0.068 to 500,"Range of Values"
DS1IIRON,.,"Missing"
DS1IZINC,0.18 to 160,"Range of Values"
DS1IZINC,.,"Missing"
DS1ICOPP,0.025 to 30,"Range of Values"
DS1ICOPP,.,"Missing"
DS1ISODI,0.8 to 460,"Range of Values"
DS1ISODI,.,"Missing"
DS1IPOTA,0.1 to 1200,"Range of Values"
DS1IPOTA,.,"Missing"
DS1ISELE,1 to 400,"Range of Values"
DS1ISELE,.,"Missing"
DS1ICAFF,2 to 170,"Range of Values"
DS1ICAFF,.,"Missing"
DS1IIODI,3.75 to 12500,"Range of Values"
DS1IIODI,.,"Missing"
