Column,Variable,Label
WTDRD1,2493.021655 to 267526.89097,"Range of Values"
WTDRD1,0,"Day 1 dietary recall not done/incomplete"
WTDRD1,.,"Missing"
WTDR2D,1953.802108 to 818626.65723,"Range of Values"
WTDR2D,0,"Day 2 dietary recall not done/incomplete"
WTDR2D,.,"Missing"
DR2DRSTZ,1,"Reliable and met the minimum criteria"
DR2DRSTZ,2,"Not reliable or not met the minimum criteria"
DR2DRSTZ,4,"Reported consuming breast-milk"
DR2DRSTZ,5,"Not done"
DR2DRSTZ,.,"Missing"
DR2EXMER,32 to 91,"Range of Values"
DR2EXMER,.,"Missing"
DRDINT,1,"Day 1 only"
DRDINT,2,"Day 1 and day 2"
DRDINT,.,"Missing"
DR2DBIH,-28 to 157,"Range of Values"
DR2DBIH,.,"Missing"
DR2DAY,1,"Sunday"
DR2DAY,2,"Monday"
DR2DAY,3,"Tuesday"
DR2DAY,4,"Wednesday"
DR2DAY,5,"Thursday"
DR2DAY,6,"Friday"
DR2DAY,7,"Saturday"
DR2DAY,.,"Missing"
DR2LANG,1,"English"
DR2LANG,2,"Spanish"
DR2LANG,3,"English and Spanish"
DR2LANG,4,"Other"
DR2LANG,5,"Asian Languages"
DR2LANG,6,"Asian Languages and English"
DR2LANG,.,"Missing"
DR2MNRSP,1,"SP"
DR2MNRSP,2,"Mother of SP"
DR2MNRSP,3,"Father of SP"
DR2MNRSP,4,"Wife of SP"
DR2MNRSP,5,"Husband of SP"
DR2MNRSP,6,"Daughter of SP"
DR2MNRSP,7,"Son of SP"
DR2MNRSP,8,"Grandparent of SP"
DR2MNRSP,9,"Friend, Partner, Non Relative"
DR2MNRSP,10,"Translator, not a HH member"
DR2MNRSP,11,"Child care provider, Caretaker"
DR2MNRSP,12,"Other Relative"
DR2MNRSP,13,"Other specify"
DR2MNRSP,77,"Refused"
DR2MNRSP,99,"Don't know"
DR2MNRSP,.,"Missing"
DR2HELPD,1,"SP"
DR2HELPD,2,"Mother of SP"
DR2HELPD,3,"Father of SP"
DR2HELPD,4,"Wife of SP"
DR2HELPD,5,"Husband of SP"
DR2HELPD,6,"Daughter of SP"
DR2HELPD,7,"Son of SP"
DR2HELPD,8,"Grandparent of SP"
DR2HELPD,9,"Friend, Partner, Non Relative"
DR2HELPD,10,"Translator, not a HH member"
