Column,Variable,Label
DSDSUPID,SUPPLEMENT ID NUMBER,"Value was recorded"
DSDSUPID,< blank >,"Missing"
DSDSUPP,SUPPLEMENT NAME,"Value was recorded"
DSDSUPP,< blank >,"Missing"
DSDSRCE,1,"Directly from manufacturer"
DSDSRCE,2,"Directly from distributor"
DSDSRCE,4,"Inferred from supplement name"
DSDSRCE,5,"Physician's Desk Reference (PDR)"
DSDSRCE,7,"Product Catalog"
DSDSRCE,8,"Internet Listing"
DSDSRCE,9,"Supplement label or carton"
DSDSRCE,10,"Supplement from same manufacturer"
DSDSRCE,11,"Dietary Supplement Label Database"
DSDSRCE,.,"Missing"
DSDTYPE,1,"Infant/pediatric formulation"
DSDTYPE,2,"Prenatal formulation"
DSDTYPE,3,"Mature formulation"
DSDTYPE,4,"Standard formulation"
DSDTYPE,.,"Missing"
DSDSERVQ,0.25 to 60,"Range of Values"
DSDSERVQ,.,"Missing"
DSDSERVU,1,"Caplet"
DSDSERVU,2,"Capsule"
DSDSERVU,3,"Dropper"
DSDSERVU,4,"Drop"
DSDSERVU,5,"Fluid Ounce"
DSDSERVU,6,"Gel Cap"
DSDSERVU,9,"Lozenge"
DSDSERVU,10,"Milliliter"
DSDSERVU,12,"Package/Packet"
DSDSERVU,13,"Pill"
DSDSERVU,14,"Tablespoon/Powder"
DSDSERVU,16,"Softgel"
DSDSERVU,17,"Tablespoon/Liquid"
DSDSERVU,18,"Tablet"
DSDSERVU,19,"Teaspoon/Liquid"
DSDSERVU,20,"Wafer"
DSDSERVU,21,"Ounce/Powder"
DSDSERVU,22,"Spray/Squirt"
DSDSERVU,24,"Scoop/Powder"
DSDSERVU,25,"Cup/Powder"
DSDSERVU,27,"Chew"
DSDSERVU,29,"Vegicap"
DSDSERVU,30,"Can/Liquid"
DSDSERVU,31,"Capful"
DSDSERVU,32,"Gumball"
DSDSERVU,33,"Gram/Powder"
DSDSERVU,34,"Teaspoon/Powder"
DSDSERVU,37,"Cup/Liquid"
DSDSERVU,38,"Gram/Liquid"
DSDSERVU,39,"Drop/Lozenge"
DSDSERVU,42,"Strip"
DSDSERVU,43,"Bottle/Liquid"
DSDSERVU,99,"Unknown"
DSDSERVU,.,"Missing"
DSDCNTV,0 to 18,"Range of Values"
DSDCNTV,.,"Missing"
DSDCNTM,0 to 72,"Range of Values"
DSDCNTM,.,"Missing"
DSDCNTA,0 to 23,"Range of Values"
DSDCNTA,.,"Missing"
DSDCNTB,0 to 117,"Range of Values"
DSDCNTB,.,"Missing"
DSDCNTO,0 to 46,"Range of Values"
DSDCNTO,.,"Missing"
