Column,Variable,Label
DSDCOUNT,0 to 20,"Range of Values"
DSDCOUNT,77,"Refused"
DSDCOUNT,99,"Don't know"
DSDCOUNT,.,"Missing"
DSDANCNT,0 to 2,"Range of Values"
DSDANCNT,77,"Refused"
DSDANCNT,99,"Don't know"
DSDANCNT,.,"Missing"
DSD010,1,"Yes"
DSD010,2,"No"
DSD010,7,"Refused"
DSD010,9,"Don't know"
DSD010,.,"Missing"
DSD010AN,1,"Yes"
DSD010AN,2,"No"
DSD010AN,7,"Refused"
DSD010AN,9,"Don't know"
DSD010AN,.,"Missing"
DSQTKCAL,0.1 to 715.1,"Range of Values"
DSQTKCAL,.,"Missing"
DSQTPROT,0.01 to 62,"Range of Values"
DSQTPROT,.,"Missing"
DSQTCARB,0.005 to 119.73,"Range of Values"
DSQTCARB,.,"Missing"
DSQTSUGR,0.01 to 34.51,"Range of Values"
DSQTSUGR,.,"Missing"
DSQTFIBE,0.003 to 18,"Range of Values"
DSQTFIBE,.,"Missing"
DSQTTFAT,0.003 to 36,"Range of Values"
DSQTTFAT,.,"Missing"
DSQTSFAT,0.002 to 9,"Range of Values"
DSQTSFAT,.,"Missing"
DSQTMFAT,0.0001 to 9,"Range of Values"
DSQTMFAT,.,"Missing"
DSQTPFAT,0.002 to 18,"Range of Values"
DSQTPFAT,.,"Missing"
DSQTCHOL,0.002 to 135,"Range of Values"
DSQTCHOL,.,"Missing"
DSQTLYCO,10 to 23000,"Range of Values"
DSQTLYCO,.,"Missing"
DSQTLZ,0.2 to 25000,"Range of Values"
DSQTLZ,.,"Missing"
DSQTVB1,0.002 to 1500,"Range of Values"
DSQTVB1,.,"Missing"
DSQTVB2,0.001 to 225,"Range of Values"
DSQTVB2,.,"Missing"
DSQTNIAC,0.05 to 3000,"Range of Values"
DSQTNIAC,.,"Missing"
DSQTVB6,0.001 to 10010,"Range of Values"
DSQTVB6,.,"Missing"
DSQTFA,0.1 to 2800,"Range of Values"
DSQTFA,.,"Missing"
DSQTFDFE,0.2 to 4760,"Range of Values"
DSQTFDFE,.,"Missing"
DSQTCHL,0.001 to 500,"Range of Values"
DSQTCHL,.,"Missing"
DSQTVB12,0.02 to 15100,"Range of Values"
DSQTVB12,.,"Missing"
DSQTVC,0.1 to 5015,"Range of Values"
DSQTVC,.,"Missing"
DSQTVK,0.7 to 45000,"Range of Values"
DSQTVK,.,"Missing"
DSQTVD,0.004 to 1260,"Range of Values"
DSQTVD,.,"Missing"
DSQTCALC,0.1 to 4000,"Range of Values"
DSQTCALC,.,"Missing"
DSQTPHOS,0.02 to 1330,"Range of Values"
DSQTPHOS,.,"Missing"
DSQTMAGN,0.03 to 1800,"Range of Values"
DSQTMAGN,.,"Missing"
DSQTIRON,0.0133 to 195,"Range of Values"
DSQTIRON,.,"Missing"
DSQTZINC,0.02 to 160,"Range of Values"
DSQTZINC,.,"Missing"
DSQTCOPP,0.0042 to 30,"Range of Values"
DSQTCOPP,.,"Missing"
DSQTSODI,0.1 to 680,"Range of Values"
DSQTSODI,.,"Missing"
DSQTPOTA,0.083 to 1005,"Range of Values"
DSQTPOTA,.,"Missing"
DSQTSELE,0.1 to 566,"Range of Values"
DSQTSELE,.,"Missing"
DSQTCAFF,2 to 405,"Range of Values"
DSQTCAFF,.,"Missing"
DSQTIODI,0.67 to 10416.67,"Range of Values"
DSQTIODI,.,"Missing"
