Column,Variable,Label
CSXEXSTS,1,"Complete"
CSXEXSTS,2,"Partial"
CSXEXSTS,3,"Not done"
CSXEXSTS,.,"Missing"
CSXEXCMT,1,"Safety exclusion"
CSXEXCMT,2,"Refused"
CSXEXCMT,3,"No Time"
CSXEXCMT,4,"Physical Limitation"
CSXEXCMT,5,"Communication Problem"
CSXEXCMT,6,"Equipment problem"
CSXEXCMT,7,"SP ill/emergency"
CSXEXCMT,12,"Eye specific limitation"
CSXEXCMT,34,"SP pregnant"
CSXEXCMT,38,"Technical difficulty"
CSXEXCMT,49,"Urine not Collected"
CSXEXCMT,51,"SP unable to comply"
CSXEXCMT,56,"Came Late/Left Early"
CSXEXCMT,84,"SP with Child"
CSXEXCMT,99,"Other"
CSXEXCMT,122,"Language Barrier"
CSXEXCMT,.,"Missing"
CSQ245,1,"Yes"
CSQ245,2,"No"
CSQ245,7,"Refused"
CSQ245,9,"Don't know"
CSQ245,.,"Missing"
CSQ241,1,"Yes"
CSQ241,2,"No"
CSQ241,7,"Refused"
CSQ241,9,"Don't know"
CSQ241,.,"Missing"
CSQ260a,1,"Checked"
CSQ260a,7,"Refused"
CSQ260a,9,"Don't know"
CSQ260a,.,"Missing"
CSQ260d,1,"Checked"
CSQ260d,.,"Missing"
CSQ260g,1,"Checked"
CSQ260g,.,"Missing"
CSQ260i,1,"Checked"
CSQ260i,.,"Missing"
CSQ260n,1,"Checked"
CSQ260n,.,"Missing"
CSQ260m,1,"Checked"
CSQ260m,.,"Missing"
CSQ270,1,"Yes"
CSQ270,2,"No"
CSQ270,7,"Refused"
CSQ270,9,"Don't know"
CSQ270,.,"Missing"
CSQ450,0 to 100,"Range of Values"
CSQ450,.,"Missing"
CSQ460,0 to 100,"Range of Values"
CSQ460,.,"Missing"
CSQ470,0 to 100,"Range of Values"
CSQ470,.,"Missing"
CSQ480,0 to 100,"Range of Values"
CSQ480,.,"Missing"
CSQ490,0 to 100,"Range of Values"
CSQ490,.,"Missing"
CSXQUIPG,0 to 100,"Range of Values"
CSXQUIPG,.,"Missing"
CSXQUIPT,1,"Salty"
CSXQUIPT,2,"Bitter"
CSXQUIPT,3,"Something else"
CSXQUIPT,4,"No Taste"
CSXQUIPT,5,"Sour"
CSXQUIPT,.,"Missing"
CSXNAPG,0 to 100,"Range of Values"
CSXNAPG,.,"Missing"
CSXNAPT,1,"Salty"
CSXNAPT,2,"Bitter"
CSXNAPT,3,"Something else"
CSXNAPT,4,"No Taste"
CSXNAPT,5,"Sour"
CSXNAPT,.,"Missing"
CSXQUISG,0 to 100,"Range of Values"
CSXQUISG,.,"Missing"
CSXQUIST,1,"Salty"
CSXQUIST,2,"Bitter"
CSXQUIST,3,"Something else"
CSXQUIST,4,"No Taste"
CSXQUIST,5,"Sour"
CSXQUIST,.,"Missing"
CSXSLTSG,2 to 100,"Range of Values"
CSXSLTSG,.,"Missing"
CSXSLTST,1,"Salty"
CSXSLTST,2,"Bitter"
CSXSLTST,3,"Something else"
CSXSLTST,4,"No Taste"
CSXSLTST,5,"Sour"
CSXSLTST,.,"Missing"
CSXNASG,0 to 100,"Range of Values"
CSXNASG,.,"Missing"
CSXNAST,1,"Salty"
CSXNAST,2,"Bitter"
CSXNAST,3,"Something else"
CSXNAST,4,"No Taste"
CSXNAST,5,"Sour"
CSXNAST,.,"Missing"
