Column,Variable,Label
DXDLSPST,1,"IVA Lateral Spine scan completed, all vertebra are valid"
DXDLSPST,2,"IVA Lateral Spine scan completed, but one or more vertebrae are invalid"
DXDLSPST,3,"IVA Lateral Spine not scanned, pregnancy"
DXDLSPST,4,"IVA Lateral Spine not scanned, weight > 450 lbs"
DXDLSPST,5,"IVA Lateral Spine not scanned, other reason"
DXDLSPST,.,"Missing"
DXXT4CC,0,"Valid data"
DXXT4CC,1,"Objects not removed"
DXXT4CC,2,"Non-removable objects such as implants"
DXXT4CC,3,"Excessive x-ray noise due to morbid obesity"
DXXT4CC,4,"Insufficient scan area"
DXXT4CC,5,"Movement"
DXXT4CC,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT4CC,.,"Missing"
DXXT5CC,0,"Valid data"
DXXT5CC,1,"Objects not removed"
DXXT5CC,2,"Non-removable objects such as implants"
DXXT5CC,3,"Excessive x-ray noise due to morbid obesity"
DXXT5CC,4,"Insufficient scan area"
DXXT5CC,5,"Movement"
DXXT5CC,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT5CC,.,"Missing"
DXXT6CC,0,"Valid data"
DXXT6CC,1,"Objects not removed"
DXXT6CC,2,"Non-removable objects such as implants"
DXXT6CC,3,"Excessive x-ray noise due to morbid obesity"
DXXT6CC,4,"Insufficient scan area"
DXXT6CC,5,"Movement"
DXXT6CC,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT6CC,.,"Missing"
DXXT7CC,0,"Valid data"
DXXT7CC,1,"Objects not removed"
DXXT7CC,2,"Non-removable objects such as implants"
DXXT7CC,3,"Excessive x-ray noise due to morbid obesity"
DXXT7CC,4,"Insufficient scan area"
DXXT7CC,5,"Movement"
DXXT7CC,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT7CC,.,"Missing"
DXXT8CC,0,"Valid data"
DXXT8CC,1,"Objects not removed"
DXXT8CC,2,"Non-removable objects such as implants"
DXXT8CC,3,"Excessive x-ray noise due to morbid obesity"
DXXT8CC,4,"Insufficient scan area"
DXXT8CC,5,"Movement"
DXXT8CC,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT8CC,.,"Missing"
DXXT9CC,0,"Valid data"
DXXT9CC,1,"Objects not removed"
DXXT9CC,2,"Non-removable objects such as implants"
DXXT9CC,3,"Excessive x-ray noise due to morbid obesity"
DXXT9CC,4,"Insufficient scan area"
DXXT9CC,5,"Movement"
DXXT9CC,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT9CC,.,"Missing"
DXXT10CC,0,"Valid data"
DXXT10CC,1,"Objects not removed"
DXXT10CC,2,"Non-removable objects such as implants"
DXXT10CC,3,"Excessive x-ray noise due to morbid obesity"
DXXT10CC,4,"Insufficient scan area"
DXXT10CC,5,"Movement"
DXXT10CC,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT10CC,.,"Missing"
DXXT11CC,0,"Valid data"
DXXT11CC,1,"Objects not removed"
DXXT11CC,2,"Non-removable objects such as implants"
