Column,Variable,Label
OHDEXSTS,1,"Complete"
OHDEXSTS,2,"Partial"
OHDEXSTS,3,"Not Done"
OHDEXSTS,.,"Missing"
OHDDESTS,1,"Complete"
OHDDESTS,2,"Partial"
OHDDESTS,3,"Not Done"
OHDDESTS,.,"Missing"
OHXIMP,1,"Yes"
OHXIMP,2,"No"
OHXIMP,.,"Missing"
OHX01TC,1,"Primary tooth (deciduous) present"
OHX01TC,2,"Permanent tooth present"
OHX01TC,3,"Dental implant"
OHX01TC,4,"Tooth not present"
OHX01TC,5,"Permanent dental root fragment present"
OHX01TC,9,"Could not assess"
OHX01TC,.,"Missing"
OHX02TC,1,"Primary tooth (deciduous) present"
OHX02TC,2,"Permanent tooth present"
OHX02TC,3,"Dental implant"
OHX02TC,4,"Tooth not present"
OHX02TC,5,"Permanent dental root fragment present"
OHX02TC,9,"Could not assess"
OHX02TC,.,"Missing"
OHX03TC,1,"Primary tooth (deciduous) present"
OHX03TC,2,"Permanent tooth present"
OHX03TC,3,"Dental implant"
OHX03TC,4,"Tooth not present"
OHX03TC,5,"Permanent dental root fragment present"
OHX03TC,9,"Could not assess"
OHX03TC,.,"Missing"
OHX04TC,1,"Primary tooth (deciduous) present"
OHX04TC,2,"Permanent tooth present"
OHX04TC,3,"Dental implant"
OHX04TC,4,"Tooth not present"
OHX04TC,5,"Permanent dental root fragment present"
OHX04TC,9,"Could not assess"
OHX04TC,.,"Missing"
OHX05TC,1,"Primary tooth (deciduous) present"
OHX05TC,2,"Permanent tooth present"
OHX05TC,3,"Dental implant"
OHX05TC,4,"Tooth not present"
OHX05TC,5,"Permanent dental root fragment present"
OHX05TC,9,"Could not assess"
OHX05TC,.,"Missing"
OHX06TC,1,"Primary tooth (deciduous) present"
OHX06TC,2,"Permanent tooth present"
OHX06TC,3,"Dental implant"
OHX06TC,4,"Tooth not present"
OHX06TC,5,"Permanent dental root fragment present"
OHX06TC,9,"Could not assess"
OHX06TC,.,"Missing"
OHX07TC,1,"Primary tooth (deciduous) present"
OHX07TC,2,"Permanent tooth present"
OHX07TC,3,"Dental implant"
OHX07TC,4,"Tooth not present"
OHX07TC,5,"Permanent dental root fragment present"
OHX07TC,9,"Could not assess"
OHX07TC,.,"Missing"
OHX08TC,1,"Primary tooth (deciduous) present"
OHX08TC,2,"Permanent tooth present"
OHX08TC,3,"Dental implant"
OHX08TC,4,"Tooth not present"
OHX08TC,5,"Permanent dental root fragment present"
OHX08TC,9,"Could not assess"
OHX08TC,.,"Missing"
OHX09TC,1,"Primary tooth (deciduous) present"
OHX09TC,2,"Permanent tooth present"
OHX09TC,3,"Dental implant"
OHX09TC,4,"Tooth not present"
OHX09TC,5,"Permanent dental root fragment present"
OHX09TC,9,"Could not assess"
OHX09TC,.,"Missing"
OHX10TC,1,"Primary tooth (deciduous) present"
OHX10TC,2,"Permanent tooth present"
OHX10TC,3,"Dental implant"
OHX10TC,4,"Tooth not present"
OHX10TC,5,"Permanent dental root fragment present"
OHX10TC,9,"Could not assess"
OHX10TC,.,"Missing"
OHX11TC,1,"Primary tooth (deciduous) present"
OHX11TC,2,"Permanent tooth present"
OHX11TC,3,"Dental implant"
OHX11TC,4,"Tooth not present"
OHX11TC,5,"Permanent dental root fragment present"
OHX11TC,9,"Could not assess"
OHX11TC,.,"Missing"
OHX12TC,1,"Primary tooth (deciduous) present"
OHX12TC,2,"Permanent tooth present"
OHX12TC,3,"Dental implant"
OHX12TC,4,"Tooth not present"
OHX12TC,5,"Permanent dental root fragment present"
OHX12TC,9,"Could not assess"
OHX12TC,.,"Missing"
OHX13TC,1,"Primary tooth (deciduous) present"
OHX13TC,2,"Permanent tooth present"
OHX13TC,3,"Dental implant"
OHX13TC,4,"Tooth not present"
OHX13TC,5,"Permanent dental root fragment present"
OHX13TC,9,"Could not assess"
OHX13TC,.,"Missing"
OHX14TC,1,"Primary tooth (deciduous) present"
OHX14TC,2,"Permanent tooth present"
OHX14TC,3,"Dental implant"
OHX14TC,4,"Tooth not present"
OHX14TC,5,"Permanent dental root fragment present"
OHX14TC,9,"Could not assess"
OHX14TC,.,"Missing"
OHX15TC,1,"Primary tooth (deciduous) present"
OHX15TC,2,"Permanent tooth present"
OHX15TC,3,"Dental implant"
OHX15TC,4,"Tooth not present"
OHX15TC,5,"Permanent dental root fragment present"
OHX15TC,9,"Could not assess"
OHX15TC,.,"Missing"
OHX16TC,1,"Primary tooth (deciduous) present"
OHX16TC,2,"Permanent tooth present"
OHX16TC,3,"Dental implant"
OHX16TC,4,"Tooth not present"
OHX16TC,5,"Permanent dental root fragment present"
OHX16TC,9,"Could not assess"
OHX16TC,.,"Missing"
OHX17TC,1,"Primary tooth (deciduous) present"
OHX17TC,2,"Permanent tooth present"
OHX17TC,3,"Dental implant"
OHX17TC,4,"Tooth not present"
OHX17TC,5,"Permanent dental root fragment present"
OHX17TC,9,"Could not assess"
OHX17TC,.,"Missing"
OHX18TC,1,"Primary tooth (deciduous) present"
OHX18TC,2,"Permanent tooth present"
OHX18TC,3,"Dental implant"
OHX18TC,4,"Tooth not present"
OHX18TC,5,"Permanent dental root fragment present"
OHX18TC,9,"Could not assess"
OHX18TC,.,"Missing"
OHX19TC,1,"Primary tooth (deciduous) present"
OHX19TC,2,"Permanent tooth present"
OHX19TC,3,"Dental implant"
OHX19TC,4,"Tooth not present"
OHX19TC,5,"Permanent dental root fragment present"
OHX19TC,9,"Could not assess"
OHX19TC,.,"Missing"
OHX20TC,1,"Primary tooth (deciduous) present"
OHX20TC,2,"Permanent tooth present"
OHX20TC,3,"Dental implant"
OHX20TC,4,"Tooth not present"
OHX20TC,5,"Permanent dental root fragment present"
OHX20TC,9,"Could not assess"
OHX20TC,.,"Missing"
OHX21TC,1,"Primary tooth (deciduous) present"
OHX21TC,2,"Permanent tooth present"
OHX21TC,3,"Dental implant"
OHX21TC,4,"Tooth not present"
OHX21TC,5,"Permanent dental root fragment present"
OHX21TC,9,"Could not assess"
OHX21TC,.,"Missing"
OHX22TC,1,"Primary tooth (deciduous) present"
OHX22TC,2,"Permanent tooth present"
OHX22TC,3,"Dental implant"
OHX22TC,4,"Tooth not present"
OHX22TC,5,"Permanent dental root fragment present"
OHX22TC,9,"Could not assess"
OHX22TC,.,"Missing"
OHX23TC,1,"Primary tooth (deciduous) present"
OHX23TC,2,"Permanent tooth present"
OHX23TC,3,"Dental implant"
OHX23TC,4,"Tooth not present"
OHX23TC,5,"Permanent dental root fragment present"
OHX23TC,9,"Could not assess"
OHX23TC,.,"Missing"
OHX24TC,1,"Primary tooth (deciduous) present"
OHX24TC,2,"Permanent tooth present"
OHX24TC,3,"Dental implant"
OHX24TC,4,"Tooth not present"
OHX24TC,5,"Permanent dental root fragment present"
OHX24TC,9,"Could not assess"
OHX24TC,.,"Missing"
OHX25TC,1,"Primary tooth (deciduous) present"
OHX25TC,2,"Permanent tooth present"
OHX25TC,3,"Dental implant"
OHX25TC,4,"Tooth not present"
OHX25TC,5,"Permanent dental root fragment present"
OHX25TC,9,"Could not assess"
OHX25TC,.,"Missing"
OHX26TC,1,"Primary tooth (deciduous) present"
OHX26TC,2,"Permanent tooth present"
OHX26TC,3,"Dental implant"
OHX26TC,4,"Tooth not present"
OHX26TC,5,"Permanent dental root fragment present"
OHX26TC,9,"Could not assess"
OHX26TC,.,"Missing"
OHX27TC,1,"Primary tooth (deciduous) present"
OHX27TC,2,"Permanent tooth present"
OHX27TC,3,"Dental implant"
OHX27TC,4,"Tooth not present"
OHX27TC,5,"Permanent dental root fragment present"
OHX27TC,9,"Could not assess"
OHX27TC,.,"Missing"
OHX28TC,1,"Primary tooth (deciduous) present"
OHX28TC,2,"Permanent tooth present"
OHX28TC,3,"Dental implant"
OHX28TC,4,"Tooth not present"
