Column,Variable,Label
OHDEXSTS,1,"Complete"
OHDEXSTS,2,"Partial"
OHDEXSTS,3,"Not done"
OHDEXSTS,.,"Missing"
OHDPDSTS,1,"Complete"
OHDPDSTS,2,"Partial"
OHDPDSTS,3,"Not Done"
OHDPDSTS,.,"Missing"
OHDEXCLU,1,"Yes"
OHDEXCLU,2,"No"
OHDEXCLU,.,"Missing"
OHX02CJD,-6 to 3,"Range of Values"
OHX02CJD,99,"Cannot be assessed"
OHX02CJD,.,"Missing"
OHX02CJM,-7 to 3,"Range of Values"
OHX02CJM,99,"Cannot be assessed"
OHX02CJM,.,"Missing"
OHX02CJS,-8 to 3,"Range of Values"
OHX02CJS,99,"Cannot be assessed"
OHX02CJS,.,"Missing"
OHX02CJP,-10 to 4,"Range of Values"
OHX02CJP,99,"Cannot be assessed"
OHX02CJP,.,"Missing"
OHX02CJL,-11 to 2,"Range of Values"
OHX02CJL,99,"Cannot be assessed"
OHX02CJL,.,"Missing"
OHX02CJA,-7 to 3,"Range of Values"
OHX02CJA,99,"Cannot be assessed"
OHX02CJA,.,"Missing"
OHX02PCD,0 to 7,"Range of Values"
OHX02PCD,99,"Cannot be assessed"
OHX02PCD,.,"Missing"
OHX02PCM,0 to 8,"Range of Values"
OHX02PCM,99,"Cannot be assessed"
OHX02PCM,.,"Missing"
OHX02PCS,0 to 8,"Range of Values"
OHX02PCS,99,"Cannot be assessed"
OHX02PCS,.,"Missing"
OHX02PCP,0 to 9,"Range of Values"
OHX02PCP,99,"Cannot be assessed"
OHX02PCP,.,"Missing"
OHX02PCL,0 to 7,"Range of Values"
OHX02PCL,99,"Cannot be assessed"
OHX02PCL,.,"Missing"
OHX02PCA,0 to 12,"Range of Values"
OHX02PCA,99,"Cannot be assessed"
OHX02PCA,.,"Missing"
OHX02LAD,0 to 10,"Range of Values"
OHX02LAD,99,"Cannot be assessed"
OHX02LAD,.,"Missing"
OHX02LAM,0 to 11,"Range of Values"
OHX02LAM,99,"Cannot be assessed"
OHX02LAM,.,"Missing"
OHX02LAS,0 to 12,"Range of Values"
OHX02LAS,99,"Cannot be assessed"
OHX02LAS,.,"Missing"
OHX02LAP,0 to 12,"Range of Values"
OHX02LAP,99,"Cannot be assessed"
OHX02LAP,.,"Missing"
OHX02LAL,0 to 12,"Range of Values"
OHX02LAL,99,"Cannot be assessed"
OHX02LAL,.,"Missing"
OHX02LAA,0 to 17,"Range of Values"
OHX02LAA,99,"Cannot be assessed"
OHX02LAA,.,"Missing"
OHX03CJD,-12 to 3,"Range of Values"
OHX03CJD,99,"Cannot be assessed"
OHX03CJD,.,"Missing"
OHX03CJM,-12 to 3,"Range of Values"
OHX03CJM,99,"Cannot be assessed"
OHX03CJM,.,"Missing"
OHX03CJS,-6 to 3,"Range of Values"
OHX03CJS,99,"Cannot be assessed"
OHX03CJS,.,"Missing"
OHX03CJP,-10 to 4,"Range of Values"
OHX03CJP,99,"Cannot be assessed"
OHX03CJP,.,"Missing"
OHX03CJL,-12 to 1,"Range of Values"
OHX03CJL,99,"Cannot be assessed"
OHX03CJL,.,"Missing"
OHX03CJA,-6 to 3,"Range of Values"
OHX03CJA,99,"Cannot be assessed"
OHX03CJA,.,"Missing"
OHX03PCD,0 to 12,"Range of Values"
OHX03PCD,99,"Cannot be assessed"
OHX03PCD,.,"Missing"
OHX03PCM,0 to 10,"Range of Values"
OHX03PCM,99,"Cannot be assessed"
OHX03PCM,.,"Missing"
OHX03PCS,0 to 9,"Range of Values"
OHX03PCS,99,"Cannot be assessed"
OHX03PCS,.,"Missing"
OHX03PCP,0 to 12,"Range of Values"
OHX03PCP,99,"Cannot be assessed"
OHX03PCP,.,"Missing"
OHX03PCL,0 to 7,"Range of Values"
OHX03PCL,99,"Cannot be assessed"
OHX03PCL,.,"Missing"
OHX03PCA,0 to 7,"Range of Values"
OHX03PCA,99,"Cannot be assessed"
OHX03PCA,.,"Missing"
OHX03LAD,0 to 15,"Range of Values"
OHX03LAD,99,"Cannot be assessed"
OHX03LAD,.,"Missing"
OHX03LAM,0 to 16,"Range of Values"
OHX03LAM,99,"Cannot be assessed"
OHX03LAM,.,"Missing"
OHX03LAS,0 to 11,"Range of Values"
OHX03LAS,99,"Cannot be assessed"
OHX03LAS,.,"Missing"
OHX03LAP,0 to 14,"Range of Values"
OHX03LAP,99,"Cannot be assessed"
OHX03LAP,.,"Missing"
OHX03LAL,0 to 15,"Range of Values"
OHX03LAL,99,"Cannot be assessed"
OHX03LAL,.,"Missing"
OHX03LAA,0 to 9,"Range of Values"
OHX03LAA,99,"Cannot be assessed"
OHX03LAA,.,"Missing"
OHX04CJD,-6 to 3,"Range of Values"
OHX04CJD,99,"Cannot be assessed"
OHX04CJD,.,"Missing"
OHX04CJM,-6 to 2,"Range of Values"
OHX04CJM,99,"Cannot be assessed"
OHX04CJM,.,"Missing"
OHX04CJS,-5 to 2,"Range of Values"
OHX04CJS,99,"Cannot be assessed"
OHX04CJS,.,"Missing"
OHX04CJP,-6 to 3,"Range of Values"
OHX04CJP,99,"Cannot be assessed"
OHX04CJP,.,"Missing"
OHX04CJL,-5 to 2,"Range of Values"
OHX04CJL,99,"Cannot be assessed"
OHX04CJL,.,"Missing"
OHX04CJA,-5 to 2,"Range of Values"
OHX04CJA,99,"Cannot be assessed"
OHX04CJA,.,"Missing"
OHX04PCD,0 to 8,"Range of Values"
OHX04PCD,99,"Cannot be assessed"
OHX04PCD,.,"Missing"
OHX04PCM,0 to 6,"Range of Values"
OHX04PCM,99,"Cannot be assessed"
OHX04PCM,.,"Missing"
OHX04PCS,0 to 7,"Range of Values"
OHX04PCS,99,"Cannot be assessed"
OHX04PCS,.,"Missing"
OHX04PCP,0 to 8,"Range of Values"
OHX04PCP,99,"Cannot be assessed"
OHX04PCP,.,"Missing"
OHX04PCL,0 to 6,"Range of Values"
OHX04PCL,99,"Cannot be assessed"
OHX04PCL,.,"Missing"
OHX04PCA,0 to 8,"Range of Values"
OHX04PCA,99,"Cannot be assessed"
OHX04PCA,.,"Missing"
OHX04LAD,0 to 9,"Range of Values"
OHX04LAD,99,"Cannot be assessed"
OHX04LAD,.,"Missing"
OHX04LAM,0 to 9,"Range of Values"
OHX04LAM,99,"Cannot be assessed"
OHX04LAM,.,"Missing"
OHX04LAS,0 to 10,"Range of Values"
OHX04LAS,99,"Cannot be assessed"
OHX04LAS,.,"Missing"
OHX04LAP,0 to 11,"Range of Values"
OHX04LAP,99,"Cannot be assessed"
OHX04LAP,.,"Missing"
OHX04LAL,0 to 9,"Range of Values"
OHX04LAL,99,"Cannot be assessed"
OHX04LAL,.,"Missing"
OHX04LAA,0 to 10,"Range of Values"
OHX04LAA,99,"Cannot be assessed"
OHX04LAA,.,"Missing"
OHX05CJD,-5 to 2,"Range of Values"
OHX05CJD,99,"Cannot be assessed"
OHX05CJD,.,"Missing"
OHX05CJM,-6 to 2,"Range of Values"
OHX05CJM,99,"Cannot be assessed"
OHX05CJM,.,"Missing"
OHX05CJS,-5 to 3,"Range of Values"
OHX05CJS,99,"Cannot be assessed"
OHX05CJS,.,"Missing"
OHX05CJP,-6 to 3,"Range of Values"
OHX05CJP,99,"Cannot be assessed"
OHX05CJP,.,"Missing"
OHX05CJL,-5 to 3,"Range of Values"
OHX05CJL,99,"Cannot be assessed"
OHX05CJL,.,"Missing"
OHX05CJA,-5 to 3,"Range of Values"
OHX05CJA,99,"Cannot be assessed"
OHX05CJA,.,"Missing"
OHX05PCD,0 to 9,"Range of Values"
OHX05PCD,99,"Cannot be assessed"
OHX05PCD,.,"Missing"
OHX05PCM,0 to 7,"Range of Values"
OHX05PCM,99,"Cannot be assessed"
OHX05PCM,.,"Missing"
OHX05PCS,0 to 7,"Range of Values"
