Column,Variable,Label
OHDEXSTS,1,"Complete"
OHDEXSTS,2,"Partial"
OHDEXSTS,3,"Not Done"
OHDEXSTS,.,"Missing"
OHDRCSTS,1,"Complete"
OHDRCSTS,2,"Partial"
OHDRCSTS,3,"Not Done"
OHDRCSTS,.,"Missing"
OHAREC,1,"See a dentist immediately"
OHAREC,2,"See a dentist within the next 2 weeks"
OHAREC,3,"See a dentist at your earliest convenience"
OHAREC,4,"Continue your regular routine care"
OHAREC,.,"Missing"
OHAROCDT,1,"Yes"
OHAROCDT,2,"No"
OHAROCDT,.,"Missing"
OHAROCGP,1,"Yes"
OHAROCGP,2,"No"
OHAROCGP,.,"Missing"
OHAROCOH,1,"Yes"
OHAROCOH,2,"No"
OHAROCOH,.,"Missing"
OHAROCCI,1,"Yes"
OHAROCCI,2,"No"
OHAROCCI,.,"Missing"
OHAROCDE,1,"Yes"
OHAROCDE,2,"No"
OHAROCDE,.,"Missing"
OHARNF,1,"Yes"
OHARNF,2,"No"
OHARNF,.,"Missing"
OHAROTH,1,"Yes"
OHAROTH,2,"No"
OHAROTH,.,"Missing"
OHAPOS,1,"Yes"
OHAPOS,2,"No"
OHAPOS,.,"Missing"
