Column,Variable,Label
WTSA2YR,16284.37488 to 530325.34726,"Range of Values"
WTSA2YR,0,"No lab result"
WTSA2YR,.,"Missing"
LBXSCU,24.7 to 297.5,"Range of Values"
LBXSCU,.,"Missing"
LBDSCUSI,3.88 to 46.71,"Range of Values"
LBDSCUSI,.,"Missing"
LBXSSE,74.9 to 297.9,"Range of Values"
LBXSSE,.,"Missing"
LBDSSESI,0.95 to 3.78,"Range of Values"
LBDSSESI,.,"Missing"
LBXSZN,38.9 to 160.9,"Range of Values"
LBXSZN,.,"Missing"
LBDSZNSI,5.95 to 24.62,"Range of Values"
LBDSZNSI,.,"Missing"
URXUCR,5 to 546,"Range of Values"
URXUCR,.,"Missing"
