Column,Variable,Label
WTSC2YR,14405.432403 to 541782.13734,"Range of Values"
WTSC2YR,0,"No Lab Result"
WTSC2YR,.,"Missing"
URXUCR,5 to 520,"Range of Values"
URXUCR,.,"Missing"
URXDEE,0.0587 to 119,"Range of Values"
URXDEE,.,"Missing"
URDDEELC,0,"At or above detection limit"
URDDEELC,1,"Below lower detection limit"
URDDEELC,.,"Missing"
URXDEA,0.3359 to 382000,"Range of Values"
URXDEA,.,"Missing"
URDDEALC,0,"At or above detection limit"
URDDEALC,1,"Below lower detection limit"
URDDEALC,.,"Missing"
URXDHD,0.0629 to 11400,"Range of Values"
URXDHD,.,"Missing"
URDDHDLC,0,"At or above detection limit"
URDDHDLC,1,"Below lower detection limit"
URDDHDLC,.,"Missing"
