Column,Variable,Label
WTSB2YR,14988.396826 to 482310.7883,"Range of Values"
WTSB2YR,0,"No Lab Result"
WTSB2YR,.,"Missing"
URXBP3,0.28 to 28259,"Range of Values"
URXBP3,.,"Missing"
URDBP3LC,0,"At or above the detection limit"
URDBP3LC,1,"Below lower detection limit"
URDBP3LC,.,"Missing"
URXBPH,0.14 to 792,"Range of Values"
URXBPH,.,"Missing"
URDBPHLC,0,"At or above the detection limit"
URDBPHLC,1,"Below lower detection limit"
URDBPHLC,.,"Missing"
URXBPF,0.14 to 298.7,"Range of Values"
URXBPF,.,"Missing"
URDBPFLC,0,"At or above the detection limit"
URDBPFLC,1,"Below lower detection limit"
URDBPFLC,.,"Missing"
URXBPS,0.07 to 211.9,"Range of Values"
URXBPS,.,"Missing"
URDBPSLC,0,"At or above the detection limit"
URDBPSLC,1,"Below lower detection limit"
URDBPSLC,.,"Missing"
URXTLC,0.07 to 588,"Range of Values"
URXTLC,.,"Missing"
URDTLCLC,0,"At or above the detection limit"
URDTLCLC,1,"Below lower detection limit"
URDTLCLC,.,"Missing"
URXTRS,1.2 to 9572,"Range of Values"
URXTRS,.,"Missing"
URDTRSLC,0,"At or above the detection limit"
URDTRSLC,1,"Below lower detection limit"
URDTRSLC,.,"Missing"
URXBUP,0.07 to 352.6,"Range of Values"
URXBUP,.,"Missing"
URDBUPLC,0,"At or above the detection limit"
URDBUPLC,1,"Below lower detection limit"
URDBUPLC,.,"Missing"
URXEPB,0.71 to 1980.6,"Range of Values"
URXEPB,.,"Missing"
URDEPBLC,0,"At or above the detection limit"
URDEPBLC,1,"Below lower detection limit"
URDEPBLC,.,"Missing"
URXMPB,0.71 to 7369,"Range of Values"
URXMPB,.,"Missing"
URDMPBLC,0,"At or above the detection limit"
URDMPBLC,1,"Below lower detection limit"
URDMPBLC,.,"Missing"
URXPPB,0.07 to 2188.2,"Range of Values"
URXPPB,.,"Missing"
URDPPBLC,0,"At or above the detection limit"
URDPPBLC,1,"Below lower detection limit"
URDPPBLC,.,"Missing"
URX14D,0.07 to 30426.3,"Range of Values"
URX14D,.,"Missing"
URD14DLC,0,"At or above the detection limit"
URD14DLC,1,"Below lower detection limit"
URD14DLC,.,"Missing"
URXDCB,0.07 to 430.1,"Range of Values"
URXDCB,.,"Missing"
URDDCBLC,0,"At or above the detection limit"
URDDCBLC,1,"Below lower detection limit"
URDDCBLC,.,"Missing"
URXUCR,8 to 659,"Range of Values"
URXUCR,.,"Missing"
