Column,Variable,Label
PHQ020,1,"Yes"
PHQ020,2,"No"
PHQ020,.,"Missing"
PHACOFHR,0 to 18,"Range of Values"
PHACOFHR,.,"Missing"
PHACOFMN,0 to 59,"Range of Values"
PHACOFMN,.,"Missing"
PHQ030,1,"Yes"
PHQ030,2,"No"
PHQ030,.,"Missing"
PHAALCHR,0 to 21,"Range of Values"
PHAALCHR,.,"Missing"
PHAALCMN,0 to 59,"Range of Values"
PHAALCMN,.,"Missing"
PHQ040,1,"Yes"
PHQ040,2,"No"
PHQ040,.,"Missing"
PHAGUMHR,0 to 18,"Range of Values"
PHAGUMHR,.,"Missing"
PHAGUMMN,0 to 59,"Range of Values"
PHAGUMMN,.,"Missing"
PHQ050,1,"Yes"
PHQ050,2,"No"
PHQ050,.,"Missing"
PHAANTHR,0 to 38,"Range of Values"
PHAANTHR,.,"Missing"
PHAANTMN,2 to 57,"Range of Values"
PHAANTMN,.,"Missing"
PHQ060,1,"Yes"
PHQ060,2,"No"
PHQ060,.,"Missing"
PHASUPHR,0 to 13,"Range of Values"
PHASUPHR,.,"Missing"
PHASUPMN,0 to 58,"Range of Values"
PHASUPMN,.,"Missing"
PHAFSTHR,0 to 39,"Range of Values"
PHAFSTHR,.,"Missing"
PHAFSTMN,0 to 59,"Range of Values"
PHAFSTMN,.,"Missing"
PHDSESN,0,"morning"
PHDSESN,1,"afternoon"
PHDSESN,2,"evening"
PHDSESN,.,"Missing"
