Column,Variable,Label
WTSA2YR,16284.37488 to 530325.34726,"Range of Values"
WTSA2YR,0,"No Lab Result"
WTSA2YR,.,"Missing"
URXP01,42.4 to 35920000,"Range of Values"
URXP01,.,"Missing"
URDP01LC,0,"At or above the detection limit"
URDP01LC,1,"Below lower detection limit"
URDP01LC,.,"Missing"
URXP02,130 to 368500,"Range of Values"
URXP02,.,"Missing"
URDP02LC,0,"At or above the detection limit"
URDP02LC,1,"below lower detection limit"
URDP02LC,.,"Missing"
URXP03,5.7 to 7889,"Range of Values"
URXP03,.,"Missing"
URDP03LC,0,"At or above the detection limit"
URDP03LC,1,"Below lower detection limit"
URDP03LC,.,"Missing"
URXP04,5.7 to 14850,"Range of Values"
URXP04,.,"Missing"
URDP04LC,0,"At or above the detection limit"
URDP04LC,1,"Below lower detection limit"
URDP04LC,.,"Missing"
URXP06,6.4 to 7019,"Range of Values"
URXP06,.,"Missing"
URDP06LC,0,"At or above the detection limit"
URDP06LC,1,"Below lower detection limit"
URDP06LC,.,"Missing"
URXP10,49.5 to 7560,"Range of Values"
URXP10,.,"Missing"
URDP10LC,0,"At or above the detection limit"
URDP10LC,1,"Below lower detection limit"
URDP10LC,.,"Missing"
URXP25,7.1 to 6515,"Range of Values"
URXP25,.,"Missing"
URDP25LC,0,"At or above the detection limit"
URDP25LC,1,"Below lower detection limit"
URDP25LC,.,"Missing"
URXUCR,5 to 546,"Range of Values"
URXUCR,.,"Missing"
