Column,Variable,Label
WTSH2YR,4533.45942 to 322113.58855,"Range of Values"
WTSH2YR,0,"No lab samples"
WTSH2YR,.,"Missing"
LBXBPB,0.07 to 34.11,"Range of Values"
LBXBPB,.,"Missing"
LBDBPBSI,0.003 to 1.648,"Range of Values"
LBDBPBSI,.,"Missing"
LBDBPBLC,0,"At or above the detection limit"
LBDBPBLC,1,"Below lower detection limit"
LBDBPBLC,.,"Missing"
LBXBCD,0.07 to 7.23,"Range of Values"
LBXBCD,.,"Missing"
LBDBCDSI,0.62 to 64.33,"Range of Values"
LBDBCDSI,.,"Missing"
LBDBCDLC,0,"At or above the detection limit"
LBDBCDLC,1,"Below lower detection limit"
LBDBCDLC,.,"Missing"
LBXTHG,0.2 to 46.39,"Range of Values"
LBXTHG,.,"Missing"
LBDTHGSI,1 to 231.5,"Range of Values"
LBDTHGSI,.,"Missing"
LBDTHGLC,0,"At or above the detection limit"
LBDTHGLC,1,"Below lower detection limit"
LBDTHGLC,.,"Missing"
LBXBSE,86.09 to 734.8,"Range of Values"
LBXBSE,.,"Missing"
LBDBSESI,1.09 to 9.33,"Range of Values"
LBDBSESI,.,"Missing"
LBDBSELC,0,"At or above the detection limit"
LBDBSELC,1,"Below lower detection limit"
LBDBSELC,.,"Missing"
LBXBMN,1.75 to 54.92,"Range of Values"
LBXBMN,.,"Missing"
LBDBMNSI,31.85 to 999.54,"Range of Values"
LBDBMNSI,.,"Missing"
LBDBMNLC,0,"At or above the detection limit"
LBDBMNLC,1,"Below lower detection limit"
LBDBMNLC,.,"Missing"
