Column,Variable,Label
WTSB2YR,16432.45057 to 482310.7883,"Range of Values"
WTSB2YR,0,"No Lab Result"
WTSB2YR,.,"Missing"
LBXPFDE,0.07 to 51.3,"Range of Values"
LBXPFDE,.,"Missing"
LBDPFDEL,0,"At or above the detection limit"
LBDPFDEL,1,"Below lower detection limit"
LBDPFDEL,.,"Missing"
LBXPFHS,0.07 to 33.9,"Range of Values"
LBXPFHS,.,"Missing"
LBDPFHSL,0,"At or above the detection limit"
LBDPFHSL,1,"Below lower detection limit"
LBDPFHSL,.,"Missing"
LBXMPAH,0.07 to 6.3,"Range of Values"
LBXMPAH,.,"Missing"
LBDMPAHL,0,"At or above the detection limit"
LBDMPAHL,1,"Below lower detection limit"
LBDMPAHL,.,"Missing"
LBXPFBS,0.07 to 0.3,"Range of Values"
LBXPFBS,.,"Missing"
LBDPFBSL,0,"At or above the detection limit"
LBDPFBSL,1,"Below lower detection limit"
LBDPFBSL,.,"Missing"
LBXPFHP,0.07 to 1.3,"Range of Values"
LBXPFHP,.,"Missing"
LBDPFHPL,0,"At or above the detection limit"
LBDPFHPL,1,"Below lower detection limit"
LBDPFHPL,.,"Missing"
LBXPFNA,0.07 to 16.3,"Range of Values"
LBXPFNA,.,"Missing"
LBDPFNAL,0,"At or above the detection limit"
LBDPFNAL,1,"Below lower detection limit"
LBDPFNAL,.,"Missing"
LBXPFUA,0.07 to 77.4,"Range of Values"
LBXPFUA,.,"Missing"
LBDPFUAL,0,"At or above the detection limit"
LBDPFUAL,1,"Below lower detection limit"
LBDPFUAL,.,"Missing"
LBXPFDO,0.07 to 6.9,"Range of Values"
LBXPFDO,.,"Missing"
LBDPFDOL,0,"At or above the detection limit"
LBDPFDOL,1,"Below lower detection limit"
LBDPFDOL,.,"Missing"
