Column,Variable,Label
WTSB2YR,14988.396826 to 482310.7883,"Range of Values"
WTSB2YR,0,"No lab Result"
WTSB2YR,.,"Missing"
URXUCR,8 to 659,"Range of Values"
URXUCR,.,"Missing"
URXCNP,0.14 to 876.4,"Range of Values"
URXCNP,.,"Missing"
URDCNPLC,0,"At or above the detection limit"
URDCNPLC,1,"Below lower detection limit"
URDCNPLC,.,"Missing"
URXCOP,0.21 to 1813.1,"Range of Values"
URXCOP,.,"Missing"
URDCOPLC,0,"At or above the detection limit"
URDCOPLC,1,"Below lower detection limit"
URDCOPLC,.,"Missing"
URXECP,0.28 to 1421.9,"Range of Values"
URXECP,.,"Missing"
URDECPLC,0,"At or above the detection limit"
URDECPLC,1,"Below lower detection limit"
URDECPLC,.,"Missing"
URXMBP,0.28 to 489.6,"Range of Values"
URXMBP,.,"Missing"
URDMBPLC,0,"At or above the detection limit"
URDMBPLC,1,"Below lower detection limit"
URDMBPLC,.,"Missing"
URXMC1,0.28 to 449.5,"Range of Values"
URXMC1,.,"Missing"
URDMC1LC,0,"At or above the detection limit"
URDMC1LC,1,"Below lower detection limit"
URDMC1LC,.,"Missing"
URXMEP,0.85 to 29083,"Range of Values"
URXMEP,.,"Missing"
URDMEPLC,0,"At or above the detection limit"
URDMEPLC,1,"Below lower detection limit"
URDMEPLC,.,"Missing"
URXMHH,0.28 to 1029.7,"Range of Values"
URXMHH,.,"Missing"
URDMHHLC,0,"At or above the detection limit"
URDMHHLC,1,"Below lower detection limit"
URDMHHLC,.,"Missing"
URXMHNC,0.28 to 151.7,"Range of Values"
URXMHNC,.,"Missing"
URDMCHLC,0,"At or above the detection limit"
URDMCHLC,1,"Below lower detection limit"
URDMCHLC,.,"Missing"
URXMHP,0.57 to 152.3,"Range of Values"
URXMHP,.,"Missing"
URDMHPLC,0,"At or above the detection limit"
URDMHPLC,1,"Below lower detection limit"
URDMHPLC,.,"Missing"
URXMIB,0.57 to 393.1,"Range of Values"
URXMIB,.,"Missing"
URDMIBLC,0,"At or above the detection limit"
URDMIBLC,1,"Below lower detection limit"
URDMIBLC,.,"Missing"
URXMNP,0.64 to 286,"Range of Values"
URXMNP,.,"Missing"
URDMNPLC,0,"At or above the detection limit"
URDMNPLC,1,"Below lower detection limit"
URDMNPLC,.,"Missing"
URXMOH,0.14 to 585.2,"Range of Values"
URXMOH,.,"Missing"
URDMOHLC,0,"At or above the detection limit"
URDMOHLC,1,"Below lower detection limit"
URDMOHLC,.,"Missing"
URXMZP,0.21 to 387.4,"Range of Values"
URXMZP,.,"Missing"
URDMZPLC,0,"At or above the detection limit"
URDMZPLC,1,"Below lower detection limit"
URDMZPLC,.,"Missing"
