Column,Variable,Label
WTSB2YR,17149.00472 to 482310.7883,"Range of Values"
WTSB2YR,0,"No Lab Result"
WTSB2YR,.,"Missing"
SSNPFOA,0.07 to 85.2,"Range of Values"
SSNPFOA,.,"Missing"
SDNPFOAL,0,"At or above the detection limit"
SDNPFOAL,1,"Below lower detection limit"
SDNPFOAL,.,"Missing"
SSBPFOA,0.07 to 3,"Range of Values"
SSBPFOA,.,"Missing"
SDBPFOAL,0,"At or above the detection limit"
SDBPFOAL,1,"Below lower detection limit"
SDBPFOAL,.,"Missing"
SSNPFOS,0.07 to 1270,"Range of Values"
SSNPFOS,.,"Missing"
SDNPFOSL,0,"At or above the detection limit"
SDNPFOSL,1,"Below lower detection limit"
SDNPFOSL,.,"Missing"
SSMPFOS,0.07 to 133,"Range of Values"
SSMPFOS,.,"Missing"
SDMPFOSL,0,"At or above the detection limit"
SDMPFOSL,1,"Below lower detection limit"
SDMPFOSL,.,"Missing"
