Column,Variable,Label
ALQ010,1,"I have never had a drink of alcohol, other than a few sips"
ALQ010,2,"8 years old or younger"
ALQ010,3,"9 or 10 years old"
ALQ010,4,"11 or 12 years old"
ALQ010,5,"13 or 14 years old"
ALQ010,6,"15 or 16 years old"
ALQ010,7,"17 years old or older"
ALQ010,77,"Refused"
ALQ010,99,"Don't know"
ALQ010,.,"Missing"
ALD020,2,"1 or 2 days"
ALD020,3,"3 to 9 days"
ALD020,4,"10 to 19 days"
ALD020,5,"20 to 39 days"
ALD020,6,"40 to 99 days"
ALD020,7,"100 or more days"
ALD020,77,"Refused"
ALD020,99,"Don't know"
ALD020,.,"Missing"
ALD030,1,"0 days"
ALD030,2,"1 or 2 days"
ALD030,3,"3 to 5 days"
ALD030,4,"6 to 9 days"
ALD030,5,"10 to 19 days"
ALD030,6,"20 to 29 days"
ALD030,7,"All 30 days"
ALD030,77,"Refused"
ALD030,99,"Don't know"
ALD030,.,"Missing"
ALD040,1,"0 days"
ALD040,2,"1 day"
ALD040,3,"2 days"
ALD040,4,"3 to 5 days"
ALD040,5,"6 to 9 days"
ALD040,6,"10 to 19 days"
ALD040,7,"20 or more days"
ALD040,77,"Refused"
ALD040,99,"Don't know"
ALD040,.,"Missing"
