Column,Variable,Label
RIDSTATR,1,"Interviewed only"
RIDSTATR,2,"Both interviewed and MEC examined"
RIDSTATR,.,"Missing"
RIAGENDR,1,"Male"
RIAGENDR,2,"Female"
RIAGENDR,.,"Missing"
RIDAGEYR,0 to 79,"Range of Values"
RIDAGEYR,80,"80 years of age and over"
RIDAGEYR,.,"Missing"
RIDAGEMN,0 to 959,"Range of Values"
RIDAGEMN,.,"Missing"
RIDAGEEX,0 to 959,"Range of Values"
RIDAGEEX,.,"Missing"
RIDRETH1,1,"Mexican American"
RIDRETH1,2,"Other Hispanic"
RIDRETH1,3,"Non-Hispanic White"
RIDRETH1,4,"Non-Hispanic Black"
RIDRETH1,5,"Other Race - Including Multi-Racial"
RIDRETH1,.,"Missing"
DMDBORN,1,"Born in 50 US states or Washington, DC"
DMDBORN,2,"Born in Mexico"
DMDBORN,3,"Born elsewhere"
DMDBORN,7,"Refused"
DMDBORN,9,"Don't Know"
DMDBORN,.,"Missing"
DMDBORN2,1,"Born in 50 US states or Washington, DC"
DMDBORN2,2,"Born in Mexico"
DMDBORN2,4,"Born in other Spanish speaking country"
DMDBORN2,5,"Born in other non-Spanish speaking country"
DMDBORN2,7,"Refused"
DMDBORN2,9,"Don't know"
DMDBORN2,.,"Missing"
DMDCITZN,1,"Citizen by birth or naturalization"
DMDCITZN,2,"Not a citizen of the US"
DMDCITZN,7,"Refused"
DMDCITZN,9,"Don't Know"
DMDCITZN,.,"Missing"
DMDYRSUS,1,"Less than 1 year"
DMDYRSUS,2,"1 year or more, but less than 5 years"
DMDYRSUS,3,"5 year or more, but less than 10 years"
DMDYRSUS,4,"10 year or more, but less than 15 years"
DMDYRSUS,5,"15 year or more, but less than 20 years"
DMDYRSUS,6,"20 year or more, but less than 30 years"
DMDYRSUS,7,"30 year or more, but less than 40 years"
DMDYRSUS,8,"40 year or more, but less than 50 years"
DMDYRSUS,9,"50 years or more"
DMDYRSUS,77,"Refused"
DMDYRSUS,99,"Don't Know"
DMDYRSUS,.,"Missing"
DMDEDUC3,0,"Never attended / kindergarten only"
DMDEDUC3,1,"1st grade"
DMDEDUC3,2,"2nd grade"
DMDEDUC3,3,"3rd grade"
DMDEDUC3,4,"4th grade"
DMDEDUC3,5,"5th grade"
DMDEDUC3,6,"6th grade"
DMDEDUC3,7,"7th grade"
DMDEDUC3,8,"8th grade"
DMDEDUC3,9,"9th grade"
DMDEDUC3,10,"10th grade"
DMDEDUC3,11,"11th grade"
DMDEDUC3,12,"12th grade, no diploma"
DMDEDUC3,13,"High school graduate"
DMDEDUC3,14,"GED or equivalent"
DMDEDUC3,15,"More than high school"
DMDEDUC3,55,"Less than 5th grade"
DMDEDUC3,66,"Less than 9th grade"
DMDEDUC3,77,"Refused"
DMDEDUC3,99,"Don't Know"
DMDEDUC3,.,"Missing"
DMDEDUC2,1,"Less than 9th grade"
DMDEDUC2,2,"9-11th grade (Includes 12th grade with no diploma)"
DMDEDUC2,3,"High school graduate/GED or equivalent"
DMDEDUC2,4,"Some college or AA degree"
DMDEDUC2,5,"College graduate or above"
DMDEDUC2,7,"Refused"
DMDEDUC2,9,"Don't Know"
DMDEDUC2,.,"Missing"
DMDMARTL,1,"Married"
DMDMARTL,2,"Widowed"
DMDMARTL,3,"Divorced"
DMDMARTL,4,"Separated"
DMDMARTL,5,"Never married"
DMDMARTL,6,"Living with partner"
DMDMARTL,77,"Refused"
DMDMARTL,99,"Don't Know"
DMDMARTL,.,"Missing"
RIDEXPRG,1,"Yes, positive lab pregnancy test or self-reported pregnant at exam"
RIDEXPRG,2,"The participant was not pregnant at exam"
RIDEXPRG,3,"Cannot ascertain if the participant is pregnant at exam"
RIDEXPRG,.,"Missing"
INDHHIN2,1,"$ 0 to $ 4,999"
INDHHIN2,2,"$ 5,000 to $ 9,999"
INDHHIN2,3,"$10,000 to $14,999"
INDHHIN2,4,"$15,000 to $19,999"
INDHHIN2,5,"$20,000 to $24,999"
INDHHIN2,6,"$25,000 to $34,999"
INDHHIN2,7,"$35,000 to $44,999"
INDHHIN2,8,"$45,000 to $54,999"
INDHHIN2,9,"$55,000 to $64,999"
INDHHIN2,10,"$65,000 to $74,999"
INDHHIN2,12,"$20,000 and Over"
INDHHIN2,13,"Under $20,000"
INDHHIN2,14,"$75,000 to $99,999"
INDHHIN2,15,"$100,000 and Over"
INDHHIN2,77,"Refused"
INDHHIN2,99,"Don't know"
INDHHIN2,.,"Missing"
INDFMIN2,1,"$ 0 to $ 4,999"
INDFMIN2,2,"$ 5,000 to $ 9,999"
INDFMIN2,3,"$10,000 to $14,999"
INDFMIN2,4,"$15,000 to $19,999"
INDFMIN2,5,"$20,000 to $24,999"
INDFMIN2,6,"$25,000 to $34,999"
INDFMIN2,7,"$35,000 to $44,999"
INDFMIN2,8,"$45,000 to $54,999"
INDFMIN2,9,"$55,000 to $64,999"
INDFMIN2,10,"$65,000 to $74,999"
INDFMIN2,12,"$20,000 and Over"
INDFMIN2,13,"Under $20,000"
INDFMIN2,14,"$75,000 to $99,999"
INDFMIN2,15,"$100,000 and Over"
INDFMIN2,77,"Refused"
INDFMIN2,99,"Don't know"
INDFMIN2,.,"Missing"
INDFMPIR,0 to 4.99,"Range of Values"
INDFMPIR,5,"Value greater than or equal to 5.00"
INDFMPIR,.,"Missing"
DMDHHSIZ,1 to 6,"Range of Values"
DMDHHSIZ,7,"7 or more people in the Household"
DMDHHSIZ,.,"Missing"
DMDFMSIZ,1 to 6,"Range of Values"
DMDFMSIZ,7,"7 or more people in the Family"
DMDFMSIZ,.,"Missing"
WTCAI8YR,392.874426 to 86056.281068,"Range of Values"
WTCAI8YR,.,"Missing"
WTCI8R01,188.316762 to 72318.022036,"Range of Values"
WTCI8R01,.,"Missing"
WTCI8R02,184.206786 to 129500.33648,"Range of Values"
WTCI8R02,.,"Missing"
WTCI8R03,186.856211 to 129031.58005,"Range of Values"
WTCI8R03,.,"Missing"
WTCI8R04,186.285783 to 95534.129929,"Range of Values"
WTCI8R04,.,"Missing"
WTCI8R05,194.473018 to 135357.85341,"Range of Values"
WTCI8R05,.,"Missing"
WTCI8R06,200.029777 to 82631.613319,"Range of Values"
WTCI8R06,.,"Missing"
WTCI8R07,218.118564 to 125551.90031,"Range of Values"
WTCI8R07,.,"Missing"
WTCI8R08,252.741614 to 58063.041676,"Range of Values"
WTCI8R08,.,"Missing"
