Column,Variable,Label
DUQ200,1,"Yes"
DUQ200,2,"No"
DUQ200,7,"Refused"
DUQ200,9,"Don't know"
DUQ200,.,"Missing"
DUQ210,7 to 17,"Range of Values"
DUQ210,77,"Refused"
DUQ210,99,"Don't know"
DUQ210,.,"Missing"
DUQ211,1,"Yes"
DUQ211,2,"No"
DUQ211,77,"REFUSED"
DUQ211,99,"DON'T KNOW"
DUQ211,.,"Missing"
DUQ213,9 to 17,"Range of Values"
DUQ213,77,"REFUSED"
DUQ213,99,"DON'T KNOW"
DUQ213,.,"Missing"
DUQ215Q,0 to 22,"Range of Values"
DUQ215Q,.,"Missing"
DUQ215U,1,"Days"
DUQ215U,2,"Weeks"
DUQ215U,3,"Months"
DUQ215U,4,"Years"
DUQ215U,7,"Refused"
DUQ215U,9,"Don't know"
DUQ215U,.,"Missing"
DUQ217,1,"Once per month"
DUQ217,2,"2-3 times per month"
DUQ217,3,"4-8 times per month (about 1-2 times per 
  week)
"
DUQ217,4,"9-24 times per month (about 3-6 times per 
  week)
"
DUQ217,5,"25-30 times per month (one or more times 
  per day)
"
DUQ217,7,"Refused"
DUQ217,9,"Don't know"
DUQ217,.,"Missing"
DUQ219,1,"1 per day"
DUQ219,2,"2 per day"
DUQ219,3,"3-5 per day"
DUQ219,4,"Six or more per day"
DUQ219,7,"Refused"
DUQ219,9,"Don't know"
DUQ219,.,"Missing"
DUQ220Q,0 to 60,"Range of Values"
DUQ220Q,7777,"Refused"
DUQ220Q,9999,"Don't know"
DUQ220Q,.,"Missing"
DUQ220U,1,"Days"
DUQ220U,2,"Weeks"
DUQ220U,3,"Months"
DUQ220U,4,"Years"
DUQ220U,7,"Refused"
DUQ220U,9,"Don't know"
DUQ220U,.,"Missing"
DUQ230,1 to 30,"Range of Values"
DUQ230,77,"Refused"
DUQ230,99,"Don't know"
DUQ230,.,"Missing"
DUQ240,1,"Yes"
DUQ240,2,"No"
DUQ240,7,"Refused"
DUQ240,9,"Don't know"
DUQ240,.,"Missing"
DUQ250,1,"Yes"
DUQ250,2,"No"
DUQ250,7,"Refused"
DUQ250,9,"Don't know"
DUQ250,.,"Missing"
DUQ260,14 to 17,"Range of Values"
DUQ260,77,"Refused"
DUQ260,99,"Don't know"
DUQ260,.,"Missing"
DUQ270Q,1 to 5,"Range of Values"
DUQ270Q,7777,"Refused"
DUQ270Q,9999,"Don't know"
DUQ270Q,.,"Missing"
DUQ270U,1,"Days"
DUQ270U,2,"Weeks"
DUQ270U,3,"Months"
DUQ270U,4,"Years"
DUQ270U,7,"Refused"
DUQ270U,9,"Don't know"
DUQ270U,.,"Missing"
DUQ272,1,"Once"
DUQ272,2,"2-5 times"
DUQ272,3,"6-19 times"
DUQ272,4,"20-49 times"
DUQ272,5,"50-99 times"
DUQ272,6,"100 times or more"
DUQ272,77,"Refused"
DUQ272,99,"Don't know"
DUQ272,.,"Missing"
DUQ280,1 to 5,"Range of Values"
DUQ280,77,"Refused"
DUQ280,99,"Don't know"
DUQ280,.,"Missing"
DUQ290,1,"Yes"
DUQ290,2,"No"
DUQ290,7,"Refused"
DUQ290,9,"Don't know"
DUQ290,.,"Missing"
DUQ300,77,"Refused"
DUQ300,99,"Don't know"
DUQ300,.,"Missing"
DUQ310Q,7777,"Refused"
DUQ310Q,9999,"Don't know"
DUQ310Q,.,"Missing"
DUQ310U,1,"Days"
DUQ310U,2,"Weeks"
DUQ310U,3,"Months"
DUQ310U,4,"Years"
DUQ310U,7,"Refused"
DUQ310U,9,"Don't know"
DUQ310U,.,"Missing"
DUQ320,77,"Refused"
DUQ320,99,"Don't know"
DUQ320,.,"Missing"
DUQ330,1,"Yes"
DUQ330,2,"No"
DUQ330,7,"Refused"
DUQ330,9,"Don't know"
DUQ330,.,"Missing"
DUQ340,77,"Refused"
DUQ340,99,"Don't know"
DUQ340,.,"Missing"
DUQ350Q,7777,"Refused"
DUQ350Q,9999,"Don't know"
DUQ350Q,.,"Missing"
DUQ350U,1,"Days"
DUQ350U,2,"Weeks"
DUQ350U,3,"Months"
DUQ350U,4,"Years"
DUQ350U,7,"Refused"
DUQ350U,9,"Don't know"
DUQ350U,.,"Missing"
DUQ352,1,"Once"
DUQ352,2,"2-5 times"
DUQ352,3,"6-19 times"
DUQ352,4,"20-49 times"
DUQ352,5,"50-99 times"
DUQ352,6,"100 times or more"
DUQ352,77,"Refused"
DUQ352,99,"Don't know"
DUQ352,.,"Missing"
DUQ360,77,"Refused"
DUQ360,99,"Don't know"
