Column,Variable,Label
DXDLSPST,1,"IVA Lateral Spine scan completed, all vertebra are valid"
DXDLSPST,2,"IVA Lateral Spine scan completed, but one or more vertebrae are invalid"
DXDLSPST,.,"Missing"
DXXT4CO,0,"Valid data"
DXXT4CO,1,"Objects not removed"
DXXT4CO,2,"Non-removable objects such as implants"
DXXT4CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT4CO,4,"Insufficient scan area"
DXXT4CO,5,"Movement"
DXXT4CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT4CO,.,"Missing"
DXXT5CO,0,"Valid data"
DXXT5CO,1,"Objects not removed"
DXXT5CO,2,"Non-removable objects such as implants"
DXXT5CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT5CO,4,"Insufficient scan area"
DXXT5CO,5,"Movement"
DXXT5CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT5CO,.,"Missing"
DXXT6CO,0,"Valid data"
DXXT6CO,1,"Objects not removed"
DXXT6CO,2,"Non-removable objects such as implants"
DXXT6CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT6CO,4,"Insufficient scan area"
DXXT6CO,5,"Movement"
DXXT6CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT6CO,.,"Missing"
DXXT7CO,0,"Valid data"
DXXT7CO,1,"Objects not removed"
DXXT7CO,2,"Non-removable objects such as implants"
DXXT7CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT7CO,4,"Insufficient scan area"
DXXT7CO,5,"Movement"
DXXT7CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT7CO,.,"Missing"
DXXT8CO,0,"Valid data"
DXXT8CO,1,"Objects not removed"
DXXT8CO,2,"Non-removable objects such as implants"
DXXT8CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT8CO,4,"Insufficient scan area"
DXXT8CO,5,"Movement"
DXXT8CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT8CO,.,"Missing"
DXXT9CO,0,"Valid data"
DXXT9CO,1,"Objects not removed"
DXXT9CO,2,"Non-removable objects such as implants"
DXXT9CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT9CO,4,"Insufficient scan area"
DXXT9CO,5,"Movement"
DXXT9CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT9CO,.,"Missing"
DXXT10CO,0,"Valid data"
DXXT10CO,1,"Objects not removed"
DXXT10CO,2,"Non-removable objects such as implants"
DXXT10CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT10CO,4,"Insufficient scan area"
DXXT10CO,5,"Movement"
DXXT10CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
DXXT10CO,.,"Missing"
DXXT11CO,0,"Valid data"
DXXT11CO,1,"Objects not removed"
DXXT11CO,2,"Non-removable objects such as implants"
DXXT11CO,3,"Excessive x-ray noise due to morbid obesity"
DXXT11CO,4,"Insufficient scan area"
DXXT11CO,5,"Movement"
DXXT11CO,6,"Other (degenerative diseases, spinal fusion, fractures)"
