Column,Variable,Label
FSD032A,1,"Often true"
FSD032A,2,"Sometimes true"
FSD032A,3,"Never true"
FSD032A,7,"Refused"
FSD032A,9,"Don't know"
FSD032A,.,"Missing"
FSD032B,1,"Often true"
FSD032B,2,"Sometimes true"
FSD032B,3,"Never true"
FSD032B,7,"Refused"
FSD032B,9,"Don't know"
FSD032B,.,"Missing"
FSD032C,1,"Often true"
FSD032C,2,"Sometimes true"
FSD032C,3,"Never true"
FSD032C,7,"Refused"
FSD032C,9,"Don't know"
FSD032C,.,"Missing"
FSD041,1,"Yes"
FSD041,2,"No"
FSD041,7,"Refused"
FSD041,9,"Don't know"
FSD041,.,"Missing"
FSD052,1,"Almost every month,"
FSD052,2,"Some months but not every month, or"
FSD052,3,"Only 1 or 2 months?"
FSD052,7,"Refused"
FSD052,9,"Don't know"
FSD052,.,"Missing"
FSD061,1,"Yes"
FSD061,2,"No"
FSD061,7,"Refused"
FSD061,9,"Don't know"
FSD061,.,"Missing"
FSD071,1,"Yes"
FSD071,2,"No"
FSD071,7,"Refused"
FSD071,9,"Don't know"
FSD071,.,"Missing"
FSD081,1,"Yes"
FSD081,2,"No"
FSD081,7,"Refused"
FSD081,9,"Don't know"
FSD081,.,"Missing"
FSD092,1,"Yes"
FSD092,2,"No"
FSD092,7,"Refused"
FSD092,9,"Don't know"
FSD092,.,"Missing"
FSD102,1,"Almost every month,"
FSD102,2,"Some months but not every month, or"
FSD102,3,"Only 1 or 2 months?"
FSD102,7,"Refused"
FSD102,9,"Don't know"
FSD102,.,"Missing"
FSD032D,1,"Often true"
FSD032D,2,"Sometimes true"
FSD032D,3,"Never true"
FSD032D,7,"Refused"
FSD032D,9,"Don't know"
FSD032D,.,"Missing"
FSD032E,1,"Often true"
FSD032E,2,"Sometimes true"
FSD032E,3,"Never true"
FSD032E,7,"Refused"
FSD032E,9,"Don't know"
FSD032E,.,"Missing"
FSD032F,1,"Often true"
FSD032F,2,"Sometimes true"
FSD032F,3,"Never true"
FSD032F,7,"Refused"
FSD032F,9,"Don't know"
FSD032F,.,"Missing"
FSD111,1,"Yes"
FSD111,2,"No"
FSD111,7,"Refused"
FSD111,9,"Don't know"
FSD111,.,"Missing"
FSD122,1,"Yes"
FSD122,2,"No"
FSD122,7,"Refused"
FSD122,9,"Don't know"
FSD122,.,"Missing"
FSD132,1,"Almost every month,"
FSD132,2,"Some months but not every month, or"
FSD132,3,"Only 1 or 2 months?"
FSD132,7,"Refused"
FSD132,9,"Don't know"
FSD132,.,"Missing"
FSD141,1,"Yes"
FSD141,2,"No"
FSD141,7,"Refused"
FSD141,9,"Don't know"
FSD141,.,"Missing"
FSD146,1,"Yes"
FSD146,2,"No"
FSD146,7,"Refused"
FSD146,9,"Don't know"
FSD146,.,"Missing"
FSDHH,1,"HH full food security: 0"
FSDHH,2,"HH marginal food security: 1-2"
FSDHH,3,"HH low food security: 3-5 (HH w/o child) / 3-7 (HH w/ child)"
FSDHH,4,"HH very low food security: 6-10 (HH w/o child) / 8-18 (HH w/ child)"
FSDHH,.,"Missing"
FSDAD,1,"AD full food security: 0"
FSDAD,2,"AD marginal food security: 1-2"
FSDAD,3,"AD low food security: 3-5"
FSDAD,4,"AD very low food security: 6-10"
FSDAD,.,"Missing"
FSDCH,1,"CH full or marginal food security: 0"
FSDCH,2,"CH marginal food security: 1"
FSDCH,3,"CH low food security: 2-4"
FSDCH,4,"CH very low food security: 5-8"
FSDCH,.,"Missing"
FSD151,1,"Yes"
FSD151,2,"No"
FSD151,7,"Refused"
FSD151,9,"Don't know"
FSD151,.,"Missing"
FSQ165,1,"Yes"
FSQ165,2,"No"
FSQ165,7,"Refused"
FSQ165,9,"Don't know"
FSQ165,.,"Missing"
FSQ012,1,"Yes"
FSQ012,2,"No"
FSQ012,7,"Refused"
FSQ012,9,"Don't know"
FSQ012,.,"Missing"
FSD012N,1 to 9,"Range of Values"
FSD012N,77,"Refused"
FSD012N,99,"Don't know"
FSD012N,.,"Missing"
FSD230,1,"Yes"
FSD230,2,"No"
FSD230,7,"Refused"
FSD230,9,"Don't know"
FSD230,.,"Missing"
FSD225,0 to 386,"Range of Values"
FSD225,55555,"Current HH FS benefits recipient, last received date unknown"
FSD225,66666,"Non-current HH FS benefits recipient, last received date unknown"
FSD225,77777,"Refused"
FSD225,99999,"Don't know"
FSD225,.,"Missing"
FSQ235,10 to 1397,"Range of Values"
FSQ235,77777,"Refused"
FSQ235,99999,"Don't know"
FSQ235,.,"Missing"
FSQ162,1,"Yes"
FSQ162,2,"No"
FSQ162,7,"Refused"
FSQ162,9,"Don't know"
FSQ162,.,"Missing"
FSD650ZC,1,"Yes"
FSD650ZC,2,"No"
FSD650ZC,7,"Refused"
FSD650ZC,9,"Don't know"
FSD650ZC,.,"Missing"
FSD660ZC,1,"Yes"
FSD660ZC,2,"No"
FSD660ZC,7,"Refused"
FSD660ZC,9,"Don't know"
FSD660ZC,.,"Missing"
FSD675,1,"Yes"
FSD675,2,"No"
FSD675,7,"Refused"
FSD675,9,"Don't know"
FSD675,.,"Missing"
FSD680,1,"Yes"
FSD680,2,"No"
FSD680,7,"Refused"
FSD680,9,"Don't know"
FSD680,.,"Missing"
FSD670ZC,0 to 72,"Range of Values"
FSD670ZC,777,"Refused"
FSD670ZC,999,"Don't know"
FSD670ZC,.,"Missing"
FSQ690,1,"Yes"
FSQ690,2,"No"
FSQ690,7,"Refused"
FSQ690,9,"Don't know"
FSQ690,.,"Missing"
FSQ695,1 to 9,"Range of Values"
FSQ695,77,"Refused"
FSQ695,99,"Don't know"
FSQ695,.,"Missing"
FSD650ZW,1,"Yes"
FSD650ZW,2,"No"
FSD650ZW,7,"Refused"
FSD650ZW,9,"Don't know"
FSD650ZW,.,"Missing"
FSD660ZW,1,"Yes"
FSD660ZW,2,"No"
FSD660ZW,7,"Refused"
FSD660ZW,9,"Don't know"
FSD660ZW,.,"Missing"
FSD670ZW,1 to 144,"Range of Values"
FSD670ZW,777,"Refused"
FSD670ZW,999,"Don't know"
FSD670ZW,.,"Missing"
