Column,Variable,Label
LBDRPCR,1,"Positive"
LBDRPCR,2,"Negative"
LBDRPCR,3,"Inadequate"
LBDRPCR,.,"Missing"
LBDRHP,1,"Positive"
LBDRHP,2,"Negative"
LBDRHP,.,"Missing"
LBDRLP,1,"Positive"
LBDRLP,2,"Negative"
LBDRLP,.,"Missing"
LBDR06,1,"Positive"
LBDR06,2,"Negative"
LBDR06,3,"Inadequate"
LBDR06,.,"Missing"
LBDR11,1,"Positive"
LBDR11,2,"Negative"
LBDR11,3,"Inadequate"
LBDR11,.,"Missing"
LBDR16,1,"Positive"
LBDR16,2,"Negative"
LBDR16,3,"Inadequate"
LBDR16,.,"Missing"
LBDR18,1,"Positive"
LBDR18,2,"Negative"
LBDR18,3,"Inadequate"
LBDR18,.,"Missing"
LBDR26,1,"Positive"
LBDR26,2,"Negative"
LBDR26,3,"Inadequate"
LBDR26,.,"Missing"
LBDR31,1,"Positive"
LBDR31,2,"Negative"
LBDR31,3,"Inadequate"
LBDR31,.,"Missing"
LBDR33,1,"Positive"
LBDR33,2,"Negative"
LBDR33,3,"Inadequate"
LBDR33,.,"Missing"
LBDR35,1,"Positive"
LBDR35,2,"Negative"
LBDR35,3,"Inadequate"
LBDR35,.,"Missing"
LBDR39,1,"Positive"
LBDR39,2,"Negative"
LBDR39,3,"Inadequate"
LBDR39,.,"Missing"
LBDR40,1,"Positive"
LBDR40,2,"Negative"
LBDR40,3,"Inadequate"
LBDR40,.,"Missing"
LBDR42,1,"Positive"
LBDR42,2,"Negative"
LBDR42,3,"Inadequate"
LBDR42,.,"Missing"
LBDR45,1,"Positive"
LBDR45,2,"Negative"
LBDR45,3,"Inadequate"
LBDR45,.,"Missing"
LBDR51,1,"Positive"
LBDR51,2,"Negative"
LBDR51,3,"Inadequate"
LBDR51,.,"Missing"
LBDR52,1,"Positive"
LBDR52,2,"Negative"
LBDR52,3,"Inadequate"
LBDR52,.,"Missing"
LBDR53,1,"Positive"
LBDR53,2,"Negative"
LBDR53,3,"Inadequate"
LBDR53,.,"Missing"
LBDR54,1,"Positive"
LBDR54,2,"Negative"
LBDR54,3,"Inadequate"
LBDR54,.,"Missing"
LBDR55,1,"Positive"
LBDR55,2,"Negative"
LBDR55,3,"Inadequate"
LBDR55,.,"Missing"
LBDR56,1,"Positive"
LBDR56,2,"Negative"
LBDR56,3,"Inadequate"
LBDR56,.,"Missing"
LBDR58,1,"Positive"
LBDR58,2,"Negative"
LBDR58,3,"Inadequate"
LBDR58,.,"Missing"
LBDR59,1,"Positive"
LBDR59,2,"Negative"
LBDR59,3,"Inadequate"
LBDR59,.,"Missing"
LBDR61,1,"Positive"
LBDR61,2,"Negative"
LBDR61,3,"Inadequate"
LBDR61,.,"Missing"
LBDR62,1,"Positive"
LBDR62,2,"Negative"
LBDR62,3,"Inadequate"
LBDR62,.,"Missing"
LBDR64,1,"Positive"
LBDR64,2,"Negative"
LBDR64,3,"Inadequate"
LBDR64,.,"Missing"
LBDR66,1,"Positive"
LBDR66,2,"Negative"
LBDR66,3,"Inadequate"
LBDR66,.,"Missing"
LBDR67,1,"Positive"
LBDR67,2,"Negative"
LBDR67,3,"Inadequate"
LBDR67,.,"Missing"
LBDR68,1,"Positive"
LBDR68,2,"Negative"
LBDR68,3,"Inadequate"
LBDR68,.,"Missing"
LBDR69,1,"Positive"
LBDR69,2,"Negative"
LBDR69,3,"Inadequate"
LBDR69,.,"Missing"
LBDR70,1,"Positive"
LBDR70,2,"Negative"
LBDR70,3,"Inadequate"
LBDR70,.,"Missing"
LBDR71,1,"Positive"
LBDR71,2,"Negative"
LBDR71,3,"Inadequate"
LBDR71,.,"Missing"
LBDR72,1,"Positive"
LBDR72,2,"Negative"
LBDR72,3,"Inadequate"
LBDR72,.,"Missing"
LBDR73,1,"Positive"
LBDR73,2,"Negative"
LBDR73,3,"Inadequate"
LBDR73,.,"Missing"
LBDR81,1,"Positive"
LBDR81,2,"Negative"
LBDR81,3,"Inadequate"
LBDR81,.,"Missing"
LBDR82,1,"Positive"
LBDR82,2,"Negative"
LBDR82,3,"Inadequate"
LBDR82,.,"Missing"
LBDR83,1,"Positive"
LBDR83,2,"Negative"
LBDR83,3,"Inadequate"
LBDR83,.,"Missing"
LBDR84,1,"Positive"
LBDR84,2,"Negative"
LBDR84,3,"Inadequate"
LBDR84,.,"Missing"
LBDR89,1,"Positive"
LBDR89,2,"Negative"
LBDR89,3,"Inadequate"
LBDR89,.,"Missing"
LBDRPI,2,"2"
LBDRPI,.,"Missing"
