Column,Variable,Label
ORXGH,1,"Positive"
ORXGH,2,"Negative"
ORXGH,3,"Not evaluated"
ORXGH,.,"Missing"
ORXGL,1,"Positive"
ORXGL,2,"Negative"
ORXGL,3,"Not evaluated"
ORXGL,.,"Missing"
ORXH06,1,"Positive"
ORXH06,2,"Negative"
ORXH06,3,"Not evaluated"
ORXH06,.,"Missing"
ORXH11,1,"Positive"
ORXH11,2,"Negative"
ORXH11,3,"Not evaluated"
ORXH11,.,"Missing"
ORXH16,1,"Positive"
ORXH16,2,"Negative"
ORXH16,3,"Not evaluated"
ORXH16,.,"Missing"
ORXH18,1,"Positive"
ORXH18,2,"Negative"
ORXH18,3,"Not evaluated"
ORXH18,.,"Missing"
ORXH26,1,"Positive"
ORXH26,2,"Negative"
ORXH26,3,"Not evaluated"
ORXH26,.,"Missing"
ORXH31,1,"Positive"
ORXH31,2,"Negative"
ORXH31,3,"Not evaluated"
ORXH31,.,"Missing"
ORXH33,1,"Positive"
ORXH33,2,"Negative"
ORXH33,3,"Not evaluated"
ORXH33,.,"Missing"
ORXH35,1,"Positive"
ORXH35,2,"Negative"
ORXH35,3,"Not evaluated"
ORXH35,.,"Missing"
ORXH39,1,"Positive"
ORXH39,2,"Negative"
ORXH39,3,"Not evaluated"
ORXH39,.,"Missing"
ORXH40,1,"Positive"
ORXH40,2,"Negative"
ORXH40,3,"Not evaluated"
ORXH40,.,"Missing"
ORXH42,1,"Positive"
ORXH42,2,"Negative"
ORXH42,3,"Not evaluated"
ORXH42,.,"Missing"
ORXH45,1,"Positive"
ORXH45,2,"Negative"
ORXH45,3,"Not evaluated"
ORXH45,.,"Missing"
ORXH51,1,"Positive"
ORXH51,2,"Negative"
ORXH51,3,"Not evaluated"
ORXH51,.,"Missing"
ORXH52,1,"Positive"
ORXH52,2,"Negative"
ORXH52,3,"Not evaluated"
ORXH52,.,"Missing"
ORXH53,1,"Positive"
ORXH53,2,"Negative"
ORXH53,3,"Not evaluated"
ORXH53,.,"Missing"
ORXH54,1,"Positive"
ORXH54,2,"Negative"
ORXH54,3,"Not evaluated"
ORXH54,.,"Missing"
ORXH55,1,"Positive"
ORXH55,2,"Negative"
ORXH55,3,"Not evaluated"
ORXH55,.,"Missing"
ORXH56,1,"Positive"
ORXH56,2,"Negative"
ORXH56,3,"Not evaluated"
ORXH56,.,"Missing"
ORXH58,1,"Positive"
ORXH58,2,"Negative"
ORXH58,3,"Not evaluated"
ORXH58,.,"Missing"
ORXH59,1,"Positive"
ORXH59,2,"Negative"
ORXH59,3,"Not evaluated"
ORXH59,.,"Missing"
ORXH61,1,"Positive"
ORXH61,2,"Negative"
ORXH61,3,"Not evaluated"
ORXH61,.,"Missing"
ORXH62,1,"Positive"
ORXH62,2,"Negative"
ORXH62,3,"Not evaluated"
ORXH62,.,"Missing"
ORXH64,1,"Positive"
ORXH64,2,"Negative"
ORXH64,3,"Not evaluated"
ORXH64,.,"Missing"
ORXH66,1,"Positive"
ORXH66,2,"Negative"
ORXH66,3,"Not evaluated"
ORXH66,.,"Missing"
ORXH67,1,"Positive"
ORXH67,2,"Negative"
ORXH67,3,"Not evaluated"
ORXH67,.,"Missing"
ORXH68,1,"Positive"
ORXH68,2,"Negative"
ORXH68,3,"Not evaluated"
ORXH68,.,"Missing"
ORXH69,1,"Positive"
ORXH69,2,"Negative"
ORXH69,3,"Not evaluated"
ORXH69,.,"Missing"
ORXH70,1,"Positive"
ORXH70,2,"Negative"
ORXH70,3,"Not evaluated"
ORXH70,.,"Missing"
ORXH71,1,"Positive"
ORXH71,2,"Negative"
ORXH71,3,"Not evaluated"
ORXH71,.,"Missing"
ORXH72,1,"Positive"
ORXH72,2,"Negative"
ORXH72,3,"Not evaluated"
ORXH72,.,"Missing"
ORXH73,1,"Positive"
ORXH73,2,"Negative"
ORXH73,3,"Not evaluated"
ORXH73,.,"Missing"
ORXH81,1,"Positive"
ORXH81,2,"Negative"
ORXH81,3,"Not evaluated"
ORXH81,.,"Missing"
ORXH82,1,"Positive"
ORXH82,2,"Negative"
ORXH82,3,"Not evaluated"
ORXH82,.,"Missing"
ORXH83,1,"Positive"
ORXH83,2,"Negative"
ORXH83,3,"Not evaluated"
ORXH83,.,"Missing"
ORXH84,1,"Positive"
ORXH84,2,"Negative"
ORXH84,3,"Not evaluated"
ORXH84,.,"Missing"
ORXHPC,1,"Positive"
ORXHPC,2,"Negative"
ORXHPC,3,"Not evaluated"
ORXHPC,.,"Missing"
ORXHPI,1,"Positive"
ORXHPI,2,"Negative"
ORXHPI,3,"Not evaluated"
ORXHPI,.,"Missing"
ORXHPV,1,"Positive"
ORXHPV,2,"Negative"
ORXHPV,3,"Not evaluated"
ORXHPV,.,"Missing"
