Column,Variable,Label
SSUNASI,14 to 312,"Range of Values"
SSUNASI,.,"Missing"
SSUNA,32 to 718,"Range of Values"
SSUNA,.,"Missing"
SSDUNALC,0,"At  or above detection limit"
SSDUNALC,1,"Below lower detection limit"
SSDUNALC,.,"Missing"
SSUKSI,2 to 169.54,"Range of Values"
SSUKSI,.,"Missing"
SSUK,8 to 661,"Range of Values"
SSUK,.,"Missing"
SSDUKLC,0,"At or above detection limit"
SSDUKLC,1,"Below lower detection limit"
SSDUKLC,.,"Missing"
SSUCLSI,14 to 286,"Range of Values"
SSUCLSI,.,"Missing"
SSUCL,50 to 1015,"Range of Values"
SSUCL,.,"Missing"
SSDUCLLC,0,"At or above detection limit"
SSDUCLLC,1,"Below lower detection limit"
SSDUCLLC,.,"Missing"
VPSU,1 to 15,"Range of Values"
VPSU,.,"Missing"
VSTRA,1,"1"
VSTRA,.,"Missing"
WT1YUR,26626.969653 to 962263.82549,"Range of Values"
WT1YUR,0,"No complete urine collection"
WT1YUR,.,"Missing"
WT1YUR01,32988.435668 to 1003989.6307,"Range of Values"
WT1YUR01,0,"Not in replicate sample or no complete urine collection"
WT1YUR01,.,"Missing"
WT1YUR02,30811.629073 to 1032370.6822,"Range of Values"
WT1YUR02,0,"Not in replicate sample or no complete urine collection"
WT1YUR02,.,"Missing"
WT1YUR03,32444.744583 to 1124054.7132,"Range of Values"
WT1YUR03,0,"Not in replicate sample or no complete urine collection"
WT1YUR03,.,"Missing"
WT1YUR04,30122.038208 to 996811.1017,"Range of Values"
WT1YUR04,0,"Not in replicate sample or no complete urine collection"
WT1YUR04,.,"Missing"
WT1YUR05,26595.342712 to 1180891.0718,"Range of Values"
WT1YUR05,0,"Not in replicate sample or no complete urine collection"
WT1YUR05,.,"Missing"
WT1YUR06,25525.240772 to 1069430.0221,"Range of Values"
WT1YUR06,0,"Not in replicate sample or no complete urine collection"
WT1YUR06,.,"Missing"
WT1YUR07,29254.953947 to 1238634.2445,"Range of Values"
WT1YUR07,0,"Not in replicate sample or no complete urine collection"
WT1YUR07,.,"Missing"
WT1YUR08,27922.235179 to 994400.70164,"Range of Values"
WT1YUR08,0,"Not in replicate sample or no complete urine collection"
WT1YUR08,.,"Missing"
WT1YUR09,27354.825857 to 1046225.3276,"Range of Values"
WT1YUR09,0,"Not in replicate sample or no complete urine collection"
WT1YUR09,.,"Missing"
WT1YUR10,26787.826959 to 995943.49666,"Range of Values"
WT1YUR10,0,"Not in replicate sample or no complete urine collection"
WT1YUR10,.,"Missing"
WT1YUR11,28902.632671 to 956789.383,"Range of Values"
WT1YUR11,0,"Not in replicate sample or no complete urine collection"
WT1YUR11,.,"Missing"
WT1YUR12,28817.414878 to 1202268.6888,"Range of Values"
WT1YUR12,0,"Not in replicate sample or no complete urine collection"
WT1YUR12,.,"Missing"
WT1YUR13,30806.914324 to 1016724.8442,"Range of Values"
WT1YUR13,0,"Not in replicate sample or no complete urine collection"
WT1YUR13,.,"Missing"
WT1YUR14,28423.967242 to 1050505.08,"Range of Values"
WT1YUR14,0,"Not in replicate sample or no complete urine collection"
WT1YUR14,.,"Missing"
WT1YUR15,29944.843186 to 966684.41773,"Range of Values"
WT1YUR15,0,"Not in replicate sample or no complete urine collection"
WT1YUR15,.,"Missing"
WT1YUB01,9708.117363 to 1679130.4025,"Range of Values"
WT1YUB01,0,"No complete urine collection"
WT1YUB01,.,"Missing"
WT1YUB02,8349.837846 to 1606031.1301,"Range of Values"
WT1YUB02,0,"No complete urine collection"
WT1YUB02,.,"Missing"
WT1YUB03,9901.051122 to 1842177.1645,"Range of Values"
WT1YUB03,0,"No complete urine collection"
WT1YUB03,.,"Missing"
WT1YUB04,7565.591177 to 1574920.7297,"Range of Values"
WT1YUB04,0,"No complete urine collection"
WT1YUB04,.,"Missing"
WT1YUB05,8593.837633 to 1729983.0084,"Range of Values"
WT1YUB05,0,"No complete urine collection"
WT1YUB05,.,"Missing"
WT1YUB06,7080.034439 to 1547547.9405,"Range of Values"
WT1YUB06,0,"No complete urine collection"
WT1YUB06,.,"Missing"
WT1YUB07,9349.310683 to 1637477.4953,"Range of Values"
WT1YUB07,0,"No complete urine collection"
WT1YUB07,.,"Missing"
WT1YUB08,8094.557196 to 1663257.4171,"Range of Values"
WT1YUB08,0,"No complete urine collection"
WT1YUB08,.,"Missing"
WT1YUB09,9247.466513 to 1528171.3752,"Range of Values"
WT1YUB09,0,"No complete urine collection"
WT1YUB09,.,"Missing"
WT1YUB10,7819.636741 to 1625507.9938,"Range of Values"
WT1YUB10,0,"No complete urine collection"
WT1YUB10,.,"Missing"
WT1YUB11,10596.04009 to 1661523.21,"Range of Values"
WT1YUB11,0,"No complete urine collection"
WT1YUB11,.,"Missing"
WT1YUB12,9613.933744 to 1573065.1352,"Range of Values"
WT1YUB12,0,"No complete urine collection"
WT1YUB12,.,"Missing"
WT1YUB13,9982.528076 to 1491089.5334,"Range of Values"
WT1YUB13,0,"No complete urine collection"
WT1YUB13,.,"Missing"
WT1YUB14,8619.090806 to 1762735.6368,"Range of Values"
WT1YUB14,0,"No complete urine collection"
WT1YUB14,.,"Missing"
WT1YUB15,12595.358001 to 1515996.8049,"Range of Values"
WT1YUB15,0,"No complete urine collection"
WT1YUB15,.,"Missing"
WT1YUB16,8365.095245 to 1734825.4197,"Range of Values"
WT1YUB16,0,"No complete urine collection"
WT1YUB16,.,"Missing"
