Column,Variable,Label
UR1UCSTS,1,"Complete specimen"
UR1UCSTS,2,"Incomplete specimen"
UR1UCSTS,3,"Agreed but no specimen returned"
UR1UCSTS,4,"Refused urine collection"
UR1UCSTS,.,"Missing"
UR1MA,0.6 to 4160,"Range of Values"
UR1MA,.,"Missing"
UR1CA,0.2 to 53.8,"Range of Values"
UR1CA,.,"Missing"
UR1MG,0.4 to 18.8,"Range of Values"
UR1MG,.,"Missing"
URDMG1LC,0,"At or above detection limit"
URDMG1LC,1,"Below lower detection limit"
URDMG1LC,.,"Missing"
UR1OX,1.76 to 54.56,"Range of Values"
UR1OX,.,"Missing"
UR1PH,3 to 171.6,"Range of Values"
UR1PH,.,"Missing"
UR1UN,79 to 1845,"Range of Values"
UR1UN,.,"Missing"
URDUN1LC,0,"At or above detection limit"
URDUN1LC,1,"Below lower detection limit"
URDUN1LC,.,"Missing"
UR1CR,14 to 391,"Range of Values"
UR1CR,.,"Missing"
VPSU,1 to 15,"Range of Values"
VPSU,.,"Missing"
VSTRA,1,"1"
VSTRA,.,"Missing"
WT1YUR,26626.969653 to 1039861.6547,"Range of Values"
WT1YUR,0,"No complete urine collection"
WT1YUR,.,"Missing"
WT1YUR01,32988.435668 to 1087823.4451,"Range of Values"
WT1YUR01,0,"Not in replicate sample or no complete urine collection"
WT1YUR01,.,"Missing"
WT1YUR02,30811.629073 to 1108478.079,"Range of Values"
WT1YUR02,0,"Not in replicate sample or no complete urine collection"
WT1YUR02,.,"Missing"
WT1YUR03,32444.744583 to 1124054.7132,"Range of Values"
WT1YUR03,0,"Not in replicate sample or no complete urine collection"
WT1YUR03,.,"Missing"
WT1YUR04,30122.038208 to 1088100.7098,"Range of Values"
WT1YUR04,0,"Not in replicate sample or no complete urine collection"
WT1YUR04,.,"Missing"
WT1YUR05,26595.342712 to 1386604.9599,"Range of Values"
WT1YUR05,0,"Not in replicate sample or no complete urine collection"
WT1YUR05,.,"Missing"
WT1YUR06,25525.240772 to 1185899.8756,"Range of Values"
WT1YUR06,0,"Not in replicate sample or no complete urine collection"
WT1YUR06,.,"Missing"
WT1YUR07,29254.953947 to 1238634.2445,"Range of Values"
WT1YUR07,0,"Not in replicate sample or no complete urine collection"
WT1YUR07,.,"Missing"
WT1YUR08,27922.235179 to 994400.70164,"Range of Values"
