Column,Variable,Label
UR2UCSTS,1,"Complete specimen"
UR2UCSTS,2,"Incomplete specimen"
UR2UCSTS,3,"Agreed but no specimen returned"
UR2UCSTS,4,"Refused urine collection"
UR2UCSTS,5,"No time to schedule, end of stand"
UR2UCSTS,6,"Not sampled for second urine collection"
UR2UCSTS,.,"Missing"
URDNCSP,0,"None"
URDNCSP,1,"One complete 24-hour urine specimen only"
URDNCSP,2,"Two complete 24-hour urine specimens"
URDNCSP,.,"Missing"
UR2DBMU,2 to 49,"Range of Values"
UR2DBMU,.,"Missing"
UR2ASSIG,1,"Weekday"
UR2ASSIG,2,"Weekend"
UR2ASSIG,.,"Missing"
UR2COLL,1,"Sunday"
UR2COLL,2,"Monday"
UR2COLL,3,"Tuesday"
UR2COLL,4,"Wednesday"
UR2COLL,5,"Thursday"
UR2COLL,6,"Friday"
UR2COLL,7,"Saturday"
UR2COLL,.,"Missing"
UR2REAS,1,"Start/end time of urine collection not recorded"
UR2REAS,2,"Urine collection time <22 hours"
UR2REAS,3,"Total urine volume <400 mL"
UR2REAS,4,"Menstruating"
UR2REAS,5,"Missed more than 'a few drops' of urine during collection"
UR2REAS,6,"Contaminated urine specimen"
UR2REAS,.,"Missing"
UR2904A,1,"UMEC"
UR2904A,2,"Home"
UR2904A,.,"Missing"
UR2904B,1,"UMEC"
UR2904B,2,"Home"
UR2904B,.,"Missing"
UR2009,1,"Yes"
UR2009,2,"No"
UR2009,7,"Refused"
UR2009,9,"Don't know"
UR2009,.,"Missing"
UR2010,777777,"Refused"
UR2010,999999,"Don't know"
UR2010,.,"Missing"
UR2011,1,"Yes"
UR2011,2,"No"
UR2011,3,"Do not work"
UR2011,7,"Refused"
UR2011,9,"Don't know"
UR2011,.,"Missing"
UR2012,1,"Yes"
UR2012,2,"No"
UR2012,7,"Refused"
UR2012,9,"Don't know"
UR2012,.,"Missing"
UR2013,1,"Yes"
UR2013,2,"No"
UR2013,7,"Refused"
UR2013,9,"Don't know"
UR2013,.,"Missing"
UR2014,1,"Yes"
UR2014,2,"No"
UR2014,7,"Refused"
