Column,Variable,Label
ACD011A,1,"English"
ACD011A,77,"Refused"
ACD011A,99,"Don't know"
ACD011A,.,"Missing"
ACD011B,8,"Spanish"
ACD011B,.,"Missing"
ACD011C,9,"Other"
ACD011C,.,"Missing"
ACD040,1,"Only Spanish,"
ACD040,2,"More Spanish than English"
ACD040,3,"Both equally"
ACD040,4,"More English than Spanish"
ACD040,5,"Only English"
ACD040,7,"Refused"
ACD040,9,"Don't know"
ACD040,.,"Missing"
ACD110,1,"Only Non-English language"
ACD110,2,"More Non-English than English"
ACD110,3,"Both equally"
ACD110,4,"More English than Non-English"
ACD110,5,"Only English"
ACD110,7,"Refused"
ACD110,9,"Don't know"
ACD110,.,"Missing"
