Column,Variable,Label
ALQ101,1,"Yes"
ALQ101,2,"No"
ALQ101,7,"Refused"
ALQ101,9,"Don't know"
ALQ101,.,"Missing"
ALQ110,1,"Yes"
ALQ110,2,"No"
ALQ110,7,"Refused"
ALQ110,9,"Don't know"
ALQ110,.,"Missing"
ALQ120Q,0 to 365,"Range of Values"
ALQ120Q,777,"Refused"
ALQ120Q,999,"Don't know"
ALQ120Q,.,"Missing"
ALQ120U,1,"Week"
ALQ120U,2,"Month"
ALQ120U,3,"Year"
ALQ120U,7,"Refused"
ALQ120U,9,"Don't know"
ALQ120U,.,"Missing"
ALQ130,1 to 25,"Range of Values"
ALQ130,777,"Refused"
ALQ130,999,"Don't know"
ALQ130,.,"Missing"
ALQ141Q,0 to 350,"Range of Values"
ALQ141Q,777,"Refused"
ALQ141Q,999,"Don't know"
ALQ141Q,.,"Missing"
ALQ141U,1,"Week"
ALQ141U,2,"Month"
ALQ141U,3,"Year"
ALQ141U,7,"Refused"
ALQ141U,9,"Don't know"
ALQ141U,.,"Missing"
ALQ151,1,"Yes"
ALQ151,2,"No"
ALQ151,7,"Refused"
ALQ151,9,"Don't know"
ALQ151,.,"Missing"
ALQ160,0 to 30,"Range of Values"
ALQ160,777,"Refused"
ALQ160,999,"Don't know"
ALQ160,.,"Missing"
