Column,Variable,Label
BPQ020,1,"Yes"
BPQ020,2,"No"
BPQ020,7,"Refused"
BPQ020,9,"Don't know"
BPQ020,.,"Missing"
BPQ030,1,"Yes"
BPQ030,2,"No"
BPQ030,7,"Refused"
BPQ030,9,"Don't know"
BPQ030,.,"Missing"
BPD035,10 to 79,"Range of Values"
BPD035,80,"80 years or older"
BPD035,777,"Refused"
BPD035,999,"Don't know"
BPD035,.,"Missing"
BPQ040A,1,"Yes"
BPQ040A,2,"No"
BPQ040A,7,"Refused"
BPQ040A,9,"Don't know"
BPQ040A,.,"Missing"
BPQ050A,1,"Yes"
BPQ050A,2,"No"
BPQ050A,7,"Refused"
BPQ050A,9,"Don't know"
BPQ050A,.,"Missing"
BPQ056,1,"Yes"
BPQ056,2,"No"
BPQ056,7,"Refused"
BPQ056,9,"Don't know"
BPQ056,.,"Missing"
BPD058,1 to 2704,"Range of Values"
BPD058,7777,"Refused"
BPD058,9999,"Don't know"
BPD058,.,"Missing"
BPQ059,1,"Yes"
BPQ059,2,"No"
BPQ059,7,"Refused"
BPQ059,9,"Don't know"
BPQ059,.,"Missing"
BPQ080,1,"Yes"
BPQ080,2,"No"
BPQ080,7,"Refused"
BPQ080,9,"Don't know"
BPQ080,.,"Missing"
BPQ060,1,"Yes"
BPQ060,2,"No"
BPQ060,7,"Refused"
BPQ060,9,"Don't know"
BPQ060,.,"Missing"
BPQ070,1,"Less than 1 year ago,"
BPQ070,2,"1 year but less than 2 years ago,"
BPQ070,3,"2 years but less than 5 years ago, or"
BPQ070,4,"5 years or more?"
BPQ070,7,"Refused"
BPQ070,9,"Don't know"
BPQ070,.,"Missing"
BPQ090D,1,"Yes"
BPQ090D,2,"No"
BPQ090D,7,"Refused"
BPQ090D,9,"Don't know"
BPQ090D,.,"Missing"
BPQ100D,1,"Yes"
BPQ100D,2,"No"
BPQ100D,7,"Refused"
BPQ100D,9,"Don't know"
BPQ100D,.,"Missing"
