Column,Variable,Label
CBD070,0 to 4285,"Range of Values"
CBD070,777777,"Refused"
CBD070,999999,"Don't know"
CBD070,.,"Missing"
CBD090,0 to 1542,"Range of Values"
CBD090,777777,"Refused"
CBD090,999999,"Don't know"
CBD090,.,"Missing"
CBD110,0 to 2000,"Range of Values"
CBD110,777777,"Refused"
CBD110,999999,"Don't know"
CBD110,.,"Missing"
CBD120,0 to 2142,"Range of Values"
CBD120,777777,"Refused"
CBD120,999999,"Don't know"
CBD120,.,"Missing"
CBD130,0 to 1028,"Range of Values"
CBD130,777777,"Refused"
CBD130,999999,"Don't know"
CBD130,.,"Missing"
