Column,Variable,Label
CKQ010,1,"Yes"
CKQ010,2,"No"
CKQ010,7,"Refused"
CKQ010,9,"Don't know"
CKQ010,.,"Missing"
CKQ020,1,"Yes"
CKQ020,2,"No"
CKQ020,7,"Refused"
CKQ020,9,"Don't know"
CKQ020,.,"Missing"
CKQ030,1,"Yes"
CKQ030,2,"No"
CKQ030,7,"Refused"
CKQ030,9,"Don't know"
CKQ030,.,"Missing"
CKQ040,1,"Yes"
CKQ040,2,"No"
CKQ040,7,"Refused"
CKQ040,9,"Don't know"
CKQ040,.,"Missing"
CKD060,1,"Yes"
CKD060,2,"No"
CKD060,7,"Refused"
CKD060,9,"Don't know"
CKD060,.,"Missing"
CKQ070Q,1 to 200,"Range of Values"
CKQ070Q,77777,"Refused"
CKQ070Q,99999,"Don't know"
CKQ070Q,.,"Missing"
CKQ070U,1,"Days"
CKQ070U,2,"Weeks"
CKQ070U,3,"Months"
CKQ070U,4,"Years"
CKQ070U,7,"Refused"
CKQ070U,9,"Don't know"
CKQ070U,.,"Missing"
