Column,Variable,Label
CSQ010,1,"Yes"
CSQ010,2,"No"
CSQ010,7,"Refused"
CSQ010,9,"Don't know"
CSQ010,.,"Missing"
CSQ020,1,"Better Now"
CSQ020,2,"Worse Now"
CSQ020,3,"No Change"
CSQ020,7,"Refused"
CSQ020,9,"Don't know"
CSQ020,.,"Missing"
CSQ030,1,"Yes"
CSQ030,2,"No"
CSQ030,7,"Refused"
CSQ030,9,"Don't know"
CSQ030,.,"Missing"
CSQ040,1,"Yes"
CSQ040,2,"No"
CSQ040,7,"Refused"
CSQ040,9,"Don't know"
CSQ040,.,"Missing"
CSQ060,1,"Less than 3 Months Ago"
CSQ060,2,"3 to 12 months (1 year) ago"
CSQ060,3,"1 to 4 years ago"
CSQ060,4,"5 to 9 years ago"
CSQ060,5,"Ten or more years ago"
CSQ060,7,"Refused"
CSQ060,9,"Don't know"
CSQ060,.,"Missing"
CSQ070,1,"It is always there"
CSQ070,2,"It comes and goes"
CSQ070,3,"I have a problem only with a cold"
CSQ070,7,"Refused"
CSQ070,9,"Don't know"
CSQ070,.,"Missing"
CSQ080,1,"Yes"
CSQ080,2,"No"
CSQ080,7,"Refused"
CSQ080,9,"Don't know"
CSQ080,.,"Missing"
CSQ090A,1,"Better"
CSQ090A,2,"Worse"
CSQ090A,3,"No Change"
CSQ090A,7,"Refused"
CSQ090A,9,"Don't know"
CSQ090A,.,"Missing"
CSQ090B,1,"Better"
CSQ090B,2,"Worse"
CSQ090B,3,"No Change"
CSQ090B,7,"Refused"
CSQ090B,9,"Don't know"
CSQ090B,.,"Missing"
CSQ090C,1,"Better"
CSQ090C,2,"Worse"
CSQ090C,3,"No Change"
CSQ090C,7,"Refused"
CSQ090C,9,"Don't know"
CSQ090C,.,"Missing"
CSQ090D,1,"Better"
CSQ090D,2,"Worse"
CSQ090D,3,"No Change"
CSQ090D,7,"Refused"
CSQ090D,9,"Don't know"
CSQ090D,.,"Missing"
CSQ100,1,"Yes"
CSQ100,2,"No"
CSQ100,7,"Refused"
CSQ100,9,"Don't know"
CSQ100,.,"Missing"
CSQ110,1,"Yes"
CSQ110,2,"No"
CSQ110,7,"Refused"
CSQ110,9,"Don't know"
CSQ110,.,"Missing"
CSQ120A,1,"Sweet"
CSQ120A,77,"Refused"
CSQ120A,99,"Don't know"
CSQ120A,.,"Missing"
CSQ120B,2,"Sour"
CSQ120B,.,"Missing"
CSQ120C,3,"Salty"
CSQ120C,.,"Missing"
CSQ120D,4,"Bitter"
CSQ120D,.,"Missing"
CSQ120E,5,"Metallic"
CSQ120E,.,"Missing"
CSQ120F,6,"Burning or Tingling"
CSQ120F,.,"Missing"
CSQ120G,7,"Bad or Foul"
CSQ120G,.,"Missing"
CSQ120H,8,"or Something else"
CSQ120H,.,"Missing"
CSQ140,1,"Less than 3 Months Ago"
CSQ140,2,"3 to 12 Months (1 Yesr) Ago"
CSQ140,3,"1 to 4 years ago"
CSQ140,4,"5 to 9 years ago"
CSQ140,5,"Ten or more years ago"
CSQ140,7,"Refused"
CSQ140,9,"Don't know"
CSQ140,.,"Missing"
CSQ160,1,"Yes"
CSQ160,2,"No"
CSQ160,7,"Refused"
CSQ160,9,"Don't know"
CSQ160,.,"Missing"
CSQ170,1,"In the Past 12 Months"
CSQ170,2,"1 to 4 Years Ago"
CSQ170,3,"5 to 9 years ago"
CSQ170,4,"Ten or more years ago"
CSQ170,7,"Refused"
CSQ170,9,"Don't know"
CSQ170,.,"Missing"
CSQ180,1,"Yes"
CSQ180,2,"No"
CSQ180,7,"Refused"
CSQ180,9,"Don't know"
CSQ180,.,"Missing"
CSQ190,1,"Yes"
CSQ190,2,"No"
CSQ190,7,"Refused"
CSQ190,9,"Don't know"
CSQ190,.,"Missing"
CSQ200,1,"Yes"
CSQ200,2,"No"
CSQ200,7,"Refused"
CSQ200,9,"Don't know"
CSQ200,.,"Missing"
CSQ202,1,"Yes"
CSQ202,2,"No"
CSQ202,7,"Refused"
CSQ202,9,"Don't know"
CSQ202,.,"Missing"
CSQ204,1,"Yes"
CSQ204,2,"No"
CSQ204,7,"Refused"
CSQ204,9,"Don't know"
CSQ204,.,"Missing"
CSQ210,1,"Yes"
CSQ210,2,"No"
CSQ210,7,"Refused"
CSQ210,9,"Don't know"
CSQ210,.,"Missing"
CSQ220,1,"Yes"
CSQ220,2,"No"
CSQ220,7,"Refused"
CSQ220,9,"Don't know"
CSQ220,.,"Missing"
CSQ240,1,"Yes"
CSQ240,2,"No"
CSQ240,7,"Refused"
CSQ240,9,"Don't know"
CSQ240,.,"Missing"
CSQ250,1,"Yes"
CSQ250,2,"No"
CSQ250,7,"Refused"
CSQ250,9,"Don't know"
CSQ250,.,"Missing"
CSQ260,1,"Yes"
CSQ260,2,"No"
CSQ260,7,"Refused"
CSQ260,9,"Don't know"
CSQ260,.,"Missing"
AUQ136,1,"Yes"
AUQ136,2,"No"
AUQ136,7,"Refused"
AUQ136,9,"Don't know"
AUQ136,.,"Missing"
AUQ138,1,"Yes"
AUQ138,2,"No"
AUQ138,7,"Refused"
AUQ138,9,"Don't know"
AUQ138,.,"Missing"
