Column,Variable,Label
DBQ010,1,"Yes"
DBQ010,2,"No"
DBQ010,7,"Refused"
DBQ010,9,"Don't know"
DBQ010,.,"Missing"
DBD030,1 to 2190,"Range of Values"
DBD030,0,"Still breastfeeding"
DBD030,777777,"Refused"
DBD030,999999,"Don't know"
DBD030,.,"Missing"
DBD041,1 to 760,"Range of Values"
DBD041,0,"Never"
DBD041,777777,"Refused"
DBD041,999999,"Don't know"
DBD041,.,"Missing"
DBD050,1 to 1460,"Range of Values"
DBD050,0,"Still drinking formula"
DBD050,777777,"Refused"
DBD050,999999,"Don't know"
DBD050,.,"Missing"
DBD055,1 to 1825,"Range of Values"
DBD055,0,"Never"
DBD055,777777,"Refused"
DBD055,999999,"Don't know"
DBD055,.,"Missing"
DBD061,1 to 2190,"Range of Values"
DBD061,0,"Never"
DBD061,777777,"Refused"
DBD061,999999,"Don't know"
DBD061,.,"Missing"
DBQ073A,10,"Whole or regular milk"
DBQ073A,77,"Refused"
DBQ073A,99,"Don't know"
DBQ073A,.,"Missing"
DBQ073B,11,"2% fat or reduced-fat milk"
DBQ073B,.,"Missing"
DBQ073C,12,"1% fat or low-fat milk (includes 0.5% fat milk or low-fat milk not further specified),"
DBQ073C,.,"Missing"
DBQ073D,13,"fat-free, skim or nonfat milk, or"
DBQ073D,.,"Missing"
DBQ073E,14,"soy milk, or"
DBQ073E,.,"Missing"
DBQ073U,30,"Another type?"
DBQ073U,.,"Missing"
DBQ700,1,"Excellent"
DBQ700,2,"Very good"
DBQ700,3,"Good"
DBQ700,4,"Fair"
DBQ700,5,"Poor"
DBQ700,7,"Refused"
DBQ700,9,"Don't know"
DBQ700,.,"Missing"
DBQ197,0,"Never"
DBQ197,1,"Rarely-less than once a week"
DBQ197,2,"Sometimes-once a week or more, but less than once a day, or"
DBQ197,3,"Often-once a day or more?"
DBQ197,4,"Varied"
DBQ197,7,"Refused"
DBQ197,9,"Don't know"
DBQ197,.,"Missing"
DBQ223A,10,"Whole or regular,"
DBQ223A,77,"Refused"
DBQ223A,99,"Don't know"
DBQ223A,.,"Missing"
DBQ223B,11,"2% fat or reduced-fat milk,"
DBQ223B,.,"Missing"
DBQ223C,12,"1% fat or low-fat milk (includes 0.5% fat milk or low-fat milk not further specified),"
DBQ223C,.,"Missing"
DBQ223D,13,"Skim, nonfat, or 0.5% fat milk (includes liquid or reconstituted from dry),"
DBQ223D,.,"Missing"
DBQ223E,14,"soy milk, or"
DBQ223E,.,"Missing"
DBQ223U,30,"Another type?"
DBQ223U,.,"Missing"
DBQ229,1,"{I've/He's/She's} been a regular milk drinker for most or all of {my/his/her} life, including {my/his/her} childhood"
DBQ229,2,"{I've/He's/She's} never been a regular milk drinker;"
DBQ229,3,"{My/His/Her} milk drinking has varied over {my/his/her} life-sometimes {I've/he's/she's} been a regular milk drinker"
DBQ229,7,"Refused"
DBQ229,9,"Don't know"
DBQ229,.,"Missing"
DBQ235A,0,"Never"
DBQ235A,1,"Rarely-less than once a week"
DBQ235A,2,"Sometimes-once a week or more, but less than once a day"
DBQ235A,3,"Often-once a day or more"
DBQ235A,4,"Varied"
DBQ235A,7,"Refused"
DBQ235A,9,"Don't know"
DBQ235A,.,"Missing"
DBQ235B,0,"Never"
DBQ235B,1,"Rarely-less than once a week"
DBQ235B,2,"Sometimes-once a week or more, but less than once a day"
DBQ235B,3,"Often-once a day or more"
DBQ235B,4,"Varied"
DBQ235B,7,"Refused"
DBQ235B,9,"Don't know"
DBQ235B,.,"Missing"
DBQ235C,0,"Never"
DBQ235C,1,"Rarely-less than once a week"
DBQ235C,2,"Sometimes-once a week or more, but less than once a day"
DBQ235C,3,"Often-once a day or more"
DBQ235C,4,"Varied"
