Column,Variable,Label
DED031,1,"Get a severe sunburn with blisters"
DED031,2,"A severe sunburn for a few days with peeling"
DED031,3,"Mildly burned with some tanning"
DED031,4,"Turning darker without a sunburn"
DED031,5,"Nothing would happen in half an hour"
DED031,6,"Other"
DED031,77,"Refused"
DED031,99,"Don't know"
DED031,.,"Missing"
DEQ034A,1,"Always"
DEQ034A,2,"Most of the time"
DEQ034A,3,"Sometimes"
DEQ034A,4,"Rarely, or"
DEQ034A,5,"Never?"
DEQ034A,6,"Don't go out in the sun"
DEQ034A,77,"Refused"
DEQ034A,99,"Don't know"
DEQ034A,.,"Missing"
DEQ034C,1,"Always"
DEQ034C,2,"Most of the time"
DEQ034C,3,"Sometimes"
DEQ034C,4,"Rarely, or"
DEQ034C,5,"Never?"
DEQ034C,7,"Refused"
DEQ034C,9,"Don't know"
DEQ034C,.,"Missing"
DEQ034D,1,"Always"
DEQ034D,2,"Most of the time"
DEQ034D,3,"Sometimes"
DEQ034D,4,"Rarely, or"
DEQ034D,5,"Never?"
DEQ034D,7,"Refused"
DEQ034D,9,"Don't know"
DEQ034D,.,"Missing"
DEQ038G,1,"Enter number"
DEQ038G,2,"Never"
DEQ038G,7,"Refused"
DEQ038G,9,"Don't know"
DEQ038G,.,"Missing"
DEQ038Q,1 to 15,"Range of Values"
DEQ038Q,20,"20 or more times"
DEQ038Q,77777,"Refused"
DEQ038Q,99999,"Don't know"
DEQ038Q,.,"Missing"
DED120,15 to 480,"Range of Values"
DED120,14,"14 minutes or less"
DED120,9999,"Don't Know"
DED120,.,"Missing"
DED125,15 to 480,"Range of Values"
DED125,14,"14 minutes or less"
DED125,9999,"Don't Know"
DED125,.,"Missing"
