Column,Variable,Label
DIQ010,1,"Yes"
DIQ010,2,"No"
DIQ010,3,"Borderline"
DIQ010,7,"Refused"
DIQ010,9,"Don't know"
DIQ010,.,"Missing"
DID040,1 to 79,"Range of Values"
DID040,80,"80 years or older"
DID040,666,"Less than 1 year"
DID040,777,"Refused"
DID040,999,"Don't know"
DID040,.,"Missing"
DIQ160,1,"Yes"
DIQ160,2,"No"
DIQ160,7,"Refused"
DIQ160,9,"Don't know"
DIQ160,.,"Missing"
DIQ170,1,"Yes"
DIQ170,2,"No"
DIQ170,7,"Refused"
DIQ170,9,"Don't know"
DIQ170,.,"Missing"
DIQ172,1,"Yes"
DIQ172,2,"No"
DIQ172,7,"Refused"
DIQ172,9,"Don't know"
DIQ172,.,"Missing"
DIQ175A,10,"Family history"
DIQ175A,77,"Refused"
DIQ175A,99,"Don't know"
DIQ175A,.,"Missing"
DIQ175B,11,"Overweight"
DIQ175B,.,"Missing"
DIQ175C,12,"Age"
DIQ175C,.,"Missing"
DIQ175D,13,"Poor diet"
DIQ175D,.,"Missing"
DIQ175E,14,"Race"
DIQ175E,.,"Missing"
DIQ175F,15,"Had a baby weighed over 9 lbs. at birth"
DIQ175F,.,"Missing"
DIQ175G,16,"Lack of physical activity"
DIQ175G,.,"Missing"
DIQ175H,17,"High blood pressure"
DIQ175H,.,"Missing"
DIQ175I,18,"High blood sugar"
DIQ175I,.,"Missing"
DIQ175J,19,"High cholesterol"
DIQ175J,.,"Missing"
DIQ175K,20,"Hypoglycemic"
DIQ175K,.,"Missing"
DIQ175L,21,"Extreme hunger"
DIQ175L,.,"Missing"
DIQ175M,22,"Tingling/numbness in hands or feet"
DIQ175M,.,"Missing"
DIQ175N,23,"Blurred vision"
DIQ175N,.,"Missing"
DIQ175O,24,"Increased fatigue"
DIQ175O,.,"Missing"
DIQ175P,25,"Anyone could be at risk"
DIQ175P,.,"Missing"
DIQ175Q,26,"Doctor warning"
DIQ175Q,.,"Missing"
DIQ175R,27,"Other, specify"
DIQ175R,.,"Missing"
