Column,Variable,Label
DLQ010,1,"Yes"
DLQ010,2,"No"
DLQ010,7,"Refused"
DLQ010,9,"Don't know"
DLQ010,.,"Missing"
DLQ020,1,"Yes"
DLQ020,2,"No"
DLQ020,7,"Refused"
DLQ020,9,"Don't know"
DLQ020,.,"Missing"
DLQ040,1,"Yes"
DLQ040,2,"No"
DLQ040,7,"Refused"
DLQ040,9,"Don't know"
DLQ040,.,"Missing"
DLQ050,1,"Yes"
DLQ050,2,"No"
DLQ050,7,"Refused"
DLQ050,9,"Don't know"
DLQ050,.,"Missing"
DLQ060,1,"Yes"
DLQ060,2,"No"
DLQ060,7,"Refused"
DLQ060,9,"Don't know"
DLQ060,.,"Missing"
DLQ080,1,"Yes"
DLQ080,2,"No"
DLQ080,7,"Refused"
DLQ080,9,"Don't know"
DLQ080,.,"Missing"
