Column,Variable,Label
DPQ010,0,"Not at all"
DPQ010,1,"Several days"
DPQ010,2,"More than half the days"
DPQ010,3,"Nearly every day"
DPQ010,7,"Refused"
DPQ010,9,"Don't know"
DPQ010,.,"Missing"
DPQ020,0,"Not at all"
DPQ020,1,"Several days"
DPQ020,2,"More than half the days"
DPQ020,3,"Nearly every day"
DPQ020,7,"Refused"
DPQ020,9,"Don't know"
DPQ020,.,"Missing"
DPQ030,0,"Not at all"
DPQ030,1,"Several days"
DPQ030,2,"More than half the days"
DPQ030,3,"Nearly every day"
DPQ030,7,"Refused"
DPQ030,9,"Don't know"
DPQ030,.,"Missing"
DPQ040,0,"Not at all"
DPQ040,1,"Several days"
DPQ040,2,"More than half the days"
DPQ040,3,"Nearly every day"
DPQ040,7,"Refused"
DPQ040,9,"Don't know"
DPQ040,.,"Missing"
DPQ050,0,"Not at all"
DPQ050,1,"Several days"
DPQ050,2,"More than half the days"
DPQ050,3,"Nearly every day"
DPQ050,7,"Refused"
DPQ050,9,"Don't know"
DPQ050,.,"Missing"
DPQ060,0,"Not at all"
DPQ060,1,"Several days"
DPQ060,2,"More than half the days"
DPQ060,3,"Nearly every day"
DPQ060,7,"Refused"
DPQ060,9,"Don't know"
DPQ060,.,"Missing"
DPQ070,0,"Not at all"
DPQ070,1,"Several days"
DPQ070,2,"More than half the days"
DPQ070,3,"Nearly every day"
DPQ070,7,"Refused"
DPQ070,9,"Don't know"
DPQ070,.,"Missing"
DPQ080,0,"Not at all"
DPQ080,1,"Several days"
DPQ080,2,"More than half the days"
DPQ080,3,"Nearly every day"
DPQ080,7,"Refused"
DPQ080,9,"Don't know"
DPQ080,.,"Missing"
DPQ090,0,"Not at all"
DPQ090,1,"Several days"
DPQ090,2,"More than half the days"
DPQ090,3,"Nearly every day"
DPQ090,7,"Refused"
DPQ090,9,"Don't know"
DPQ090,.,"Missing"
DPQ100,0,"Not at all difficult,"
DPQ100,1,"Somewhat difficult,"
DPQ100,2,"Very difficult,"
DPQ100,3,"Extremely difficult"
DPQ100,7,"Refused"
DPQ100,9,"Don't know"
DPQ100,.,"Missing"
