Column,Variable,Label
ECD010,15 to 44,"Range of Values"
ECD010,14,"14 years or younger"
ECD010,45,"45 years or older"
ECD010,7777,"Refused"
ECD010,9999,"Don't know"
ECD010,.,"Missing"
ECQ020,1,"Yes"
ECQ020,2,"No"
ECQ020,7,"Refused"
ECQ020,9,"Don't know"
ECQ020,.,"Missing"
ECD070A,1 to 12,"Range of Values"
ECD070A,13,"13 pounds or more"
ECD070A,7777,"Refused"
ECD070A,9999,"Don't know"
ECD070A,.,"Missing"
ECD070B,0 to 15,"Range of Values"
ECD070B,7777,"Refused"
ECD070B,9999,"Don't know"
ECD070B,.,"Missing"
ECQ080,1,"More than 5-1/2 lbs. (2500 g), or"
ECQ080,2,"Less than 5-1/2 lbs. (2500 g)?"
ECQ080,7,"Refused"
ECQ080,9,"Don't know"
ECQ080,.,"Missing"
ECQ090,1,"More than 9 lbs. (4100 g), or"
ECQ090,2,"Less than 9 lbs. (4100 g)?"
ECQ090,7,"Refused"
ECQ090,9,"Don't know"
ECQ090,.,"Missing"
WHQ030E,1,"Overweight"
WHQ030E,2,"Underweight"
WHQ030E,3,"About the right weight"
WHQ030E,7,"Refused"
WHQ030E,9,"Don't know"
WHQ030E,.,"Missing"
MCQ080E,1,"Yes"
MCQ080E,2,"No"
MCQ080E,7,"Refused"
MCQ080E,9,"Don't know"
MCQ080E,.,"Missing"
ECQ150,1,"Yes"
ECQ150,2,"No"
ECQ150,7,"Refused"
ECQ150,9,"Don't know"
ECQ150,.,"Missing"
