Column,Variable,Label
HIQ011,1,"Yes"
HIQ011,2,"No"
HIQ011,7,"Refused"
HIQ011,9,"Don't know"
HIQ011,.,"Missing"
HIQ031A,14,"Covered by private insurance"
HIQ031A,77,"Refused"
HIQ031A,99,"Don't know"
HIQ031A,.,"Missing"
HIQ031B,15,"Covered by Medicare"
HIQ031B,.,"Missing"
HIQ031C,16,"Covered by Medi-Gap"
HIQ031C,.,"Missing"
HIQ031D,17,"Covered by Medicaid"
HIQ031D,.,"Missing"
HIQ031E,18,"Covered by SCHIP"
HIQ031E,.,"Missing"
HIQ031F,19,"Covered by military health care"
HIQ031F,.,"Missing"
HIQ031G,20,"Covered by Indian Health Service"
HIQ031G,.,"Missing"
HIQ031H,21,"Covered by state-sponsored health plan"
HIQ031H,.,"Missing"
HIQ031I,22,"Covered by other government insurance"
HIQ031I,.,"Missing"
HIQ031J,23,"Covered by single service plan"
HIQ031J,.,"Missing"
HIQ031AA,40,"No coverage of any type"
HIQ031AA,.,"Missing"
HIQ260,1,"Yes"
HIQ260,2,"No"
HIQ260,7,"Refused"
HIQ260,9,"Don't know"
HIQ260,.,"Missing"
HIQ105,1,"Yes"
HIQ105,2,"No"
HIQ105,.,"Missing"
HIQ270,1,"Yes"
HIQ270,2,"No"
HIQ270,7,"Refused"
HIQ270,9,"Don't know"
HIQ270,.,"Missing"
HIQ210,1,"Yes"
HIQ210,2,"No"
HIQ210,7,"Refused"
HIQ210,9,"Don't know"
HIQ210,.,"Missing"
