Column,Variable,Label
HSD010,1,"Excellent"
HSD010,2,"Very good,"
HSD010,3,"Good,"
HSD010,4,"Fair, or"
HSD010,5,"Poor?"
HSD010,7,"Refused"
HSD010,9,"Don't know"
HSD010,.,"Missing"
HSQ500,1,"Yes"
HSQ500,2,"No"
HSQ500,7,"Refused"
HSQ500,9,"Don't know"
HSQ500,.,"Missing"
HSQ510,1,"Yes"
HSQ510,2,"No"
HSQ510,7,"Refused"
HSQ510,9,"Don't know"
HSQ510,.,"Missing"
HSQ520,1,"Yes"
HSQ520,2,"No"
HSQ520,7,"Refused"
HSQ520,9,"Don't know"
HSQ520,.,"Missing"
HSQ571,1,"Yes"
HSQ571,2,"No"
HSQ571,7,"Refused"
HSQ571,9,"Don't know"
HSQ571,.,"Missing"
HSQ580,1,"1"
HSQ580,2,"2"
HSQ580,3,"3"
HSQ580,4,"4"
HSQ580,5,"5"
HSQ580,6,"6"
HSQ580,7,"7"
HSQ580,8,"8"
HSQ580,9,"9"
HSQ580,10,"10"
HSQ580,11,"11"
HSQ580,12,"12"
HSQ580,77,"Refused"
HSQ580,99,"Don't know"
HSQ580,.,"Missing"
HSQ590,1,"Yes"
HSQ590,2,"No"
HSQ590,7,"Refused"
HSQ590,9,"Don't know"
HSQ590,.,"Missing"
HSAQUEX,1,"Dietary Recall Component -- B(1-11)"
HSAQUEX,2,"MEC CAPI Questionnaire -- B(12-150)"
HSAQUEX,.,"Missing"
