Column,Variable,Label
HUQ010,1,"Excellent,"
HUQ010,2,"Very good,"
HUQ010,3,"Good,"
HUQ010,4,"Fair, or"
HUQ010,5,"Poor?"
HUQ010,7,"Refused"
HUQ010,9,"Don't know"
HUQ010,.,"Missing"
HUQ020,1,"Better,"
HUQ020,2,"Worse, or"
HUQ020,3,"About the same?"
HUQ020,7,"Refused"
HUQ020,9,"Don't know"
HUQ020,.,"Missing"
HUQ030,1,"Yes"
HUQ030,2,"There is no place"
HUQ030,3,"There is more than one place"
HUQ030,7,"Refused"
HUQ030,9,"Don't know"
HUQ030,.,"Missing"
HUQ041,1,"Clinic or health center"
HUQ041,2,"Doctor's office or HMO"
HUQ041,3,"Hospital emergency room"
HUQ041,4,"Hospital outpatient department"
HUQ041,5,"Some other place"
HUQ041,6,"Doesn't go to one place most often"
HUQ041,77,"Refused"
HUQ041,99,"Don't know"
HUQ041,.,"Missing"
HUQ051,0,"None"
HUQ051,1,"1"
HUQ051,2,"2 to 3"
HUQ051,3,"4 to 5"
HUQ051,4,"6 to 7"
HUQ051,5,"8 to 9"
HUQ051,6,"10 to 12"
HUQ051,7,"13 to 15"
HUQ051,8,"16 or more"
HUQ051,77,"Refused"
HUQ051,99,"Don't know"
HUQ051,.,"Missing"
HUQ061,1,"6 months or less,"
HUQ061,2,"more than 6 months, but not more than 1 year ago,"
HUQ061,3,"more than 1 year, but not more than 2 years ago,"
HUQ061,4,"more than 2 years, but not more than 5 years ago,"
HUQ061,5,"more than 5 years ago, or"
HUQ061,6,"Never?"
HUQ061,77,"Refused"
HUQ061,99,"Don't know"
HUQ061,.,"Missing"
HUQ071,1,"Yes"
HUQ071,2,"No"
HUQ071,7,"Refused"
HUQ071,9,"Don't know"
HUQ071,.,"Missing"
HUD080,1,"1"
HUD080,2,"2"
HUD080,3,"3"
HUD080,4,"4"
HUD080,5,"5"
HUD080,6,"6 times or more"
HUD080,77777,"Refused"
HUD080,99999,"Don't know"
HUD080,.,"Missing"
HUQ090,1,"Yes"
HUQ090,2,"No"
HUQ090,7,"Refused"
HUQ090,9,"Don't know"
HUQ090,.,"Missing"
