Column,Variable,Label
IMQ011,1,"Yes, at least 2 doses"
IMQ011,2,"Less than 2 doses"
IMQ011,3,"No doses"
IMQ011,7,"Refused"
IMQ011,9,"Don't know"
IMQ011,.,"Missing"
IMQ020,1,"Yes at least 3 doses"
IMQ020,2,"Less than 3 doses"
IMQ020,3,"No doses"
IMQ020,7,"Refused"
IMQ020,9,"Don't know"
IMQ020,.,"Missing"
IMQ040,1,"Yes"
IMQ040,2,"No"
IMQ040,7,"Refused"
IMQ040,9,"Don't know"
IMQ040,.,"Missing"
IMQ070,1,"Yes"
IMQ070,2,"No"
IMQ070,7,"Refused"
IMQ070,9,"Don't know"
IMQ070,.,"Missing"
IMQ080,1,"Cervarix"
IMQ080,2,"Gardasil"
IMQ080,3,"Both"
IMQ080,7,"Refused"
IMQ080,9,"Don't know"
IMQ080,.,"Missing"
IMQ090,5 to 54,"Range of Values"
IMQ090,777,"Refused"
IMQ090,999,"Don't know"
IMQ090,.,"Missing"
IMQ045,1,"1 Dose"
IMQ045,2,"2 Doses"
IMQ045,3,"3 Doses"
IMQ045,7,"Refused"
IMQ045,9,"Don't know"
IMQ045,.,"Missing"
