Column,Variable,Label
INQ020,1,"Yes"
INQ020,2,"No"
INQ020,7,"Refused"
INQ020,9,"Don't know"
INQ020,.,"Missing"
INQ012,1,"Yes"
INQ012,2,"No"
INQ012,7,"Refused"
INQ012,9,"Don't know"
INQ012,.,"Missing"
INQ030,1,"Yes"
INQ030,2,"No"
INQ030,7,"Refused"
INQ030,9,"Don't know"
INQ030,.,"Missing"
INQ060,1,"Yes"
INQ060,2,"No"
INQ060,7,"Refused"
INQ060,9,"Don't know"
INQ060,.,"Missing"
INQ080,1,"Yes"
INQ080,2,"No"
INQ080,7,"Refused"
INQ080,9,"Don't know"
INQ080,.,"Missing"
INQ090,1,"Yes"
INQ090,2,"No"
INQ090,7,"Refused"
INQ090,9,"Don't know"
INQ090,.,"Missing"
INQ132,1,"Yes"
INQ132,2,"No"
INQ132,7,"Refused"
INQ132,9,"Don't know"
INQ132,.,"Missing"
INQ140,1,"Yes"
INQ140,2,"No"
INQ140,7,"Refused"
INQ140,9,"Don't know"
INQ140,.,"Missing"
INQ150,1,"Yes"
INQ150,2,"No"
INQ150,7,"Refused"
INQ150,9,"Don't know"
INQ150,.,"Missing"
IND235,1,"$0 - $399"
IND235,2,"$400 - $799"
IND235,3,"$800 - $1249"
IND235,4,"$1250 - $1649"
IND235,5,"$1650 - $2099"
IND235,6,"$2100 - $2899"
IND235,7,"$2900 - $3749"
IND235,8,"$3750 - $4599"
IND235,9,"$4600 - $5399"
IND235,10,"$5400 - $6249"
IND235,11,"$6250 - $8399"
IND235,12,"$8400 and over"
IND235,77,"Refused"
IND235,99,"Don't know"
IND235,.,"Missing"
INDFMMPI,0 to 4.97,"Range of Values"
INDFMMPI,5,"Value greater than or equal to 5.00"
INDFMMPI,.,"Missing"
INDFMMPC,1,"Monthly poverty level index <= 1.30"
INDFMMPC,2,"1.30 < Monthly poverty level index <= 1.85"
INDFMMPC,3,"Monthly poverty level index > 1.85"
INDFMMPC,7,"Refused"
INDFMMPC,9,"Don't Know"
INDFMMPC,.,"Missing"
INQ244,1,"Yes"
INQ244,2,"No"
INQ244,7,"Refused"
INQ244,9,"Don't know"
INQ244,.,"Missing"
IND247,1,"Less than $500"
IND247,2,"$501- $1000"
IND247,3,"$1001-$2000"
IND247,4,"$2001-$3000"
IND247,5,"$3001-$4000"
IND247,6,"$4001-$5000"
IND247,77,"Refused"
IND247,99,"Don't know"
IND247,.,"Missing"
