Column,Variable,Label
KIQ022,1,"Yes"
KIQ022,2,"No"
KIQ022,7,"Refused"
KIQ022,9,"Don't know"
KIQ022,.,"Missing"
KIQ025,1,"Yes"
KIQ025,2,"No"
KIQ025,7,"Refused"
KIQ025,9,"Don't know"
KIQ025,.,"Missing"
KIQ026,1,"Yes"
KIQ026,2,"No"
KIQ026,7,"Refused"
KIQ026,9,"Don't know"
KIQ026,.,"Missing"
KID028,0 to 24,"Range of Values"
KID028,777,"Refused"
KID028,999,"Don't know"
KID028,.,"Missing"
KIQ005,1,"never,"
KIQ005,2,"less than once a month,"
KIQ005,3,"a few times a month,"
KIQ005,4,"a few times a week, or"
KIQ005,5,"every day and/or night?"
KIQ005,7,"Refused"
KIQ005,9,"Don't know"
KIQ005,.,"Missing"
KIQ010,1,"drops,"
KIQ010,2,"small splashes, or"
KIQ010,3,"more?"
KIQ010,7,"Refused"
KIQ010,9,"Don't know"
KIQ010,.,"Missing"
KIQ042,1,"Yes"
KIQ042,2,"No"
KIQ042,7,"Refused"
KIQ042,9,"Don't know"
KIQ042,.,"Missing"
KIQ430,1,"less than once a month,"
KIQ430,2,"a few times a month,"
KIQ430,3,"a few times a week, or"
KIQ430,4,"every day and/or night?"
KIQ430,7,"Refused"
KIQ430,9,"Don't know"
KIQ430,.,"Missing"
KIQ044,1,"Yes"
KIQ044,2,"No"
KIQ044,7,"Refused"
KIQ044,9,"Don't know"
KIQ044,.,"Missing"
KIQ450,1,"less than once a month,"
KIQ450,2,"a few times a month,"
KIQ450,3,"a few times a week, or"
KIQ450,4,"every day and/or night?"
KIQ450,7,"Refused"
KIQ450,9,"Don't know"
KIQ450,.,"Missing"
KIQ046,1,"Yes"
KIQ046,2,"No"
KIQ046,7,"Refused"
KIQ046,9,"Don't know"
KIQ046,.,"Missing"
KIQ470,1,"less than once a month,"
KIQ470,2,"a few times a month,"
KIQ470,3,"a few times a week, or"
KIQ470,4,"every day and/or night?"
KIQ470,7,"Refused"
KIQ470,9,"Don't know"
KIQ470,.,"Missing"
KIQ050,1,"Not at all,"
KIQ050,2,"only a little,"
KIQ050,3,"somewhat,"
KIQ050,4,"very much, or"
KIQ050,5,"greatly"
KIQ050,7,"Refused"
KIQ050,9,"Don't know"
KIQ050,.,"Missing"
KIQ052,1,"Not at all,"
KIQ052,2,"only a little,"
KIQ052,3,"somewhat,"
KIQ052,4,"very much, or"
KIQ052,5,"greatly"
KIQ052,7,"Refused"
KIQ052,9,"Don't know"
KIQ052,.,"Missing"
KIQ480,0,"0"
KIQ480,1,"1"
KIQ480,2,"2"
KIQ480,3,"3"
KIQ480,4,"4"
KIQ480,5,"5 or more?"
KIQ480,7,"Refused"
KIQ480,9,"Don't know"
KIQ480,.,"Missing"
