Column,Variable,Label
MCQ010,1,"Yes"
MCQ010,2,"No"
MCQ010,7,"Refused"
MCQ010,9,"Don't know"
MCQ010,.,"Missing"
MCQ025,1 to 78,"Range of Values"
MCQ025,80,"80 years or older"
MCQ025,77777,"Refused"
MCQ025,99999,"Don't know"
MCQ025,.,"Missing"
MCQ035,1,"Yes"
MCQ035,2,"No"
MCQ035,7,"Refused"
MCQ035,9,"Don't know"
MCQ035,.,"Missing"
MCQ040,1,"Yes"
MCQ040,2,"No"
MCQ040,7,"Refused"
MCQ040,9,"Don't know"
MCQ040,.,"Missing"
MCQ050,1,"Yes"
MCQ050,2,"No"
MCQ050,7,"Refused"
MCQ050,9,"Don't know"
MCQ050,.,"Missing"
AGQ030,1,"Yes"
AGQ030,2,"No"
AGQ030,7,"Refused"
AGQ030,9,"Don't know"
AGQ030,.,"Missing"
MCQ053,1,"Yes"
MCQ053,2,"No"
MCQ053,7,"Refused"
MCQ053,9,"Don't know"
MCQ053,.,"Missing"
MCQ070,1,"Yes"
MCQ070,2,"No"
MCQ070,7,"Refused"
MCQ070,9,"Don't know"
MCQ070,.,"Missing"
MCQ075,1,"little or no psoriasis,"
MCQ075,2,"only a few patches (that could be covered 
by one or two palms of {your/his/her} 
hand),
"
MCQ075,3,"scattered patches (that could be covered 
between three and ten palms of {your/ 
his/her} hand), or
"
MCQ075,4,"extensive psoriasis (covering large areas of 
the body, that would be more than ten 
palms of {your/his/her} hand)?
"
MCQ075,7,"Refused"
MCQ075,9,"Don't know"
MCQ075,.,"Missing"
MCQ080,1,"Yes"
MCQ080,2,"No"
MCQ080,7,"Refused"
MCQ080,9,"Don't know"
MCQ080,.,"Missing"
MCQ082,1,"Yes"
MCQ082,2,"No"
MCQ082,7,"Refused"
MCQ082,9,"Don't know"
MCQ082,.,"Missing"
MCQ084,1,"Yes"
MCQ084,2,"No"
MCQ084,7,"Refused"
MCQ084,9,"Don't know"
MCQ084,.,"Missing"
MCQ086,1,"Yes"
MCQ086,2,"No"
MCQ086,7,"Refused"
MCQ086,9,"Don't know"
MCQ086,.,"Missing"
MCQ092,1,"Yes"
MCQ092,2,"No"
MCQ092,7,"Refused"
MCQ092,9,"Don't know"
MCQ092,.,"Missing"
MCD093,1,"Before 1972"
MCD093,2,"1972 - 1991"
MCD093,3,"1992 to present"
MCD093,7,"Refused"
MCD093,9,"Don't know"
MCD093,.,"Missing"
MCQ149,1,"Yes"
MCQ149,2,"No"
MCQ149,7,"Refused"
MCQ149,9,"Don't know"
MCQ149,.,"Missing"
MCQ151,8 to 11,"Range of Values"
MCQ151,77,"Refused"
MCQ151,99,"Don't know"
MCQ151,.,"Missing"
MCQ160a,1,"Yes"
MCQ160a,2,"No"
MCQ160a,7,"Refused"
MCQ160a,9,"Don't know"
MCQ160a,.,"Missing"
MCQ180a,1 to 79,"Range of Values"
MCQ180a,80,"80 years or older"
MCQ180a,77777,"Refused"
MCQ180a,99999,"Don't know"
MCQ180a,.,"Missing"
MCQ195,1,"Osteoarthritis or degenerative arthritis"
MCQ195,2,"Rheumatoid arthritis"
MCQ195,3,"Psoriatic arthritis"
MCQ195,4,"Other"
MCQ195,7,"Refused"
MCQ195,9,"Don't know"
MCQ195,.,"Missing"
MCQ160n,1,"Yes"
MCQ160n,2,"No"
MCQ160n,7,"Refused"
MCQ160n,9,"Don't know"
MCQ160n,.,"Missing"
MCQ180n,8 to 79,"Range of Values"
MCQ180n,80,"80 years or older"
MCQ180n,77777,"Refused"
MCQ180n,99999,"Don't know"
MCQ180n,.,"Missing"
MCQ160b,1,"Yes"
MCQ160b,2,"No"
MCQ160b,7,"Refused"
MCQ160b,9,"Don't know"
MCQ160b,.,"Missing"
MCQ180b,0 to 79,"Range of Values"
MCQ180b,80,"80 years or older"
MCQ180b,77777,"Refused"
MCQ180b,99999,"Don't know"
MCQ180b,.,"Missing"
MCQ160c,1,"Yes"
MCQ160c,2,"No"
MCQ160c,7,"Refused"
MCQ160c,9,"Don't know"
MCQ160c,.,"Missing"
MCQ180c,0 to 79,"Range of Values"
MCQ180c,80,"80 years or older"
MCQ180c,77777,"Refused"
MCQ180c,99999,"Don't know"
MCQ180c,.,"Missing"
MCQ160d,1,"Yes"
MCQ160d,2,"No"
MCQ160d,7,"Refused"
MCQ160d,9,"Don't know"
MCQ160d,.,"Missing"
MCQ180d,9 to 79,"Range of Values"
MCQ180d,80,"80 years or older"
MCQ180d,77777,"Refused"
MCQ180d,99999,"Don't know"
MCQ180d,.,"Missing"
MCQ160e,1,"Yes"
MCQ160e,2,"No"
MCQ160e,7,"Refused"
MCQ160e,9,"Don't know"
MCQ160e,.,"Missing"
MCQ180e,16 to 78,"Range of Values"
MCQ180e,80,"80 years or older"
MCQ180e,77777,"Refused"
MCQ180e,99999,"Don't know"
MCQ180e,.,"Missing"
MCQ160f,1,"Yes"
MCQ160f,2,"No"
MCQ160f,7,"Refused"
MCQ160f,9,"Don't know"
MCQ160f,.,"Missing"
MCQ180f,7 to 79,"Range of Values"
MCQ180f,80,"80 years or older"
MCQ180f,77777,"Refused"
MCQ180f,99999,"Don't know"
MCQ180f,.,"Missing"
MCQ160g,1,"Yes"
MCQ160g,2,"No"
MCQ160g,7,"Refused"
MCQ160g,9,"Don't know"
MCQ160g,.,"Missing"
MCQ180g,10 to 79,"Range of Values"
MCQ180g,80,"80 years or older"
MCQ180g,77777,"Refused"
MCQ180g,99999,"Don't know"
MCQ180g,.,"Missing"
MCQ160m,1,"Yes"
MCQ160m,2,"No"
MCQ160m,7,"Refused"
MCQ160m,9,"Don't know"
MCQ160m,.,"Missing"
MCQ170m,1,"Yes"
MCQ170m,2,"No"
MCQ170m,7,"Refused"
MCQ170m,9,"Don't know"
MCQ170m,.,"Missing"
MCQ180m,1 to 78,"Range of Values"
MCQ180m,80,"80 years or older"
MCQ180m,77777,"Refused"
MCQ180m,99999,"Don't know"
