Column,Variable,Label
OCD150,1,"Working at a job or business,"
OCD150,2,"With a job or business but not at work,"
OCD150,3,"Looking for work, or"
OCD150,4,"Not working at a job or business?"
OCD150,7,"Refused"
OCD150,9,"Don't know"
OCD150,.,"Missing"
OCQ180,1 to 120,"Range of Values"
OCQ180,77777,"Refused"
OCQ180,99999,"Don't know"
OCQ180,.,"Missing"
OCQ210,1,"Yes"
OCQ210,2,"No"
OCQ210,7,"Refused"
OCQ210,9,"Don't know"
OCQ210,.,"Missing"
OCQ260,1,"An employee of a private company, business, or individual for wages, salary, or commission."
OCQ260,2,"A federal government employee"
OCQ260,3,"A state government employee"
OCQ260,4,"A local government employee"
OCQ260,5,"Self-employed in own business, professional practice or farm."
OCQ260,6,"Working without pay in family business or farm"
OCQ260,77,"Refused"
OCQ260,99,"Don't know"
OCQ260,.,"Missing"
OCD270,1 to 720,"Range of Values"
OCD270,0,"Less than 1 month"
OCD270,77777,"Refused"
OCD270,99999,"Don't know"
OCD270,.,"Missing"
OCQ380,1,"Taking care of house or family"
OCQ380,2,"Going to school"
OCQ380,3,"Retired"
OCQ380,4,"Unable to work for health reasons"
OCQ380,5,"On layoff"
OCQ380,6,"Disabled"
OCQ380,7,"Other"
OCQ380,77,"Refused"
OCQ380,99,"Don't know"
OCQ380,.,"Missing"
OCD390G,1,"Enter occupation"
OCD390G,2,"Same as current occupation"
OCD390G,3,"Armed forces"
OCD390G,4,"Never worked"
OCD390G,7,"Refused"
OCD390G,9,"Don't know"
OCD390G,.,"Missing"
OCD395,1 to 720,"Range of Values"
OCD395,0,"Less than 1 month"
OCD395,77777,"Refused"
OCD395,99999,"Don't know"
OCD395,.,"Missing"
