Column,Variable,Label
OHQ030,1,"6 months or less"
OHQ030,2,"More than 6 months, but not more than 1 year ago"
OHQ030,3,"More than 1 year, but not more than 2 years ago"
OHQ030,4,"More than 2 years, but not more than 3 years ago"
OHQ030,5,"More than 3 years, but not more than 5 years ago"
OHQ030,6,"More than 5 years ago"
OHQ030,7,"Never have been"
OHQ030,77,"Refused"
OHQ030,99,"Don't know"
OHQ030,.,"Missing"
OHQ033,1,"Went in on own for check-up, examination, or cleaning"
OHQ033,2,"Was called in by the dentist for check-up, examination, or cleaning"
OHQ033,3,"Something was wrong, bothering or hurting {me/SP}"
OHQ033,4,"Went for treatment of a condition that dentist discovered at earlier checkup or examination"
OHQ033,5,"Other"
OHQ033,7,"Refused"
OHQ033,9,"Don't know"
OHQ033,.,"Missing"
OHQ770,1,"Yes"
OHQ770,2,"No"
OHQ770,7,"Refused"
OHQ770,9,"Don't know"
OHQ770,.,"Missing"
OHQ780A,10,"Could not afford the cost"
OHQ780A,77,"Refused"
OHQ780A,99,"Don't know"
OHQ780A,.,"Missing"
OHQ780B,11,"Did not want to spend the money"
OHQ780B,.,"Missing"
OHQ780C,12,"Insurance did not cover recommended procedure"
OHQ780C,.,"Missing"
OHQ780D,13,"Dental office is too far away"
OHQ780D,.,"Missing"
OHQ780E,14,"Dental office not open at convenient time"
OHQ780E,.,"Missing"
OHQ780F,15,"Another dentist recommended not doing it"
OHQ780F,.,"Missing"
OHQ780G,16,"Afraid or do not like dentists"
OHQ780G,.,"Missing"
OHQ780H,17,"Unable to take time off from work"
OHQ780H,.,"Missing"
OHQ780I,18,"Too busy"
OHQ780I,.,"Missing"
OHQ780J,19,"I did not think anything serious was wrong - expected dental problems to go away"
OHQ780J,.,"Missing"
OHQ780K,20,"Other"
OHQ780K,.,"Missing"
OHQ555G,1,"Enter age"
OHQ555G,2,"Has not started brushing teeth"
OHQ555G,7,"Refused"
OHQ555G,9,"Don't know"
OHQ555G,.,"Missing"
OHQ555Q,1 to 40,"Range of Values"
OHQ555Q,7777,"Refused"
OHQ555Q,9999,"Don't know"
OHQ555Q,.,"Missing"
OHQ555U,1,"Months"
OHQ555U,2,"Years"
OHQ555U,.,"Missing"
OHQ560G,1,"Enter age"
OHQ560G,2,"Has not started brushing teeth"
OHQ560G,7,"Refused"
OHQ560G,9,"Don't know"
OHQ560G,.,"Missing"
OHQ560Q,1 to 40,"Range of Values"
OHQ560Q,7777,"Refused"
OHQ560Q,9999,"Don't know"
OHQ560Q,.,"Missing"
OHQ560U,1,"Months"
OHQ560U,2,"Years"
OHQ560U,.,"Missing"
OHQ565,1,"Yes"
OHQ565,2,"No"
OHQ565,7,"Refused"
OHQ565,9,"Don't know"
OHQ565,.,"Missing"
OHQ570Q,1 to 24,"Range of Values"
OHQ570Q,7777,"Refused"
OHQ570Q,9999,"Don't know"
OHQ570Q,.,"Missing"
OHQ570U,1,"Months"
OHQ570U,2,"Years"
OHQ570U,.,"Missing"
OHQ575G,1,"Enter age"
OHQ575G,2,"Still taking fluoride drops"
OHQ575G,7,"Refused"
OHQ575G,9,"Don't know"
OHQ575G,.,"Missing"
OHQ575Q,1 to 30,"Range of Values"
OHQ575Q,7777,"Refused"
OHQ575Q,9999,"Don't know"
OHQ575Q,.,"Missing"
OHQ575U,1,"Months"
OHQ575U,2,"Years"
OHQ575U,.,"Missing"
OHQ580,1,"Yes"
OHQ580,2,"No"
OHQ580,7,"Refused"
OHQ580,9,"Don't know"
OHQ580,.,"Missing"
OHQ585Q,1 to 40,"Range of Values"
OHQ585Q,7777,"Refused"
OHQ585Q,9999,"Don't know"
OHQ585Q,.,"Missing"
OHQ585U,1,"Months"
OHQ585U,2,"Years"
OHQ585U,.,"Missing"
OHQ590G,1,"Enter age"
OHQ590G,2,"Still taking fluoride tablets"
OHQ590G,7,"Refused"
OHQ590G,9,"Don't know"
OHQ590G,.,"Missing"
OHQ590Q,3 to 30,"Range of Values"
OHQ590Q,7777,"Refused"
OHQ590Q,9999,"Don't know"
OHQ590Q,.,"Missing"
OHQ590U,1,"Months"
OHQ590U,2,"Years"
OHQ590U,.,"Missing"
OHQ610,1,"Yes"
OHQ610,2,"No"
OHQ610,7,"Refused"
OHQ610,9,"Don't know"
OHQ610,.,"Missing"
OHQ612,1,"Yes"
OHQ612,2,"No"
OHQ612,7,"Refused"
OHQ612,9,"Don't know"
OHQ612,.,"Missing"
OHQ614,1,"Yes"
OHQ614,2,"No"
OHQ614,7,"Refused"
OHQ614,9,"Don't know"
OHQ614,.,"Missing"
OHQ620,1,"Very often"
OHQ620,2,"Fairly often"
OHQ620,3,"Occasionally"
OHQ620,4,"Hardly ever, or"
OHQ620,5,"Never?"
OHQ620,7,"Refused"
OHQ620,9,"Don't know"
OHQ620,.,"Missing"
OHQ640,1,"Very often"
OHQ640,2,"Fairly often"
OHQ640,3,"Occasionally"
OHQ640,4,"Hardly ever, or"
OHQ640,5,"Never?"
OHQ640,7,"Refused"
OHQ640,9,"Don't know"
OHQ640,.,"Missing"
OHQ680,1,"Very often"
OHQ680,2,"Fairly often"
OHQ680,3,"Occasionally"
OHQ680,4,"Hardly ever, or"
OHQ680,5,"Never?"
OHQ680,7,"Refused"
OHQ680,9,"Don't know"
OHQ680,.,"Missing"
OHQ835,1,"Yes"
OHQ835,2,"No"
OHQ835,7,"Refused"
OHQ835,9,"Don't know"
OHQ835,.,"Missing"
OHQ845,1,"Excellent"
OHQ845,2,"Very good"
OHQ845,3,"Good"
OHQ845,4,"Fair"
OHQ845,5,"Poor"
OHQ845,7,"Refused"
OHQ845,9,"Don't know"
OHQ845,.,"Missing"
OHQ848G,1,"Enter number"
OHQ848G,2,"Child does not brush yet"
OHQ848G,3,"Does not brush every day"
OHQ848G,7,"Refused"
OHQ848G,9,"Don't know"
OHQ848G,.,"Missing"
OHQ848Q,1,"1 time"
OHQ848Q,0,"0"
OHQ848Q,2,"2 times"
OHQ848Q,3,"3 times"
OHQ848Q,4,"4 times"
OHQ848Q,5,"5 times"
OHQ848Q,6,"6 times"
OHQ848Q,7,"7 times"
OHQ848Q,8,"8 times"
OHQ848Q,9,"9 or more times"
OHQ848Q,77,"Refused"
OHQ848Q,99,"Don't know"
OHQ848Q,.,"Missing"
OHQ849,1,"Full load"
OHQ849,2,"Half load"
OHQ849,3,"Pea size"
OHQ849,4,"Smear"
OHQ849,7,"Refused"
OHQ849,9,"Don't know"
OHQ849,.,"Missing"
OHQ850,1,"Yes"
OHQ850,2,"No"
OHQ850,7,"Refused"
OHQ850,9,"Don't know"
OHQ850,.,"Missing"
OHQ855,1,"Yes"
OHQ855,2,"No"
OHQ855,7,"Refused"
OHQ855,9,"Don't know"
OHQ855,.,"Missing"
OHQ860,1,"Yes"
OHQ860,2,"No"
OHQ860,7,"Refused"
OHQ860,9,"Don't know"
OHQ860,.,"Missing"
OHQ865,1,"Yes"
OHQ865,2,"No"
OHQ865,7,"Refused"
OHQ865,9,"Don't know"
OHQ865,.,"Missing"
OHQ870,0 to 7,"Range of Values"
