Column,Variable,Label
OSQ010a,1,"Yes"
OSQ010a,2,"No"
OSQ010a,7,"Refused"
OSQ010a,9,"Don't know"
OSQ010a,.,"Missing"
OSQ010b,1,"Yes"
OSQ010b,2,"No"
OSQ010b,7,"Refused"
OSQ010b,9,"Don't know"
OSQ010b,.,"Missing"
OSQ010c,1,"Yes"
OSQ010c,2,"No"
OSQ010c,7,"Refused"
OSQ010c,9,"Don't know"
OSQ010c,.,"Missing"
OSQ020a,1,"1"
OSQ020a,2,"2"
OSQ020a,3,"3"
OSQ020a,7777,"Refused"
OSQ020a,9999,"Don't know"
OSQ020a,.,"Missing"
OSQ020b,1,"1"
OSQ020b,2,"2"
OSQ020b,3,"3"
OSQ020b,4,"4"
OSQ020b,6,"6"
OSQ020b,10,"10"
OSQ020b,7777,"Refused"
OSQ020b,9999,"Don't know"
OSQ020b,.,"Missing"
OSQ020c,1,"1"
OSQ020c,2,"2"
OSQ020c,3,"3"
OSQ020c,7777,"Refused"
OSQ020c,9999,"Don't know"
OSQ020c,.,"Missing"
OSD030aa,2 to 78,"Range of Values"
OSD030aa,80,"80 or older"
OSD030aa,77777,"Refused"
OSD030aa,99999,"Don't know"
OSD030aa,.,"Missing"
OSQ040aa,1,"Under 50 years old, or"
OSQ040aa,2,"50 years old or older?"
OSQ040aa,7,"Refused"
OSQ040aa,9,"Don't know"
OSQ040aa,.,"Missing"
OSD050aa,1,"A fall from standing height or less, for example, tripped, slipped, fell out of bed"
OSD050aa,2,"A hard fall, such as falling off a ladder or step stool, down stairs"
OSD050aa,3,"A car accident or other severe trauma"
OSD050aa,7,"Refused"
OSD050aa,9,"Don't know"
OSD050aa,.,"Missing"
OSD030ab,40 to 78,"Range of Values"
OSD030ab,80,"80 or older"
OSD030ab,77777,"Refused"
OSD030ab,99999,"Don't know"
OSD030ab,.,"Missing"
OSQ040ab,1,"Under 50 years old, or"
OSQ040ab,2,"50 years old or older?"
OSQ040ab,7,"Refused"
OSQ040ab,9,"Don't know"
OSQ040ab,.,"Missing"
OSD050ab,1,"A fall from standing height or less, for example, tripped, slipped, fell out of bed"
OSD050ab,2,"A hard fall, such as falling off a ladder or step stool, down stairs"
OSD050ab,3,"A car accident or other severe trauma"
OSD050ab,7,"Refused"
OSD050ab,9,"Don't know"
OSD050ab,.,"Missing"
OSD030ac,71 to 78,"Range of Values"
OSD030ac,80,"80 or older"
OSD030ac,77777,"Refused"
OSD030ac,99999,"Don't know"
OSD030ac,.,"Missing"
OSQ040ac,1,"Under 50 years old, or"
OSQ040ac,2,"50 years old or older?"
OSQ040ac,7,"Refused"
OSQ040ac,9,"Don't know"
OSQ040ac,.,"Missing"
OSD050ac,1,"A fall from standing height or less, for example, tripped, slipped, fell out of bed"
OSD050ac,2,"A hard fall, such as falling off a ladder or step stool, down stairs"
OSD050ac,3,"A car accident or other severe trauma"
OSD050ac,7,"Refused"
OSD050ac,9,"Don't know"
OSD050ac,.,"Missing"
OSD030ba,1 to 78,"Range of Values"
OSD030ba,80,"80 or older"
OSD030ba,77777,"Refused"
OSD030ba,99999,"Don't know"
OSD030ba,.,"Missing"
OSQ040ba,1,"Under 50 years old, or"
OSQ040ba,2,"50 years old or older?"
OSQ040ba,7,"Refused"
OSQ040ba,9,"Don't know"
OSQ040ba,.,"Missing"
OSD050ba,1,"A fall from standing height or less, for example, tripped, slipped, fell out of bed"
OSD050ba,2,"A hard fall, such as falling off a ladder or step stool, down stairs"
OSD050ba,3,"A car accident or other severe trauma"
OSD050ba,7,"Refused"
OSD050ba,9,"Don't know"
