Column,Variable,Label
PAQ605,1,"Yes"
PAQ605,2,"No"
PAQ605,7,"Refused"
PAQ605,9,"Don't know"
PAQ605,.,"Missing"
PAQ610,1 to 7,"Range of Values"
PAQ610,77,"Refused"
PAQ610,99,"Don't know"
PAQ610,.,"Missing"
PAD615,10 to 1080,"Range of Values"
PAD615,7777,"Refused"
PAD615,9999,"Don't know"
PAD615,.,"Missing"
PAQ620,1,"Yes"
PAQ620,2,"No"
PAQ620,7,"Refused"
PAQ620,9,"Don't know"
PAQ620,.,"Missing"
PAQ625,1 to 7,"Range of Values"
PAQ625,77,"Refused"
PAQ625,99,"Don't know"
PAQ625,.,"Missing"
PAD630,10 to 900,"Range of Values"
PAD630,7777,"Refused"
PAD630,9999,"Don't know"
PAD630,.,"Missing"
PAQ635,1,"Yes"
PAQ635,2,"No"
PAQ635,7,"Refused"
PAQ635,9,"Don't know"
PAQ635,.,"Missing"
PAQ640,1 to 7,"Range of Values"
PAQ640,77,"Refused"
PAQ640,99,"Don't know"
PAQ640,.,"Missing"
PAD645,10 to 840,"Range of Values"
PAD645,7777,"Refused"
PAD645,9999,"Don't know"
PAD645,.,"Missing"
PAQ650,1,"Yes"
PAQ650,2,"No"
PAQ650,7,"Refused"
PAQ650,9,"Don't know"
PAQ650,.,"Missing"
PAQ655,1 to 7,"Range of Values"
PAQ655,77,"Refused"
PAQ655,99,"Don't know"
PAQ655,.,"Missing"
PAD660,10 to 600,"Range of Values"
PAD660,7777,"Refused"
PAD660,9999,"Don't know"
PAD660,.,"Missing"
PAQ665,1,"Yes"
PAQ665,2,"No"
PAQ665,7,"Refused"
PAQ665,9,"Don't know"
PAQ665,.,"Missing"
PAQ670,1 to 7,"Range of Values"
PAQ670,77,"Refused"
PAQ670,99,"Don't know"
PAQ670,.,"Missing"
PAD675,10 to 900,"Range of Values"
PAD675,7777,"Refused"
PAD675,9999,"Don't know"
PAD675,.,"Missing"
PAD680,0 to 1200,"Range of Values"
PAD680,7777,"Refused"
PAD680,9999,"Don't know"
PAD680,.,"Missing"
PAQ706,0,"0 days"
PAQ706,1,"1 day"
PAQ706,2,"2 days"
PAQ706,3,"3 days"
PAQ706,4,"4 days"
PAQ706,5,"5 days"
PAQ706,6,"6 days"
PAQ706,7,"7 days"
PAQ706,77,"Refused"
PAQ706,99,"Don't know"
PAQ706,.,"Missing"
PAQ710,0,"Less than 1 hour,"
PAQ710,1,"1 hour,"
PAQ710,2,"2 hours,"
PAQ710,3,"3 hours,"
PAQ710,4,"4 hours, or"
PAQ710,5,"5 hours or more, or"
PAQ710,8,"{You don't/SP does not} watch TV or videos"
PAQ710,77,"Refused"
PAQ710,99,"Don't know"
PAQ710,.,"Missing"
PAQ715,0,"Less than 1 hour,"
PAQ715,1,"1 hour,"
PAQ715,2,"2 hours,"
PAQ715,3,"3 hours,"
PAQ715,4,"4 hours, or"
PAQ715,5,"5 hours or more, or"
PAQ715,8,"{you do not/SP does not} use a computer outside of school"
PAQ715,77,"Refused"
PAQ715,99,"Don't know"
PAQ715,.,"Missing"
PAQ722,1,"Yes"
PAQ722,2,"No"
PAQ722,7,"Refused"
PAQ722,9,"Don't know"
PAQ722,.,"Missing"
PAQ724a,1,"AEROBICS/WEIGHT TRAINING/GYM/EXERCISE"
PAQ724a,77,"Refused"
PAQ724a,99,"Don't know"
PAQ724a,.,"Missing"
PAQ724b,2,"BASEBALL/SOFTBALL/CATCH/PITCHING"
PAQ724b,.,"Missing"
PAQ724c,3,"BASKETBALL"
PAQ724c,.,"Missing"
PAQ724d,4,"BIKE RIDING/DIRT BIKING/MOUNTAIN BIKING"
PAQ724d,.,"Missing"
PAQ724e,5,"CHEERLEADING"
PAQ724e,.,"Missing"
PAQ724f,6,"DANCE"
PAQ724f,.,"Missing"
PAQ724g,7,"FIELD HOCKEY/STREET HOCKEY/ROLLER HOCKEY"
PAQ724g,.,"Missing"
PAQ724h,8,"FOOTBALL"
PAQ724h,.,"Missing"
PAQ724i,9,"GOLF"
PAQ724i,.,"Missing"
PAQ724j,10,"GYMNASTICS/TUMBLING"
PAQ724j,.,"Missing"
PAQ724k,11,"HIKING"
PAQ724k,.,"Missing"
PAQ724l,12,"ICE HOCKEY"
PAQ724l,.,"Missing"
PAQ724m,13,"ICE SKATING"
PAQ724m,.,"Missing"
PAQ724n,14,"JUMPING ROPE"
PAQ724n,.,"Missing"
PAQ724o,15,"LACROSSE"
PAQ724o,.,"Missing"
PAQ724p,16,"MARTIAL ARTS (KARATE/TAE KWON DO/JUDO, ETC.)"
PAQ724p,.,"Missing"
PAQ724q,17,"PLAYING GAMES (PROBE: WERE YOU PHYSICALLY ACTIVE? IF NO, DON'T COUNT)"
PAQ724q,.,"Missing"
PAQ724r,18,"ROLLER BLADING/ROLLER SKATING"
PAQ724r,.,"Missing"
PAQ724s,19,"RUNNING/JOGGING"
PAQ724s,.,"Missing"
PAQ724t,20,"SCOOTER RIDING (PROBE: DOES IT HAVE A MOTOR? IF YES, DON'T COUNT)"
PAQ724t,.,"Missing"
PAQ724u,21,"SKATEBOARDING"
PAQ724u,.,"Missing"
PAQ724v,22,"SOCCER"
PAQ724v,.,"Missing"
PAQ724w,23,"SWIMMING"
PAQ724w,.,"Missing"
PAQ724x,24,"TENNIS"
PAQ724x,.,"Missing"
PAQ724y,25,"TRACK & FIELD"
PAQ724y,.,"Missing"
PAQ724z,26,"VOLLEYBALL"
PAQ724z,.,"Missing"
PAQ724aa,27,"WALKING"
PAQ724aa,.,"Missing"
PAQ724ab,28,"WRESTLING"
PAQ724ab,.,"Missing"
PAQ724ac,29,"FRISBEE/ULTIMATE FRISBEE"
PAQ724ac,.,"Missing"
PAQ724ad,30,"BACKYARD/PLAYGROUND GAMES AND ACTIVITIES"
PAQ724ad,.,"Missing"
PAQ724ae,31,"TRAMPOLINE"
PAQ724ae,.,"Missing"
PAQ724af,32,"HORSEBACK RIDING"
PAQ724af,.,"Missing"
PAQ724cm,91,"OTHER (SPECIFY)"
PAQ724cm,.,"Missing"
PAQ731,0,"0 days"
PAQ731,1,"1 day"
PAQ731,2,"2 days"
PAQ731,3,"3 days"
PAQ731,4,"4 days"
PAQ731,5,"5 days"
PAQ731,6,"6 days"
PAQ731,7,"7 days"
PAQ731,77,"Refused"
PAQ731,99,"Don't know"
PAQ731,.,"Missing"
PAD733,5 to 600,"Range of Values"
PAD733,7777,"Refused"
PAD733,9999,"Don't know"
PAD733,.,"Missing"
PAQ677,0,"0 days"
PAQ677,1,"1 day"
PAQ677,2,"2 days"
PAQ677,3,"3 days"
PAQ677,4,"4 days"
PAQ677,5,"5 days"
PAQ677,6,"6 days"
PAQ677,7,"7 days"
PAQ677,77,"Refused"
PAQ677,99,"Don't know"
PAQ677,.,"Missing"
PAQ678,0,"0 days"
PAQ678,1,"1 day"
PAQ678,2,"2 days"
PAQ678,3,"3 days"
PAQ678,4,"4 days"
PAQ678,5,"5 days"
PAQ678,6,"6 days"
PAQ678,7,"7 days"
PAQ678,77,"Refused"
PAQ678,99,"Don't know"
PAQ678,.,"Missing"
PAQ740,1,"Yes"
PAQ740,2,"No"
PAQ740,7,"Refused"
PAQ740,9,"Don't know"
PAQ740,.,"Missing"
PAQ742,1,"Yes"
PAQ742,2,"No"
PAQ742,7,"Refused"
PAQ742,9,"Don't know"
PAQ742,.,"Missing"
PAQ744,1,"Yes"
PAQ744,2,"No"
PAQ744,7,"Refused"
PAQ744,9,"Don't know"
PAQ744,.,"Missing"
PAQ746,1,"1 day a week"
PAQ746,2,"2 days a week"
PAQ746,3,"3 days a week"
PAQ746,4,"4 days a week, or"
PAQ746,5,"Every day"
PAQ746,7,"Refused"
PAQ746,9,"Don't know"
PAQ746,.,"Missing"
PAQ748,1,"Less than 30 minutes"
PAQ748,2,"30-45 minutes"
PAQ748,3,"More than 45 minutes"
PAQ748,7,"Refused"
PAQ748,9,"Don't know"
PAQ748,.,"Missing"
PAQ755,1,"Yes"
PAQ755,2,"No"
PAQ755,7,"Refused"
PAQ755,9,"Don't know"
PAQ755,.,"Missing"
PAQ759a,1,"BASEBALL/SOFTBALL"
PAQ759a,77,"Refused"
PAQ759a,99,"Don't know"
