Column,Variable,Label
PFQ020,1,"Yes"
PFQ020,2,"No"
PFQ020,7,"Refused"
PFQ020,9,"Don't know"
PFQ020,.,"Missing"
PFQ030,1,"Yes"
PFQ030,2,"No"
PFQ030,7,"Refused"
PFQ030,9,"Don't know"
PFQ030,.,"Missing"
PFQ033,1,"Yes"
PFQ033,2,"No"
PFQ033,7,"Refused"
PFQ033,9,"Don't know"
PFQ033,.,"Missing"
PFQ041,1,"Yes"
PFQ041,2,"No"
PFQ041,7,"Refused"
PFQ041,9,"Don't know"
PFQ041,.,"Missing"
PFQ049,1,"Yes"
PFQ049,2,"No"
PFQ049,7,"Refused"
PFQ049,9,"Don't know"
PFQ049,.,"Missing"
PFQ051,1,"Yes"
PFQ051,2,"No"
PFQ051,7,"Refused"
PFQ051,9,"Don't know"
PFQ051,.,"Missing"
PFQ054,1,"Yes"
PFQ054,2,"No"
PFQ054,7,"Refused"
PFQ054,9,"Don't know"
PFQ054,.,"Missing"
PFQ057,1,"Yes"
PFQ057,2,"No"
PFQ057,7,"Refused"
PFQ057,9,"Don't know"
PFQ057,.,"Missing"
PFQ059,1,"Yes"
PFQ059,2,"No"
PFQ059,7,"Refused"
PFQ059,9,"Don't know"
PFQ059,.,"Missing"
PFQ061A,1,"No difficulty"
PFQ061A,2,"Some difficulty"
PFQ061A,3,"Much difficulty"
PFQ061A,4,"Unable to do"
PFQ061A,5,"Do not do this activity"
PFQ061A,7,"Refused"
PFQ061A,9,"Don't know"
PFQ061A,.,"Missing"
PFQ061B,1,"No difficulty"
PFQ061B,2,"Some difficulty"
PFQ061B,3,"Much difficulty"
PFQ061B,4,"Unable to do"
PFQ061B,5,"Do not do this activity"
PFQ061B,7,"Refused"
PFQ061B,9,"Don't know"
PFQ061B,.,"Missing"
PFQ061C,1,"No difficulty"
PFQ061C,2,"Some difficulty"
PFQ061C,3,"Much difficulty"
PFQ061C,4,"Unable to do"
PFQ061C,5,"Do not do this activity"
PFQ061C,7,"Refused"
PFQ061C,9,"Don't know"
PFQ061C,.,"Missing"
PFQ061D,1,"No difficulty"
PFQ061D,2,"Some difficulty"
PFQ061D,3,"Much difficulty"
PFQ061D,4,"Unable to do"
PFQ061D,5,"Do not do this activity"
PFQ061D,7,"Refused"
PFQ061D,9,"Don't know"
PFQ061D,.,"Missing"
PFQ061E,1,"No difficulty"
PFQ061E,2,"Some difficulty"
PFQ061E,3,"Much difficulty"
PFQ061E,4,"Unable to do"
PFQ061E,5,"Do not do this activity"
PFQ061E,7,"Refused"
PFQ061E,9,"Don't know"
PFQ061E,.,"Missing"
PFQ061F,1,"No difficulty"
PFQ061F,2,"Some difficulty"
PFQ061F,3,"Much difficulty"
PFQ061F,4,"Unable to do"
PFQ061F,5,"Do not do this activity"
PFQ061F,7,"Refused"
PFQ061F,9,"Don't know"
PFQ061F,.,"Missing"
PFQ061G,1,"No difficulty"
PFQ061G,2,"Some difficulty"
