Column,Variable,Label
RHQ010,7 to 22,"Range of Values"
RHQ010,0,"Hasn't started yet"
RHQ010,777,"Refused"
RHQ010,999,"Don't know"
RHQ010,.,"Missing"
RHQ020,1,"Younger than 10,"
RHQ020,2,"10 to 12,"
RHQ020,3,"13 to 15, or"
RHQ020,4,"16 or older?"
RHQ020,7,"Refused"
RHQ020,9,"Don't know"
RHQ020,.,"Missing"
RHQ031,1,"Yes"
RHQ031,2,"No"
RHQ031,7,"Refused"
RHQ031,9,"Don't know"
RHQ031,.,"Missing"
RHD043,1,"Pregnancy"
RHD043,2,"Breast feeding"
RHD043,3,"Hysterectomy"
RHD043,7,"Menopause/Change of life"
RHD043,9,"Other"
RHD043,77,"Refused"
RHD043,99,"Don't know"
RHD043,.,"Missing"
RHQ060,15 to 65,"Range of Values"
RHQ060,777,"Refused"
RHQ060,999,"Don't know"
RHQ060,.,"Missing"
RHQ070,1,"Younger than 30"
RHQ070,2,"30 to 34"
RHQ070,3,"35 to 39"
RHQ070,4,"40 to 44"
RHQ070,5,"45 to 49"
RHQ070,6,"50 to 54, or"
RHQ070,7,"55 or older?"
RHQ070,77,"Refused"
RHQ070,99,"Don't know"
RHQ070,.,"Missing"
RHQ074,1,"Yes"
RHQ074,2,"No"
RHQ074,7,"Refused"
RHQ074,9,"Don't know"
RHQ074,.,"Missing"
RHQ076,1,"Yes"
RHQ076,2,"No"
RHQ076,7,"Refused"
RHQ076,9,"Don't know"
RHQ076,.,"Missing"
RHQ078,1,"Yes"
RHQ078,2,"No"
RHQ078,7,"Refused"
RHQ078,9,"Don't know"
RHQ078,.,"Missing"
RHQ131,1,"Yes"
RHQ131,2,"No"
RHQ131,7,"Refused"
RHQ131,9,"Don't know"
RHQ131,.,"Missing"
RHD143,1,"Yes"
RHD143,2,"No"
RHD143,7,"Refused"
RHD143,9,"Don't know"
RHD143,.,"Missing"
RHQ160,1 to 33,"Range of Values"
RHQ160,77,"Refused"
RHQ160,99,"Don't know"
RHQ160,.,"Missing"
RHQ162,1,"Yes"
RHQ162,2,"No"
RHQ162,3,"Borderline"
RHQ162,7,"Refused"
RHQ162,9,"Don't know"
RHQ162,.,"Missing"
RHQ163,16 to 44,"Range of Values"
RHQ163,777,"Refused"
RHQ163,999,"Don't know"
RHQ163,.,"Missing"
RHQ166,0 to 13,"Range of Values"
RHQ166,77,"Refused"
RHQ166,99,"Don't know"
RHQ166,.,"Missing"
RHQ169,0 to 6,"Range of Values"
RHQ169,77,"Refused"
RHQ169,99,"Don't know"
RHQ169,.,"Missing"
RHQ172,1,"Yes"
RHQ172,2,"No"
RHQ172,7,"Refused"
RHQ172,9,"Don't know"
RHQ172,.,"Missing"
RHD173,15 to 42,"Range of Values"
RHD173,14,"14 years or under"
RHD173,45,"45 years or older"
RHD173,777,"Refused"
RHD173,999,"Don't know"
RHD173,.,"Missing"
RHQ171,0 to 12,"Range of Values"
RHQ171,77,"Refused"
RHQ171,99,"Don't know"
RHQ171,.,"Missing"
RHD180,15 to 40,"Range of Values"
RHD180,14,"14 years or under"
RHD180,45,"45 years or older"
RHD180,777,"Refused"
RHD180,999,"Don't know"
RHD180,.,"Missing"
RHD190,15 to 44,"Range of Values"
RHD190,14,"14 years or under"
RHD190,45,"45 years or older"
RHD190,777,"Refused"
RHD190,999,"Don't know"
RHD190,.,"Missing"
RHQ197,2 to 27,"Range of Values"
RHQ197,1,"1 month or less"
RHQ197,777,"Refused"
RHQ197,999,"Don't know"
RHQ197,.,"Missing"
RHQ200,1,"Yes"
RHQ200,2,"No"
RHQ200,7,"Refused"
RHQ200,9,"Don't know"
RHQ200,.,"Missing"
RHD280,1,"Yes"
RHD280,2,"No"
RHD280,7,"Refused"
RHD280,9,"Don't know"
RHD280,.,"Missing"
RHQ291,20 to 79,"Range of Values"
RHQ291,777,"Refused"
RHQ291,999,"Don't know"
RHQ291,.,"Missing"
RHQ305,1,"Yes"
RHQ305,2,"No"
