Column,Variable,Label
RXQ510,1,"Yes"
RXQ510,2,"No"
RXQ510,7,"Refused"
RXQ510,9,"Don't know"
RXQ510,.,"Missing"
RXQ515,1,"Yes"
RXQ515,2,"No"
RXQ515,3,"Sometimes"
RXQ515,4,"Stopped aspirin use due to side effects"
RXQ515,.,"Missing"
RXQ520,1,"Yes"
RXQ520,2,"No"
RXQ520,7,"Refused"
RXQ520,9,"Don't know"
RXQ520,.,"Missing"
RXQ525G,1,"One every day"
RXQ525G,2,"One every other day"
RXQ525G,3,"Another schedule"
RXQ525G,7,"Refused"
RXQ525G,9,"Don't know"
RXQ525G,.,"Missing"
RXQ525Q,1 to 999,"Range of Values"
RXQ525Q,.,"Missing"
RXQ525U,1,"Per day"
RXQ525U,2,"Per week"
RXQ525U,.,"Missing"
RXD530,20 to 500,"Range of Values"
RXD530,77777,"Refused"
RXD530,99999,"Don't know"
RXD530,.,"Missing"
