Column,Variable,Label
RXDUSE,1,"Yes"
RXDUSE,2,"No"
RXDUSE,7,"Refused"
RXDUSE,9,"Don't know"
RXDUSE,.,"Missing"
RXDDRUG,Generic drug name,"Value was recorded"
RXDDRUG,55555,"Unknown"
RXDDRUG,77777,"Refused"
RXDDRUG,99999,"Don't know"
RXDDRUG,< blank >,"Missing"
RXDDRGID,Generic drug code,"Value was recorded"
RXDDRGID,< blank >,"Missing"
RXQSEEN,1,"Yes"
RXQSEEN,2,"No"
RXQSEEN,3,"Only pharmacy print out seen"
RXQSEEN,.,"Missing"
RXDDAYS,1 to 25550,"Range of Values"
RXDDAYS,77777,"Refused"
RXDDAYS,99999,"Don't know"
RXDDAYS,.,"Missing"
RXDRSC1,ICD-10-CM code 1,"Value was recorded"
RXDRSC1,55555,"Unknown"
RXDRSC1,77777,"Refused"
RXDRSC1,99999,"Don't know"
RXDRSC1,< blank >,"Missing"
RXDRSC2,ICD-10-CM code 2,"Value was recorded"
RXDRSC2,< blank >,"Missing"
RXDRSC3,ICD-10-CM code 3,"Value was recorded"
RXDRSC3,< blank >,"Missing"
RXDRSD1,ICD-10-CM code 1 description,"Value was recorded"
RXDRSD1,< blank >,"Missing"
RXDRSD2,ICD-10-CM code 2 description,"Value was recorded"
RXDRSD2,< blank >,"Missing"
RXDRSD3,ICD-10-CM code 3 description,"Value was recorded"
RXDRSD3,< blank >,"Missing"
RXDCOUNT,1 to 23,"Range of Values"
RXDCOUNT,.,"Missing"
