Column,Variable,Label
SMQ681,1,"Yes"
SMQ681,2,"No"
SMQ681,7,"Refused"
SMQ681,9,"Don't know"
SMQ681,.,"Missing"
SMQ690A,1,"Cigarettes"
SMQ690A,77,"Refused"
SMQ690A,99,"Don't know"
SMQ690A,.,"Missing"
SMQ710,1 to 5,"Range of Values"
SMQ710,7,"Refused"
SMQ710,9,"Don't know"
SMQ710,.,"Missing"
SMQ720,1 to 50,"Range of Values"
SMQ720,95,"95 or more"
SMQ720,777,"Refused"
SMQ720,999,"Don't know"
SMQ720,.,"Missing"
SMQ725,1,"Today"
SMQ725,2,"Yesterday"
SMQ725,3,"3 to 5 days ago"
SMQ725,7,"Refused"
SMQ725,9,"Don't know"
SMQ725,.,"Missing"
SMQ690B,2,"Pipes"
SMQ690B,.,"Missing"
SMQ740,1 to 5,"Range of Values"
SMQ740,7,"Refused"
SMQ740,9,"Don't know"
SMQ740,.,"Missing"
SMQ690C,3,"Cigars or little cigars or cigarilllos"
SMQ690C,.,"Missing"
SMQ770,1 to 5,"Range of Values"
SMQ770,7,"Refused"
SMQ770,9,"Don't know"
SMQ770,.,"Missing"
SMQ690G,7,"Water pipes or Hookahs"
SMQ690G,.,"Missing"
SMQ845,1 to 5,"Range of Values"
SMQ845,7,"Refused"
SMQ845,9,"Don't know"
SMQ845,.,"Missing"
SMQ690H,8,"E-cigarettes"
SMQ690H,.,"Missing"
SMQ849,1 to 5,"Range of Values"
SMQ849,7,"Refused"
SMQ849,9,"Don't know"
SMQ849,.,"Missing"
SMQ851,1,"Yes"
SMQ851,2,"No"
SMQ851,7,"Refused"
SMQ851,9,"Don't know"
SMQ851,.,"Missing"
SMQ690D,4,"Chewing tobacco"
SMQ690D,.,"Missing"
SMQ800,1 to 5,"Range of Values"
SMQ800,7,"Refused"
SMQ800,9,"Don't know"
SMQ800,.,"Missing"
SMQ690E,5,"Snuff"
SMQ690E,.,"Missing"
SMQ817,1 to 5,"Range of Values"
SMQ817,7,"Refused"
SMQ817,9,"Don't know"
SMQ817,.,"Missing"
SMQ690I,9,"Snus"
SMQ690I,.,"Missing"
SMQ857,1 to 5,"Range of Values"
SMQ857,7,"Refused"
SMQ857,9,"Don't know"
SMQ857,.,"Missing"
SMQ690J,10,"Dissolvables"
SMQ690J,.,"Missing"
SMQ861,7,"Refused"
SMQ861,9,"Don't know"
SMQ861,.,"Missing"
SMQ863,1,"Yes"
SMQ863,2,"No"
SMQ863,7,"Refused"
SMQ863,9,"Don't know"
SMQ863,.,"Missing"
SMQ690F,6,"Nicotine patches, gum, or other nicotine replacement therapy product"
SMQ690F,.,"Missing"
SMQ830,1 to 5,"Range of Values"
SMQ830,7,"Refused"
SMQ830,9,"Don't know"
SMQ830,.,"Missing"
SMQ840,1,"Today"
SMQ840,2,"Yesterday"
SMQ840,3,"3 to 5 days ago"
SMQ840,7,"Refused"
SMQ840,9,"Don't know"
SMQ840,.,"Missing"
SMDANY,1,"Yes"
SMDANY,2,"No"
SMDANY,7,"Refused"
SMDANY,9,"Don't know"
SMDANY,.,"Missing"
SMAQUEX,1,"ACASI   B(12 - 17 Yrs.)"
SMAQUEX,2,"MEC CAPI   B(18 - 150 Yrs.)"
SMAQUEX,.,"Missing"
