Column,Variable,Label
SMQ856,1,"Yes"
SMQ856,2,"No"
SMQ856,7,"Refused"
SMQ856,9,"Don't know"
SMQ856,.,"Missing"
SMQ858,1,"Yes"
SMQ858,2,"No"
SMQ858,7,"Refused"
SMQ858,9,"Don't know"
SMQ858,.,"Missing"
SMQ860,1,"Yes"
SMQ860,2,"No"
SMQ860,7,"Refused"
SMQ860,9,"Don't know"
SMQ860,.,"Missing"
SMQ862,1,"Yes"
SMQ862,2,"No"
SMQ862,7,"Refused"
SMQ862,9,"Don't know"
SMQ862,.,"Missing"
SMQ866,1,"Yes"
SMQ866,2,"No"
SMQ866,7,"Refused"
SMQ866,9,"Don't know"
SMQ866,.,"Missing"
SMQ868,1,"Yes"
SMQ868,2,"No"
SMQ868,7,"Refused"
SMQ868,9,"Don't know"
SMQ868,.,"Missing"
SMQ870,1,"Yes"
SMQ870,2,"No"
SMQ870,7,"Refused"
SMQ870,9,"Don't know"
SMQ870,.,"Missing"
SMQ872,1,"Yes"
SMQ872,2,"No"
SMQ872,7,"Refused"
SMQ872,9,"Don't know"
SMQ872,.,"Missing"
SMQ874,1,"Yes"
SMQ874,2,"No"
SMQ874,7,"Refused"
SMQ874,9,"Don't know"
SMQ874,.,"Missing"
SMQ876,1,"Yes"
SMQ876,2,"No"
SMQ876,7,"Refused"
SMQ876,9,"Don't know"
SMQ876,.,"Missing"
SMQ878,1,"Yes"
SMQ878,2,"No"
SMQ878,7,"Refused"
SMQ878,9,"Don't know"
SMQ878,.,"Missing"
SMQ880,1,"Yes"
SMQ880,2,"No"
SMQ880,7,"Refused"
SMQ880,9,"Don't know"
SMQ880,.,"Missing"
SMAQUEX,1,"MEC CAPI Youth (12 - 17 Yrs.)"
SMAQUEX,2,"Household CAPI Adults (18+ Yrs.)"
SMAQUEX,3,"Household CAPI Youth (0 - 11 Yrs.)"
SMAQUEX,.,"Missing"
