Column,Variable,Label
SMQ020,1,"Yes"
SMQ020,2,"No"
SMQ020,7,"Refused"
SMQ020,9,"Don't know"
SMQ020,.,"Missing"
SMD030,7 to 64,"Range of Values"
SMD030,0,"Never smoked cigarettes regularly"
SMD030,80,"80 years or older"
SMD030,777,"Refused"
SMD030,999,"Don't know"
SMD030,.,"Missing"
SMQ040,1,"Every day"
SMQ040,2,"Some days"
SMQ040,3,"Not at all"
SMQ040,7,"Refused"
SMQ040,9,"Don't know"
SMQ040,.,"Missing"
SMQ050Q,1 to 90,"Range of Values"
SMQ050Q,66666,"50 years or more"
SMQ050Q,77777,"Refused"
SMQ050Q,99999,"Don't know"
SMQ050Q,.,"Missing"
SMQ050U,1,"Days"
SMQ050U,2,"Weeks"
SMQ050U,3,"Months"
SMQ050U,4,"Years"
SMQ050U,7,"Refused"
SMQ050U,9,"Don't know"
SMQ050U,.,"Missing"
SMD055,14 to 79,"Range of Values"
SMD055,80,"80 years or older"
SMD055,777,"Refused"
SMD055,999,"Don't know"
SMD055,.,"Missing"
SMD057,2 to 90,"Range of Values"
SMD057,1,"1 cigarette or less"
SMD057,95,"95 cigarettes or more"
SMD057,777,"Refused"
SMD057,999,"Don't know"
SMD057,.,"Missing"
SMQ078,1,"Within 5 minutes"
SMQ078,2,"From 6 to 30 minutes"
SMQ078,3,"From more than 30 minutes to one hour"
SMQ078,4,"From more than 1 hour to 2 hours"
SMQ078,5,"From more than 2 hours to 3 hours"
SMQ078,6,"From more than 3 hours to 4 hours"
SMQ078,7,"More than 4 hours"
SMQ078,77,"Refused"
SMQ078,99,"Don't know"
SMQ078,.,"Missing"
SMD641,0 to 30,"Range of Values"
SMD641,77,"Refused"
SMD641,99,"Don't know"
SMD641,.,"Missing"
SMD650,2 to 90,"Range of Values"
SMD650,1,"1 cigarette or less"
SMD650,95,"95 cigarettes or more"
SMD650,777,"Refused"
SMD650,999,"Don't know"
SMD650,.,"Missing"
SMD093,1,"Yes"
SMD093,2,"No"
SMD093,3,"No usual brand"
SMD093,4,"Rolls own"
SMD093,7,"Refused"
SMD093,9,"Don't know"
SMD093,.,"Missing"
SMDUPCA,Cig 12-digit Universal Product Code-UPC,"Value was recorded"
SMDUPCA, ,"Missing"
SMDUPCA,* NO MATCH *,"No match"
SMD100BR,Cigarette Brand/sub-brand,"Value was recorded"
SMD100BR, ,"Missing"
SMD100FL,0,"Non-filter"
SMD100FL,1,"Filter"
SMD100FL,.,"Missing"
SMD100MN,0,"Non-menthol"
SMD100MN,1,"Menthol"
SMD100MN,.,"Missing"
SMD100LN,1,"Regular (68-72 mm)"
SMD100LN,2,"King (79-88 mm)"
SMD100LN,3,"Long (94-101 mm)"
SMD100LN,4,"Ultra long (110-121 mm)"
SMD100LN,.,"Missing"
SMD100TR,2 to 24,"Range of Values"
SMD100TR,.,"Missing"
SMD100NI,0.1 to 2,"Range of Values"
SMD100NI,.,"Missing"
SMD100CO,3 to 19,"Range of Values"
SMD100CO,.,"Missing"
SMQ621,1,"I have never smoked, not even a puff"
SMQ621,2,"1 or more puffs but never a whole cigarette"
SMQ621,3,"1 cigarette"
SMQ621,4,"2 to 5 cigarettes"
SMQ621,5,"6 to 15 cigarettes"
SMQ621,6,"16 to 25 cigarettes"
SMQ621,7,"26 to 99 cigarettes"
SMQ621,8,"100 or more cigarettes"
SMQ621,77,"Refused"
SMQ621,99,"Don't know"
SMQ621,.,"Missing"
SMD630,7 to 17,"Range of Values"
SMD630,6,"6 years or less"
SMD630,77,"Refused"
SMD630,99,"Don't know"
SMD630,.,"Missing"
SMQ661,1,"Marlboro"
SMQ661,2,"Camel"
SMQ661,3,"Newport"
SMQ661,8,"Other brand"
SMQ661,9,"No usual brand"
SMQ661,10,"Hand-rolled cigarettes"
SMQ661,77,"Refused"
SMQ661,99,"Don't know"
SMQ661,.,"Missing"
SMQ665A,1,"MARLBORO RED"
SMQ665A,2,"MARLBORO RED 83S"
SMQ665A,3,"MARLBORO GOLD"
SMQ665A,4,"MARLBORO GOLD MENTHOL"
SMQ665A,5,"MARLBORO SILVER"
SMQ665A,6,"MARLBORO BLACK"
SMQ665A,7,"MARLBORO MENTHOL"
SMQ665A,8,"OTHER MARLBORO"
SMQ665A,77,"Refused"
SMQ665A,99,"Don't know"
SMQ665A,.,"Missing"
SMQ665B,1,"CAMEL"
SMQ665B,2,"CAMEL BLUE"
SMQ665B,3,"CAMEL CRUSH"
SMQ665B,4,"CAMEL CRUSH BOLD"
SMQ665B,5,"CAMEL MENTHOL"
SMQ665B,6,"CAMEL MENTHOL SILVER"
SMQ665B,7,"OTHER CAMEL"
SMQ665B,77,"Refused"
SMQ665B,99,"Don't know"
SMQ665B,.,"Missing"
SMQ665C,1,"NEWPORT"
SMQ665C,2,"NEWPORT MENTHOL GOLD"
SMQ665C,3,"OTHER NEWPORT"
SMQ665C,77,"Refused"
SMQ665C,99,"Don't know"
SMQ665C,.,"Missing"
SMQ665D,1,"BASIC"
SMQ665D,2,"DORAL RED 100S"
SMQ665D,3,"DORAL MENTHOL GOLD BOX 100S"
SMQ665D,4,"GPC"
SMQ665D,5,"GPC MENTHOL"
SMQ665D,6,"KOOL BLUE MENTHOL 100S"
SMQ665D,7,"KOOL TRUE MENTHOL"
SMQ665D,8,"VIRGINIA SLIMS"
SMQ665D,9,"OTHER BRAND"
SMQ665D,77,"Refused"
SMQ665D,99,"Don't know"
SMQ665D,.,"Missing"
SMQ670,1,"Yes"
SMQ670,2,"No"
SMQ670,7,"Refused"
SMQ670,9,"Don't know"
SMQ670,.,"Missing"
SMQ848,1 to 20,"Range of Values"
SMQ848,777,"Refused"
SMQ848,999,"Don't know"
SMQ848,.,"Missing"
SMQ852Q,0 to 356,"Range of Values"
SMQ852Q,7777,"Refused"
SMQ852Q,9999,"Don't know"
SMQ852Q,.,"Missing"
SMQ852U,1,"Days"
SMQ852U,2,"Weeks"
SMQ852U,3,"Months"
SMQ852U,7,"Refused"
SMQ852U,9,"Don't know"
